MSR/ALIGNNMENT,CUSTOMER,PRODUCT
KE-DCV-4,NORTHERN PHARMACY,AMARYL 2MG 30 TABS
KE-DCV-2,KENYATTA NATIONAL HOSPITAL,APROVEL 300MG TABCO BL2X14 RM M36 XE
KE-DCV-3,NYERI MED SERV LTD/OUTSPAN HSP,LANTUS VIAL 10MG 1
KE-DCV-4,PHILMED LIMITED,AMARYL 4MG 30 TABS
KE-DCV-3,MEDIMART HEALTHCARE LTD - THIKA ROAD,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-5,M.P SHAH HOSPITAL,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD
KE-DCV-2,VETERAN PHARMACEUTICALS LTD,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-5,DR. GAMAN MOHAMED,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-3,ELMART PHARMA LTD,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-5,GOODLIFE PHARMACY LIMITED,APROVEL 300MG TABCO BL2X14 RM M36 XE
KE-DCV-4,BLISS GVS HEALTHCARE LTD/ ASTERIXS,AMARYL 1MG 30 TABS
KE-DCV-3,AGA KHAN HOSPITAL NAIROBI,AMARYL 1MG 30 TABS
KE-DCV-5,GERTRUDE'S CHILDREN HOSPITAL,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-3,NJIMIA PHARMACEUTICALS LTD,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-3,OMAERA PHARMACEUTICALS LTD.,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-4,NORTHERN PHARMACY,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-2,KENYATTA NATIONAL HOSPITAL,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD
KE-DCV-4,NAIROBI SOUTH HOSPITAL,AMARYL 4MG 30 TABS
KE-DCV-4,NAIROBI WEST HOSPITAL,AMARYL 4MG 30 TABS
KE-DCV-4,PHARMAPLUS PHARMACEUTICALS LTD,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-5,ELDOHOSP PHARMACEUTICALS LTD - Nairobi,APROVEL 300MG TABCO BL2X14 RM M36 XE
KE-DCV-3,NJIMIA PHARMACEUTICALS LTD,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-3,NJIMIA PHARMACEUTICALS LTD,APROVEL 300MG TABCO BL2X14 RM M36 XE
KE-DCV-4,BEL-EA PHARMACY LTD,AMARYL 4MG 30 TABS
KE-DCV-3,OMAERA PHARMACEUTICALS LTD.,LANTUS VIAL 10MG 1
KE-DCV-4,NAIROBI WEST HOSPITAL,AMARYL 2MG 30 TABS
KE-DCV-3,HIGHRIDGE PHARMACY LTD,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-5,PHARMART CHEMIST LIMITED.,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-1,THWAKE PHARMACY,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-5,ELDOHOSP PHARMACEUTICALS LTD - Nairobi,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD
KE-DCV-3,ELMART PHARMA LTD,AMARYL 2MG 30 TABS
KE-DCV-1,NILA PHARMACEUTICALS,LANTUS 300IU/3ML.INJ.CRT5.S3.M36.XE
KE-DCV-2,BELMONT PHARMACEUTICALS LTD,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-3,SURGIK PHARMACEUTICALS LTD,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-2,KIREC PHARMACEUTICALS LTD,AMARYL 2MG 30 TABS
KE-DCV-3,SKY HEALTHCARE LIMITED,AMARYL 2MG 30 TABS
KE-DCV-3,CITY LINK PHARMA LTD,AMARYL 4MG 30 TABS
KE-DCV-4,PHARMAPLUS PHARMACEUTICALS LTD,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-3,SKY HEALTHCARE LIMITED,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-3,RANGECHEM PHARMACEUTICALS LTD,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD
KE-DCV-4,BEL-EA PHARMACY LTD,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-1,GENERIC AFRICA LTD,LANTUS VIAL 10MG 1
KE-DCV-5,RAM PHARMACEUTICALS LIMITED,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-4,BEL-EA PHARMACY LTD,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-3,JALARAM MEDICAL CENTER,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-4,KARURI STORES PHARMACEUTICALS,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-3,OAKLEY PHARMACY LTD,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-5,ELDOHOSP PHARMACEUTICALS LTD,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-5,ELDOHOSP PHARMACEUTICALS LTD,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-3,NJIMIA PHARMACEUTICALS LTD,AMARYL 4MG 30 TABS
KE-DCV-2,DISCHEM PHARMACIE,AMARYL 4MG 30 TABS
KE-DCV-2,K.I.R.E.C LTD,AMARYL 4MG 30 TABS
KE-DCV-2,KIREC PHARMACEUTICALS LTD,AMARYL 4MG 30 TABS
KE-DCV-2,SONACHEM PHARMACEUTICALS,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-5,TRANSWIDE PHARMACEUTICALS LTD,LANTUS VIAL 10MG 1
KE-DCV-4,PHARMAPLUS PHARMACEUTICALS LTD,AMARYL 2MG 30 TABS
KE-DCV-2,K.I.R.E.C LTD,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-4,CENTRAL BANK OF KENYA,AMARYL 2MG 30 TABS
KE-DCV-5,UNIVERSITY OF NAIROBI STAFF   ,AMARYL 2MG 30 TABS
KE-DCV-4,ZEN PHARMACEUTICALS,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-3,KENYA AIR FORCE,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-5,DOVEY PHARMACEUTICALS LIMITED,AMARYL 2MG 30 TABS
KE-DCV-5,ELDOHOSP PHARMACEUTICALS LTD - Nairobi,APROVEL 150MG TABCO BL2X14 RM M36 XE
KE-DCV-5,TRANSWIDE PHARMACEUTICALS LTD,APROVEL 150MG TABCO BL2X14 RM M36 XE
KE-DCV-4,KRISHNA CHEMIST LTD,APROVEL 150MG TABCO BL2X14 RM M36 XE
KE-DCV-4,MATER MISEROCORDIAE HOSPITAL,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD
KE-DCV-2,VETERAN PHARMACEUTICALS LTD,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD
KE-DCV-2,MBETI PHARMACY,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-4,CARE CHEMIST LTD,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-4,BLISS GVS HEALTHCARE LTD/ ASTERIXS,AMARYL 4MG 30 TABS
KE-DCV-1,NAIROBI WOMENS HOSPITAL LTD,AMARYL 4MG 30 TABS
KE-DCV-2,NEW LEMUMA PHARMACY CO LTD,LANTUS 300IU/3ML.INJ.CRT5.S3.M36.XE
KE-DCV-3,DR. IGNATIUS MUTURI,LANTUS VIAL 10MG 1
KE-DCV-4,NORTHERN PHARMACY,APROVEL 150MG TABCO BL2X14 RM M36 XE
KE-DCV-2,AAR HEALTHCARE KENYA LTD,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD
KE-DCV-4,NORTHERN PHARMACY,APROVEL 300MG TABCO BL2X14 RM M36 XE
KE-DCV-3,JALARAM MEDICAL CENTER,APIDRA SOLOSTAR 300IU INJ/5
KE-DCV-4,SUPREME PHARMACY LTD,AMARYL 4MG 30 TABS
KE-DCV-5,DOVEY PHARMACEUTICALS LIMITED,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-5,GOODLIFE PHARMACY LIMITED,AMARYL 1MG 30 TABS
KE-DCV-1,EASTON PHARMACEUTICALS LTD TWN,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-3,GURU NANAK RAMGARHIA SIKH HOSPITAL,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-2,LIMELIGHT CHEMIST,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-3,OTHAYA CHEMISTS,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-4,MEGALIFE LTD,AMARYL 4MG 30 TABS
KE-DCV-3,RANGECHEM PHARMACEUTICALS LTD,AMARYL 1MG 30 TABS
KE-DCV-2,BELMONT PHARMACEUTICALS LTD,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-2,NEEM PHARMACY,AMARYL 2MG 30 TABS
KE-DCV-1,Greenlife Pharma Ltd,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-4,PHILMED LIMITED,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-4,KAM PHARMACY LTD,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-2,NEEM PHARMACY,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD
KE-DCV-1,NILA PHARMACEUTICALS,LANTUS VIAL 10MG 1
KE-DCV-3,LEBILLE PHARMACEUTICALS,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-5,AVENUE HEALTHCARE - NAIROBI BRANCH,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-2,AAR HEALTHCARE KENYA LTD,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-1,ORION PHARMACY LTD.,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-4,SUPREME PHARMACY LTD,AMARYL 2MG 30 TABS
KE-DCV-2,HARTLANE PHARMACEUTICALS LTD,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-3,RANGECHEM PHARMACEUTICALS LTD,LANTUS VIAL 10MG 1
KE-DCV-2,KIREC PHARMACEUTICALS LTD,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-4,MEGALIFE LTD,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-3,NYERI MED SERV LTD/OUTSPAN HSP,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-1,GENERIC AFRICA LTD,AMARYL 1MG 30 TABS
KE-DCV-5,DOVEY PHARMACEUTICALS LIMITED,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-DCV-1,GENERIC AFRICA LTD,AMARYL 4MG 30 TABS
KE-DCV-5,DOVEY PHARMACEUTICALS LIMITED,AMARYL 4MG 30 TABS
KE-DCV-2,SALAMA PHARMACEUTICALS,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD
KE-DCV-2,K.I.R.E.C LTD,AMARYL 2MG 30 TABS
