Name,Email,Phone,Address,City,State,Postal Code,Country,is_subsidiary,parent_company
TEDIS PHARMA TOGO,,,,,,,TG,Yes,TEDIS
UNIPHART,,,,,,,TG,Yes,UNIPHART
COMPAGNIE PHARMACEUTIQUE AFRICAINE,,,,,,,TG,Yes,COMPAGNIE PHARMACEUTIQUE AFRICAINE
UBIPHARM TOGO SA,,,,,,,TG,Yes,UBIPHARM
SURGIPHARM UGANDA LTD,,,,,,,UG,Yes,SURGIPHARM
HML OUGANDA,,,,,,,UG,Yes,HML
UBIPHARM CONGO,,,,,,,CG,Yes,UBIPHARM CONGO
IBIS PHARMA CONGO CL,,,,,,,CG,Yes,IBIS PHARMA
CENTRAPHARM,,,,,,,CF,Yes,CENTRAPHARM
CENTRAPHARM S.A.,,,,,,,CF,Yes,CENTRAPHARM
TEDIS CI,,,,,,,CI,Yes,TEDIS
TEDIS PHARMA COTE D IVOIRE,,,,,,,CI,Yes,TEDIS
TEDIS COTE D'IVOIRE,,,,,,,CI,Yes,TEDIS
LABOREX CI,,,,,,,CI,Yes,LABOREX
LABOREX ABIDJAN,,,,,,,CI,Yes,LABOREX
DPCI,,,,,,,CI,Yes,MEX
DPCI,,,,,,,CI,Yes,MEX
MEX P/C DPCI RCI,,,,,,,CI,Yes,MEX
MEX P/C  D.P.C.I.,,,,,,,CI,Yes,MEX
LABOREX CI,,,,,,,CI,Yes,LABOREX
LABOREX ABIDJAN YOPOUGON,,,,,,,CI,Yes,LABOREX
COPHARMED,,,,,,,CI,Yes,COPHARMED
NOUVELLE PHARMACIE DE LA SANTE PUBLIQUE,,,,,,,CI,Yes,NOUVELLE PHARMACIE DE LA SANTE PUBLIQUE
SIAP PHARMA,,,,,,,CM,Yes,SIAP PHARMA
PHARMACIE NOUVELLE,,,,,,,DJ,Yes,PHARMACIE NOUVELLE
PHARMACIE NOUVELLE LTD,,,,,,,DJ,Yes,PHARMACIE NOUVELLE
PHIE DE LA CORNE D'AFRIQUE,,,,,,,DJ,Yes,GRANDE PHARMACIE DE LA CORNE
GRANDE PHARMACIE DE LA CORNE,,,,,,,DJ,Yes,GRANDE PHARMACIE DE LA CORNE
PHARMACIE DE LA NATION,,,,,,,DJ,Yes,PHARMACIE DE LA NATION
PHARMACIE DE L'OCEAN INDIEN,,,,,,,DJ,Yes,PHARMACIE DE L'OCEAN INDIEN
PHARMACIE DE L OCEAN INDIEN,,,,,,,DJ,Yes,PHARMACIE DE L'OCEAN INDIEN
PHARMACIE DE DJIBOUTI,,,,,,,DJ,Yes,PHARMACIE DE DJIBOUTI
UBIPHARM GABON SA,,,,,,,GA,Yes,UBIPHARM
GRANDE PHARMACIE DES FORESTIERS,,,,,,,GA,Yes,GRANDE PHARMACIE DES FORESTIERS
GDE PHIE DES FORESTIERS,,,,,,,GA,Yes,GRANDE PHARMACIE DES FORESTIERS
PHARMAGABON,,,,,,,GA,Yes,PHARMAGABON
PHARMACIE ANJOUANAISE,,,,,,,KM,Yes,PHARMACIE ANJOUANAISE
PHIE TRALENI-GOBADJOU,,,,,,,KM,Yes,PHIE TRALENI-GOBADJOU
PHARMACIE DES COMORES,,,,,,,KM,Yes,PHARMACIE DES COMORES
PHARMACIE DE LA CORNICHE,,,,,,,KM,Yes,PHARMACIE DE LA CORNICHE
MULTIPHAR RWANDA LTD,,,,,,,RW,Yes,MULTIPHAR
SUN ENTERPRISES SARL,,,,,,,RW,Yes,SUN ENTERPRISES
SUN ENTERPRISE SARL,,,,,,,RW,Yes,SUN ENTERPRISES
KIPHARMA sarl,,,,,,,RW,Yes,KIPHARMA
DUOPHARM,,,,,,,SN,Yes,DUOPHARM
DUOPHARM SA,,,,,,,SN,Yes,DUOPHARM
SODIPHARM,,,,,,,SN,Yes,MEX
MEX,,,,,,,SN,Yes,MEX
MEX P/C SODIPHARM,,,,,,,SN,Yes,MEX
COPHASE,,,,,,,SN,Yes,COPHASE
COPHASE-UBIPHARM SENEGAL,,,,,,,SN,Yes,COPHASE
LABOREX SN,,,,,,,SN,Yes,LABOREX
YASH PHARMACEUTICALS LTD,,,,,,,ZM,Yes,YASH PHARMACEUTICALS
PHARMACIE INDEPENDANCE,,,,,,,DJ,Yes,PHARMACIE DE L'INDEPENDANCE
PHARMACIE DE L INDEPENDANCE,,,,,,,DJ,Yes,PHARMACIE DE L'INDEPENDANCE
PHARMACIE DES ECOLES,,,,,,,KM,Yes,PHARMACIE DES ECOLES
PHARMACIE ESPERANCE,,,,,,,KM,Yes,PHARMACIE ESPERANCE
DISTRIPHAR / RWANDA           CL,,,,,,,RW,Yes,DISTRIPHAR
ABACUS PHARMA (A) LTD.,,,,,,,RW,Yes,ABACUS PHARMA
NEW AVAKASH International (Pvt) ltd,,,,,,,ZW,Yes,NEW AVAKASH INTERNATIONAL
PHARMACIE PK 12,,,,,,,DJ,Yes,PHARMACIE PK 12
TEDIS/ GABON       CL,,,,,,,GA,Yes,TEDIS
SOPHAR S.A.,,,,,,,RW,Yes,SOPHAR
LABOREX SENEGAL,,,,,,,SN,Yes,LABOREX
P.N.A,,,,,,,SN,Yes,P.N.A
PHARMACIE DE LA REPUBLIQUE,,,,,,,DJ,Yes,PHARMACIE DE LA REPUBLIQUE
PAX PHARMA LTD.,,,,,,,RW,Yes,PAX PHARMA LTD
IBIS PHARMA / RWANDA       CL,,,,,,,RW,Yes,IBIS PHARMA
CAISSE NATIONALE DE LA SECURITE SOCIALE,,,,,,,DJ,Yes,CAISSE NATIONALE DE LA SECURITE SOCIALE
GEFARMA,,,,,,,GQ,Yes,GEFARMA
PHARMACIE YASSINE,,,,,,,KM,Yes,PHARMACIE YASSINE
SOPHAR LTD,,,,,,,RW,Yes,SOPHAR
SKY PHARMACEUTICALS LTD,,,,,,,ZW,Yes,SKY PHARMACEUTICALS
SKY HEALTHCARE LTD,,,,,,,ZW,Yes,SKY PHARMACEUTICALS
SKY PHARMACEUTICALS (PVT) LTD,,,,,,,ZW,Yes,SKY PHARMACEUTICALS
LABOREX DLA,,,,,,,CM,Yes,LABOREX
LABOREX YDE,,,,,,,CM,Yes,LABOREX
LABOREX NORD,,,,,,,CM,Yes,LABOREX
LABOREX CAMEROUN,,,,,,,CM,Yes,LABOREX
UBIPHARM YDE,,,,,,,CM,Yes,UBIPHARM
UBIPHARM DLA,,,,,,,CM,Yes,UBIPHARM
UBIPHARM NORD,,,,,,,CM,Yes,UBIPHARM
UBIPHARM CAMEROUN,,,,,,,CM,Yes,UBIPHARM
PHARMACAM DLA,,,,,,,CM,Yes,PHARMACAM
PHARMACAM YDE,,,,,,,CM,Yes,PHARMACAM
PHARMACAM,,,,,,,CM,Yes,PHARMACAM
SOGEN,,,,,,,SN,Yes,SOGEN
PLANETPHARMA S.A.   TG,,,,,,,TG,Yes,PLANETPHARMA
PLANETPHARMA S.A.    SN,,,,,,,SN,Yes,PLANETPHARMA
IBIS PHARMA CONGO CL,,,,,,,CG,Yes,IBIS PHARMA
PLANETPHARMA S.A. PN CG,,,,,,,CG,Yes,PLANETPHARMA
TEDIS C/M MALI,,,,,,,ML,Yes,TEDIS
TEDIS / POUR CAMED MALI,,,,,,,ML,Yes,TEDIS
PLANETPHARMA S.A.    ML,,,,,,,ML,Yes,PLANETPHARMA
PLANETPHARMA S.A.    CI,,,,,,,CI,Yes,PLANETPHARMA
PHARMACAM S.A,,,,,,,CM,Yes,PHARMACAM
PLANETPHARMA S.A.    CM,,,,,,,CM,Yes,PLANETPHARMA
PLANETPHARMA S.A.    GA,,,,,,,GA,Yes,PLANETPHARMA
PHARMACIE  NOUVELLE LTD,,,,,,,MU,Yes,PHARMACIE  NOUVELLE
IOTRAD,,,,,,,MU,Yes,IOTRAD
A.M.T. PHARMA,,,,,,,CG,Yes,A.M.T. PHARMA
PLANETPHARMA S.A.   BJ,,,,,,,BJ,Yes,PLANETPHARMA
UBIPHARM NIGER SA,,,,,,,NE,Yes,UBIPHARM
PLANETPHARMA S.A.    NE,,,,,,,NE,Yes,PLANETPHARMA
PLANETPHARMA S.A.   MG,,,,,,,MG,Yes,PLANETPHARMA
TEDIS PHARMA MAURITANIE,,,,,,,MU,Yes,TEDIS
E.P.DIS,,,,,,,FR,Yes,EPDIS
SANOFI AVENTIS COTE D IVOIRE,,,,,,,CI,Yes,SANOFI AVENTIS CI
UNION BENINOISE DE PHARMACIENS,,,,,,,BJ,Yes,UNION BENINOISE DE PHARMACIENS
PHARMACIE NATIONALE D APPROVISIONNE,,,,,,,SN,Yes,PHARMACIE NATIONALE D'APPROVISIONNEMENT
SOCIETE BALM-TCHAD S.A./GA,,,,,,,TD,Yes,BALMTCHAD
AUXI-EXPORT / RDC,,,,,,,CD,Yes,AUXI EXPORT
SANOFI AVENTIS GABON,,,,,,,GA,Yes,SANOFI AVENTIS GABON
PROPHARMED INTERNATIONAL / BURKINA,,,,,,,BF,Yes,PROPHARMED
PROPHARMED INTERNATIONAL / BENIN,,,,,,,BJ,Yes,PROPHARMED
MAURIMED SA,,,,,,,MR,Yes,MAURIMED
PROPHARMED INTERNATIONAL/MAURITANIE,,,,,,,MR,Yes,PROPHARMED
SANOFI - SUCCURSALE DU CONGO,,,,,,,CG,Yes,SANOFI AVENTIS CONGO
PROPHARMED INTERNATIONAL / R.D.C.,,,,,,,CD,Yes,PROPHARMED
VITAL SUPPLIES LIMITED,,,,,,,UG,Yes,VITAL SUPPLIES
PROPHARMED INTERNATIONAL / CONGO,,,,,,,CG,Yes,PROPHARMED
EQUATORIAL BUSINESS GROUP PLC,,,,,,,ET,Yes,EBG
MERCAFAR,,,,,,,PT,Yes,MERCAFAR
WORLDWIDE HEALTHCARE LTD,,,,,,,GH,Yes,WORLDWIDE HEALTHCARE LTD
SURGIPHARM LIMITED,,,,,,,KE,Yes,SURGIPHARM
LABOREX TANZANIE,,,,,,,TZ,Yes,LABOREX
