Name,Email,Phone,Address,City,Country,is_subsidiary,parent_company
COPTIC HOSPITAL               ,,,,,KE,,
CROSSAL CHEMICAL SERVICES     ,,,,,KE,,
D.O.D - ARMY DRUG STORE,,,,,KE,,
DAMCO PHARMA LTD              ,,,,,KE,,
DAN PHARMACIE LTD,,,,,KE,,
DAN PHARMACIE LTD             ,,,,,KE,,
DELL-LIGHT PHARMACEUTICALS,,,,,KE,,
DIANI BEACH HOSPITAL          ,,,,,KE,,
DISCHEM PHAMACIE,,,,,KE,,
DISCHEM PHARMACIE             ,,,,,KE,,
DOCPHARMA,,,,,KE,,
DOCPHARMA LTD                 ,,,,,KE,,
DOVEY PHARMA PHARMACEUTICALS  ,,,,,KE,,
DOVEYPHARMA LTD(NAIROBI),,,,,KE,,
DR ARTHUR M. USAGI            ,,,,,KE,,
DR HEMANT PATEL,,,,,KE,,
DR NELSON MURAYA WACHIRA      ,,,,,KE,,
DR S.N WARUI                  ,,,,,KE,,
DR WAGANA'S CLINIC            ,,,,,KE,,
DR. GOEFFREY KASEMBELI        ,,,,,KE,,
DR. IGNATIUS  L. M MUTURI,,,,,KE,,
DR. KISIANGANI                ,,,,,KE,,
DR. MAZAHER H JAFFER          ,,,,,KE,,
DR.E.M MANUTHU                ,,,,,KE,,
DR.PATROBA ONKOBA             ,,,,,KE,,
EAGLE PHARM CHEMISTS LTD      ,,,,,KE,,
EAGLEPHARM CHEMISTS LTD,,,,,KE,,
EASTLEIGH PHARMACEUTICAL CO,,,,,KE,,
EASTLEIGH PHARMACEUTICALS LTD ,,,,,KE,,
ECODRUGS PHARMACY LTD         ,,,,,KE,,
ELDOBASE CHEMISTS,,,,,KE,,
ELDOBASE CHEMISTS             ,,,,,KE,,
ELDOCHEM                      ,,,,,KE,,
ELDOHOSP PHARMACEUTICAL LTD EL,,,,,KE,,
ELDOHOSP PHARMACEUTICAL LTD NB,,,,,KE,,
ELDOHOSP PHARMACEUTICALS [NAIROBI],,,,,KE,,
ELEMENTAITA PHARMACEUTICALS   ,,,,,KE,,
ELIM CENTRAL PHARMACY         ,,,,,KE,,
END CHEM PHARMACY             ,,,,,KE,,
ETHOPIAN AIRLINES ENTERPRISE  ,,,,,KE,,
EVANS SUNRISE MEDICAL CENTRE  ,,,,,KE,,
EXECUTIVE CARE PHARMACEUTICAL ,,,,,KE,,
FAIZ PHARMACY,,,,,KE,,
FAIZ PHARMACY LTD             ,,,,,KE,,
FAMILY MEDICAL SUPPLIES LTD   ,,,,,KE,,
FAMILY MEDICAL SUPPLIES LTD.,,,,,KE,,
FARMERS CHOICE LIMITED,,,,,KE,,
FIG TREE HEALTHY OPTIONS      ,,,,,KE,,
FORCE MEMORIAL HOSPITAL       ,,,,,KE,,
FORCES MEM HOSP (SUSP A/C ),,,,,KE,,
FOUNTAIN HEALTHCARE           ,,,,,KE,,
FREB PHARMACEUTICALS LTD      ,,,,,KE,,
FREB PHARMACY,,,,,KE,,
FRIENDS CHEMISTS LTD          ,,,,,KE,,
FROS CHEMISTS                 ,,,,,KE,,
GATEHOUSE MEDICAL CENTRE      ,,,,,KE,,
GATHIMAINI PHARMACY CO LTD,,,,,KE,,
GATHIMAINI PHARMACY CO. LTD,,,,,KE,,
GATHIMAINI PHARMACY CO. LTD   ,,,,,KE,,
GENERICS AFRICA LIMITED,,,,,KE,,
GENERICS AFRICA LTD           ,,,,,KE,,
GENERICS AFRICA LTD.,,,,,KE,,
GERMAN MEDICAL CENTER         ,,,,,KE,,
GERTRUDE'S CHILDREN HOSPITAL,,,,,KE,,
GETEMBE PHARMACY              ,,,,,KE,,
GETRUDE'S GARDEN CHILDREN HOSP,,,,,KE,,
GOODLIFE PHARMACY LIMITED     ,,,,,KE,,
GOODLIFE PHARMACY LTD,,,,,KE,,
GRAND CHEMIST                 ,,,,,KE,,
GREENLIFE PHARMA LIMITED      ,,,,,KE,,
GREENMONT MEDICAL CENTER      ,,,,,KE,,
HALTONS PHARMA LTD,,,,,KE,,
HARTLANE PHARMACEUTICALS LTD  ,,,,,KE,,
HEALTH AID CHEMIST            ,,,,,KE,,
HEALTH MEISTER PHARMACY       ,,,,,KE,,
HEALTH SOURCE MEDICAL CENTER  ,,,,,KE,,
HEALTHWAY CHEMIST,,,,,KE,,
HEMLOCK PHARMACY LTD          ,,,,,KE,,
HIGHPHARM PHARMACEUTICALS LTD,,,,,KE,,
HIGHRIDGE PHARMACY LTD        ,,,,,KE,,
HIGHTONE PHARMACY             ,,,,,KE,,
HOPEPHARM PHARMACEUTICALS LTD.,,,,,KE,,
HUNTSCARE PHARMACY            ,,,,,KE,,
IMANI HOSPITAL                ,,,,,KE,,
INKAMED PHARMACEUTICALS       ,,,,,KE,,
IOM REGIONAL OFFICE,,,,,KE,,
ION KENYA LIMITED,,,,,KE,,
ISAJE CHEMIST                 ,,,,,KE,,
ISENYA PHARMACY               ,,,,,KE,,
ITABUA CHEMIST                ,,,,,KE,,
IVORY HEALTH SOLUTIONS        ,,,,,KE,,
JACARANDA CHEMISTS,,,,,KE,,
JACKS PHARMACY,,,,,KE,,
JACK'S PHARMACY               ,,,,,KE,,
JALARAM MEDICAL SERVICES,,,,,KE,,
JALARAM MEDICAL SERVICES      ,,,,,KE,,
JAMBO MEDICAL STORES,,,,,KE,,
JERUSALEM CHEMISTS,,,,,KE,,
JOCHAM HOSPITAL,,,,,KE,,
JOKAM PHARMACY                ,,,,,KE,,
JOYKIM NURSING HOME           ,,,,,KE,,
JOYLAND PHARMACY              ,,,,,KE,,
K.I.R.E.C  LTD                ,,,,,KE,,
KAM PHARMACY (I.P.S. BUILDING),,,,,KE,,
KAM PHARMACY LTD (HARAMBEE AV),,,,,KE,,
KAM PHARMACY LTD(IPS)         ,,,,,KE,,
KAM PHARMACY-HARAMBEE LTD     ,,,,,KE,,
KAPSASUR PHARMACY             ,,,,,KE,,
KAREN CHEMISTS,,,,,KE,,
KARURI STORES,,,,,KE,,
KAVA KAVA PHARMACY LTD,,,,,KE,,
KAVAKAVA PHARMACY             ,,,,,KE,,
KAVIRONDO CHEMIST LIMITED     ,,,,,KE,,
KEMRI WELLCOME TRUST RES.     ,,,,,KE,,
KENGELENI PHARMACY            ,,,,,KE,,
KENTONS LTD                   ,,,,,KE,,
KENTONS LTD.,,,,,KE,,
KENYA AIR FORCE (SUSP A/C),,,,,KE,,
KENYA AIRWAYS PLC             ,,,,,KE,,
KENYA ELECTRICITY GEN.CO.LTD  ,,,,,KE,,
KENYA ELECTRICITY GEN.COMPANY ,,,,,KE,,
KENYA HOSPITAL ASSOCIATION    ,,,,,KE,,
KENYA PORTS AUTHORITY         ,,,,,KE,,
KENYA POST OFFICE SAVINGS BANK,,,,,KE,,
KENYATTA NATIONAL HOSPITAL(SUSP A/C),,,,,KE,,
KERU HEALTHCARE LIMITED,,,,,KE,,
KERUGOYA PRIME                ,,,,,KE,,
KILIMANI CHILDREN'S CLINIC,,,,,KE,,
KILIMANI CHILDREN'S CLINIC LTD,,,,,KE,,
KINSEN PHARMACEUTICALS LTD    ,,,,,KE,,
KISAO PHARMACY LTD            ,,,,,KE,,
KISIMA HEALTH FACILITY        ,,,,,KE,,
KISUMU SPECIALISTS HOSPITAL   ,,,,,KE,,
KITENGELA WEST HOSPITAL LTD,,,,,KE,,
KITPHARM CHEMIST              ,,,,,KE,,
KLINCARE PHARMACY             ,,,,,KE,,
KONA MTONGWE CHEMIST          ,,,,,KE,,
KRISHNA CHEMISTS LTD,,,,,KE,,
KRISHNA CHEMISTS LTD          ,,,,,KE,,
KULAL INTERNATIONAL LTD       ,,,,,KE,,
KULAL INTERNATIONAL LTD.,,,,,KE,,
LAIKIPIA PHARMACY LTD,,,,,KE,,
LAKEPHARM LIMITED,,,,,KE,,
LAKEPHARM LTD                 ,,,,,KE,,
LEBILLE PHARMACEUTICALS LTD,,,,,KE,,
LELESHWA PHARMACY             ,,,,,KE,,
LENANA PHARMACEUTICAL LTD     ,,,,,KE,,
LENANA PHARMACEUTICALS LTD,,,,,KE,,
LEO CHEMIST                   ,,,,,KE,,
LIFECARE PHARMACEUTICALS LTD  ,,,,,KE,,
LIFEMED PHARMACY LTD (KILELESHWA),,,,,KE,,
LIMELIGHT CHEMIST LTD,,,,,KE,,
LINKAL CHEMIST                ,,,,,KE,,
LIONS SIGHT FIRST EYE HOSPITAL,,,,,KE,,
LUC PHARMACY                  ,,,,,KE,,
LUCKY SUMMER CHEMIST LTD(CASH A/C),,,,,KE,,
MAIRUNE CHEMIST LTD,,,,,KE,,
MAKADARA CHEMIST              ,,,,,KE,,
MAKADARA CHEMISTS,,,,,KE,,
MAKUPA CHEMISTS,,,,,KE,,
MALIBA PHARMACY,,,,,KE,,
MALIBU PHARMACY               ,,,,,KE,,
MALIBU PHARMACY LTD,,,,,KE,,
MALINDI CHEMIST               ,,,,,KE,,
MALINDI FIRST PHARMACY        ,,,,,KE,,
MANDERA DRUGMART,,,,,KE,,
MARY HELP OF THE SICK         ,,,,,KE,,
MASENO UNIVERSITY COLLEGE     ,,,,,KE,,
MATER MISEROCORDIAE HOSPITAL  ,,,,,KE,,
MAUA HILLTOP PHARMACY         ,,,,,KE,,
MEDICARE CLINIC               ,,,,,KE,,
MEDICHEM PHARMACY             ,,,,,KE,,
MEDIMART HEALTHCARE LTD-TRM   ,,,,,KE,,
MEDINA PHARMACY,,,,,KE,,
MEDINA PHARMACY               ,,,,,KE,,
MEDIO CARE PHARMACEUTICALS LTD,,,,,KE,,
MEDIO-CARE PHARMACEUTICALS LTD,,,,,KE,,
MEDIPOINT (E.A) LTD.,,,,,KE,,
MEDS PHARMACEUTICALS  LTD     ,,,,,KE,,
MEDSCHEME PHARMACY LTD        ,,,,,KE,,
MEGALIFE LIMITED,,,,,KE,,
MEGALIFE LTD                  ,,,,,KE,,
MEMON MEDICAL CENTRE          ,,,,,KE,,
MERCURY PHARMACEUTICALS       ,,,,,KE,,
METROPOLITAN CHEMISTS LTD     ,,,,,KE,,
METROPOLITAN HOSPITALS LTD    ,,,,,KE,,
MISSION FOR E DRUGS & SUPPLIES,,,,,KE,,
MISSION FOR ESSENTIAL DRUGS,,,,,KE,,
MITRA PHARMACEUTICALS         ,,,,,KE,,
MODESTY MEDICAL CENTRE LTD,,,,,KE,,
MOI TEACHING & REFERRAL HOSP  ,,,,,KE,,
MOI TEACHING AND REFERRAL HOSP (SUSP A/C),,,,,KE,,
MOMBASA HOSPITAL              ,,,,,KE,,
MOTHERS PHARMACY,,,,,KE,,
MPESA CASH ACCOUNT ELDORET    ,,,,,KE,,
MPESA CASH ACCOUNT KISUMU     ,,,,,KE,,
MPESA CASH ACCOUNT KOINANGE   ,,,,,KE,,
MPESA CASH ACCOUNT NAKURU     ,,,,,KE,,
MPESA CASH SALE- ACONITE PHARMACEUTICAL,,,,,KE,,
MPESA CASH SALE- AGMART PHARMACEUTICALS,,,,,KE,,
MPESA CASH SALE- ANGRAC COMPANY LTD,,,,,KE,,
MPESA CASH SALE- AVILA CHEMIST,,,,,KE,,
MPESA CASH SALE- BEVEL CHEMIST,,,,,KE,,
MPESA CASH SALE- BMED HEALTHCARE LTD,,,,,KE,,
MPESA CASH SALE- BREEZEPHARM CHEMIST,,,,,KE,,
MPESA CASH SALE- BRETT PHARMACY,,,,,KE,,
MPESA CASH SALE- CANARY PHARMACY,,,,,KE,,
MPESA CASH SALE- CECLAN CHEMIST,,,,,KE,,
MPESA CASH SALE- CECLAN PHARMACY,,,,,KE,,
MPESA CASH SALE- CENTRAL BANK CLINIC,,,,,KE,,
MPESA CASH SALE- DALAL PARKROAD PHARMACY,,,,,KE,,
MPESA CASH SALE- DANTRIO PHARMACY,,,,,KE,,
MPESA CASH SALE- DOUBLE B MEDICAL FACILITY,,,,,KE,,
MPESA CASH SALE- DR DEVIN VAGHELA,,,,,KE,,
MPESA CASH SALE- DR IRENE,,,,,KE,,
MPESA CASH SALE- DR. MATHARU,,,,,KE,,
MPESA CASH SALE- ERIMED CHEMIST,,,,,KE,,
MPESA CASH SALE- FASTMED CHEMIST,,,,,KE,,
MPESA CASH SALE- FEWAPE CHEMIST,,,,,KE,,
MPESA CASH SALE- FLOSYVIA PHARMACEUTICALS,,,,,KE,,
MPESA CASH SALE- FRONTAL CHEMIST,,,,,KE,,
MPESA CASH SALE- GEORGIOLANI LIMITED,,,,,KE,,
MPESA CASH SALE- HELLO PHARMACY,,,,,KE,,
MPESA CASH SALE- HOMETOWN COMMUNITY PHARMACY,,,,,KE,,
MPESA CASH SALE- JAIT PHARMACY,,,,,KE,,
MPESA CASH SALE- KENYATTA TEACHING R.&R HSP,,,,,KE,,
MPESA CASH SALE- LAVIDA PHARMACEUTICALS- RUAI,,,,,KE,,
MPESA CASH SALE- MEDCARE PHARMACY,,,,,KE,,
MPESA CASH SALE- NAZARENE CLINIC,,,,,KE,,
MPESA CASH SALE- NICOMED PHARMACEUTICALS,,,,,KE,,
MPESA CASH SALE- OPTIHEALTH PHARMACY LIMITED,,,,,KE,,
MPESA CASH SALE- OPTILIPE PHARMACY,,,,,KE,,
MPESA CASH SALE- PALMED PHARMACEUTICALS,,,,,KE,,
MPESA CASH SALE- PAYLESS PHARMACY,,,,,KE,,
MPESA CASH SALE- PHARMACLAN PHARMACEUTICALS,,,,,KE,,
MPESA CASH SALE- RIDGE CHEMIST,,,,,KE,,
MPESA CASH SALE- RIGHT CARE CLINIC,,,,,KE,,
MPESA CASH SALE- RITE CARE CLINIC & PHARMACY,,,,,KE,,
MPESA CASH SALE- SAMUCHEM CHEMIST,,,,,KE,,
MPESA CASH SALE- SELFLESS PHARMACY,,,,,KE,,
MPESA CASH SALE- TASEK-CARE,,,,,KE,,
MPESA CASH SALE- TERRIME CHEMIST,,,,,KE,,
MPESA CASH SALE- TRANSPAN CHEMIST,,,,,KE,,
MPESA CASH SALE- WAKWA CHEMIST,,,,,KE,,
MPESA CASH SALE- YANAH PHARMACEUTICAL LTD,,,,,KE,,
MUTINDWA CHEMISTS,,,,,KE,,
MUTINDWA CHEMISTS LTD         ,,,,,KE,,
MVULE PHARMACY LIMITED,,,,,KE,,
MWEMBENI PHARMACY BAMBURI     ,,,,,KE,,
NAIROBI ENTERPRISES LTD       ,,,,,KE,,
NAIROBI SOUTH MEDICAL CENTER  ,,,,,KE,,
NAIROBI WEST HOSPITAL         ,,,,,KE,,
NAIROBI WOMEN'S HOSPITAL      ,,,,,KE,,
NAKURU AFYA CHEMIST           ,,,,,KE,,
NAKURU CLINICAL UNIT          ,,,,,KE,,
NAKURU HEART CENTRE           ,,,,,KE,,
NAS AIRPORT SERVICES LTD      ,,,,,KE,,
NEEMA PHARMACY LTD            ,,,,,KE,,
NEW COAST VIEW CHEMIST        ,,,,,KE,,
NEW VIPINGO PHARMACY          ,,,,,KE,,
NILA PHARMACY                 ,,,,,KE,,
NILA PHARMACY LTD,,,,,KE,,
NILSON PHARMACEUTICALS,,,,,KE,,
NILSON PHARMACEUTICALS LTD    ,,,,,KE,,
NJIMIA PHARMACEUTICALS LTD    ,,,,,KE,,
NORTHCOAST PHARMACY           ,,,,,KE,,
NORTHERN PHARMACY LIMITED,,,,,KE,,
NORTHERN PHARMACY LIMITED     ,,,,,KE,,
NYAKHOE PHARMACY              ,,,,,KE,,
NYALI CHEMIST MOMBASA         ,,,,,KE,,
OMAERA PHARMACEUTICALS,,,,,KE,,
OMAERA PHARMACY LTD           ,,,,,KE,,
OPERA PHARMA (K) LTD          ,,,,,KE,,
ORION PHARMACY LIMITED[FOREST BRANCH],,,,,KE,,
ORION PHARMACY-LANDMARK,,,,,KE,,
ORION PHARMACY-MUTHAIGA,,,,,KE,,
OTHAYA CHEMISTS               ,,,,,KE,,
OUTSPAN HOSPITAL-EMBU         ,,,,,KE,,
OUTSPANS  HOSPITAL            ,,,,,KE,,
PALM BEACH HOSPITAL           ,,,,,KE,,
PANDYA MEMORIAL HOSPITAL      ,,,,,KE,,
PATSONS CHEMIST LTD           ,,,,,KE,,
PAWA HEALTHCARE LTD           ,,,,,KE,,
PCEA KIKUYU HOSPITAL          ,,,,,KE,,
PHARMACEUTICA 1985 LTD        ,,,,,KE,,
PHARMACEUTICA'85 LTD,,,,,KE,,
PHARMACLAN PHARMACEUTICALS LTD,,,,,KE,,
PHARMACY LINKS,,,,,KE,,
PHARMACY LINKS                ,,,,,KE,,
PHARMART ABC CHEMIST LIMITED.,,,,,KE,,
PHARMART ABC CHEMIST LTD,,,,,KE,,
PHARMART ABC CHEMIST LTD      ,,,,,KE,,
PHARMART GALLERIA CHEMIST LTD,,,,,KE,,
PHARMORE PHARMACY             ,,,,,KE,,
PHILMED LIMITED               ,,,,,KE,,
PHILMED PHARMACY LTD.,,,,,KE,,
PILOT PHARMACEUTICALS LTD.,,,,,KE,,
PORTAL PHARMACY               ,,,,,KE,,
PORTAL PHARMACY LTD,,,,,KE,,
PREMIER HOSPITAL LIMITED      ,,,,,KE,,
PREMIER HOSPITAL LTD,,,,,KE,,
PRIRAPHARM THE CHEMIST        ,,,,,KE,,
PRIX PHARMA CHEMIST           ,,,,,KE,,
QUEENS VILLE PHARMACY LTD.,,,,,KE,,
QUEENSVILLE PHARMACY LTD      ,,,,,KE,,
QUINTONS PHARMACY LIMITED     ,,,,,KE,,
RAFIKI CHEMIST,,,,,KE,,
RAJ PHARMACY                  ,,,,,KE,,
RAM PHARMACEUTICALS LIMITED   ,,,,,KE,,
RAM PHARMACEUTICALS LTD,,,,,KE,,
RAMOGI CHEMISTS LTD,,,,,KE,,
RANGECHEM PHARMACEUTICALS LTD ,,,,,KE,,
RAPHA HOSPITAL                ,,,,,KE,,
REALE HOSPITAL,,,,,KE,,
REALE MEDICAL CENTER LTD      ,,,,,KE,,
RELIANT PHARMACEUTICAL LIMITED(CASH A/C),,,,,KE,,
RELIANT PHARMACEUTICAL LTD    ,,,,,KE,,
RIDDHI PHARMACEUTICALS        ,,,,,KE,,
RUP PHARM LTD                 ,,,,,KE,,
RWAN PHARMACY LTD             ,,,,,KE,,
SABOTI CHEMIST,,,,,KE,,
SAGITARIX LTD                 ,,,,,KE,,
SAIFEE FOUNDATION MED CENTRE,,,,,KE,,
SAKO PHARAMCY LTD             ,,,,,KE,,
SALAMA PHARMACEUTICALS        ,,,,,KE,,
SALES: KISUMU 60              ,,,,,KE,,
SALES: MOMBASA 68             ,,,,,KE,,
SALES: MOMBASA 69             ,,,,,KE,,
SALES: NAIROBI 62             ,,,,,KE,,
SALES: NAIROBI 64             ,,,,,KE,,
SALES: NAIROBI 72             ,,,,,KE,,
SALES: NAKURU 67              ,,,,,KE,,
SAOLA PHARMACEUTICALS LIMITED ,,,,,KE,,
SAYYIDA FATIMA HOSPITAL       ,,,,,KE,,
SAYYIDA FATIMAH HOSPITAL,,,,,KE,,
SEASIDE PHARMACY,,,,,KE,,
SEGUTON CENTRAL PHARMACY      ,,,,,KE,,
SERENE PHARMACY               ,,,,,KE,,
SHIELD PHARMACEUTICALS LTD,,,,,KE,,
SHIFA CHEM LIMITED,,,,,KE,,
SHIFA CHEMIST                 ,,,,,KE,,
SHIKAMED PHARMACY LIMITED     ,,,,,KE,,
SHORELINE PHARMACY            ,,,,,KE,,
SIYARA PHARMACY LIMITED,,,,,KE,,
SONACHEM                      ,,,,,KE,,
ST.LUKES ORTHO & TRAUMA HOSP  ,,,,,KE,,
STAFF CASH SALES,,,,,KE,,
STAFF: DOUGLAS KIUNGA       NB,,,,,KE,,
STAFF: HESLA JEMUTAI          ,,,,,KE,,
STAGEVIEW PHARMACY            ,,,,,KE,,
STAR HOSPITAL,,,,,KE,,
STRATHMORE UNIVERSITY         ,,,,,KE,,
SUNCITY CHEMISTS LTD.,,,,,KE,,
SUPREME PHARMACY              ,,,,,KE,,
SURGIK PHARMACEUTICALS,,,,,KE,,
SURGIK PHARMACEUTICALS LTD    ,,,,,KE,,
SWITZER CHEMIST               ,,,,,KE,,
SYNAPSE PHARMACEUTICALS LTD,,,,,KE,,
TAKE 1 PHARMACY LTD           ,,,,,KE,,
TAN PHARMACY                  ,,,,,KE,,
TEALANDS CHEMISTS LIMITED     ,,,,,KE,,
TEALANDS CHEMISTS LIMITED(KCH),,,,,KE,,
TEMPLE STORES PHARMACEUTICALS ,,,,,KE,,
TEMPLE STORES PHARMACY,,,,,KE,,
TENWEK HOSPITAL               ,,,,,KE,,
THE KENYA ARMY                ,,,,,KE,,
THE MATER HOSPITAL,,,,,KE,,
THE NAIROBI WOMENS HOSPITAL,,,,,KE,,
THWAKE PHARMACY               ,,,,,KE,,
TOPHILL HOSPITAL              ,,,,,KE,,
TOPLINE PHARMACEUTICALS LTD,,,,,KE,,
TOUCHSTONE PHARMACEUTICALS LTD.,,,,,KE,,
TRANSCHEM PHARMACEUTICALS     ,,,,,KE,,
TRANSCHEM PHARMACY,,,,,KE,,
TRANSWIDE PHARMACEUTICALS     ,,,,,KE,,
TRANSWIDE PHARMACY,,,,,KE,,
TRIDEV PHARMACEUTICALS LTD    ,,,,,KE,,
TRIDEV PHARMACY,,,,,KE,,
TWO FAMILIES LTD - PARKLANDS LIMURU ROAD,,,,,KE,,
ULTRAMED HEALTHCARE LIMITED   ,,,,,KE,,
UNITED STATES INTER UNIVERSITY,,,,,KE,,
UPPERHILL MEDICAL CENTER PHRCY,,,,,KE,,
VICTORIA HEALTHCARE LTD       ,,,,,KE,,
VIRDI PHARMACY                ,,,,,KE,,
WAMBUGU PHARM CHEMIST         ,,,,,KE,,
WESTMALL CHEMIST LTD          ,,,,,KE,,
WIMAH CHEMIST                 ,,,,,KE,,
WINSTONS HERITAGE PHARMACY LTD,,,,,KE,,
WOODS PHARMACEUTICALS LTD     ,,,,,KE,,
YUCARE PHARMACY LTD           ,,,,,KE,,
