MSR,Customer Name,Products
CHC-NP,A G PHARMACEUTICAL,NOSPA 40MG TAB BL10X10 S3
CHC-NP,A G PHARMACEUTICAL,NOSPA 80MG TAB BL2X10 S3
KE-G.MED-3-2,A G PHARMACEUTICAL,ORELOX 100MG TABCO BL1X10
KE-G.MED-3-2,A G PHARMACEUTICAL,ORELOX 200MG 10CP
KE-G.MED-3-2,A G PHARMACEUTICAL,ORELOX 400MG/50ML GRAN BTX1 SWI M24 XE
KE-G.MED-3-2,A G PHARMACEUTICAL,ORELOX 800MG/+ GRAN BTX1
KE-G.MED-1-3,A G PHARMACEUTICAL,PLAVIX 75MG TABCO BL2X14 M36 XE
CHC-NP,A G PHARMACEUTICAL,RHINATHIOL 10G/200ML SOL BTX1 XM
KE-CHC-5,A G PHARMACEUTICAL,RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM
KE-CHC-5,A G PHARMACEUTICAL,RHINATHIOL 6.25G/+ SYR BT
KE-CHC-1,A G PHARMACEUTICAL,"RHINATHIOL PROMETHAZ 2,5G/+ SYR BTX1 XM"
GEM-NP,A G PHARMACEUTICAL,STILNOX 10MG TABCO BL1X14 S3 M48 XD
GEM-NP,A G PHARMACEUTICAL,TAVANIC 500MG TABLETS 5's
KE-G.MED-1-3,A G PHARMACEUTICAL,"TRITACE 2,5MG  28 TABS"
KE-G.MED-1-3,A G PHARMACEUTICAL,TRITACE 5MG 28 TABS
KE-G.MED-2-1,A G PHARMACEUTICAL,XATRAL 10MG TABCR BL3X10 S3 M36 XD
KE-G.MED-2-1,A G PHARMACEUTICAL,XATRAL 5MG TAB BL4X14 S3 M36 XD
KE-DCV_Others,A TO Z PHARMACY LTD,AMARYL 2MG 30 TABS
KE-DCV_Others,A TO Z PHARMACY LTD,AMARYL 4MG 30 TABS
KE-DCV_Others,A TO Z PHARMACY LTD,AMARYL MIR 2-500MG TABCO BL3X10 XE
CHC-NP,A TO Z PHARMACY LTD,BRONCHICUM 6.64G/+ ELIX BTX1 XE
CHC_OTC_Others,A TO Z PHARMACY LTD,BUSCOPAN TABLETS BP 10mg * 50's
KE-REG-3,A TO Z PHARMACY LTD,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE
GEM-NP,A TO Z PHARMACY LTD,CORDARONE 200MG TAB BL3X10 S3 M36 XD
CHC_OTC_Others,A TO Z PHARMACY LTD,DULCOLAX TABLETS 5mg * 30's SugarC
KE-REG-3,A TO Z PHARMACY LTD,EPILIM 12G/300ML SYR BTX1
KE-REG-3,A TO Z PHARMACY LTD,EPILIM 200MG TAB BL10X10
KE-REG-3,A TO Z PHARMACY LTD,EPILIM CHRONO 333-145MG T
KE-REG-3,A TO Z PHARMACY LTD,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE
KE-G.MED-4_Others,A TO Z PHARMACY LTD,FLAGENTYL 500MG TABCO BL1X4 S3 XE
KE-G.MED-4_Others,A TO Z PHARMACY LTD,FLAGYL 400MG 100 TABS
KE-G.MED-4_Others,A TO Z PHARMACY LTD,FLAGYL SUSPENSION 100ML
KE-DCV_Others,A TO Z PHARMACY LTD,LANTUS SOLOSTAR 100IU/ML 3ML 5
GEM-NP,A TO Z PHARMACY LTD,LASIX 20MG/2ML INJ AM5 S3 M60 XE
GEM-NP,A TO Z PHARMACY LTD,LASIX 40MG TAB BL2X10 SWI M60 XE
CHC-NP,A TO Z PHARMACY LTD,MAALOX SUSPENSION 350ML (EXPORT)
CHC-NP,A TO Z PHARMACY LTD,NOSPA 40MG TAB BL10X10 S3
CHC-NP,A TO Z PHARMACY LTD,NOSPA 80MG TAB BL2X10 S3
KE-REG-3,A TO Z PHARMACY LTD,ORELOX 200MG 10CP
KE-REG-3,A TO Z PHARMACY LTD,ORELOX 800MG/+ GRAN BTX1
GEM-NP,A TO Z PHARMACY LTD,RIFOCIN 250MG/3ML INJ AM1 S3 M36 XE
GEM-NP,A TO Z PHARMACY LTD,TAVANIC 500MG TABLETS 5's
KE-G.MED-1_Others,A TO Z PHARMACY LTD,"TRITACE 2,5MG  28 TABS"
KE-G.MED-1_Others,A TO Z PHARMACY LTD,TRITACE 5MG 28 TABS
KE-G.MED-2-1,A TO Z PHARMACY LTD,XATRAL 10MG TABCR BL3X10 S3 M36 XD
KE-G.MED-2-1,A TO Z PHARMACY LTD,XATRAL 5MG TAB BL4X14 S3 M36 XD
KE-G.MED-1-3,A.I.C. KIJABE HOSPITAL,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE
KE-G.MED-1-3,A.I.C. KIJABE HOSPITAL,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE
KE-G.MED-1-3,A.I.C. KIJABE HOSPITAL,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE
KE-G.MED-3-1,A.I.C. KIJABE HOSPITAL,EPILIM 12G/300ML SYR BTX1
KE-G.MED-3-1,A.I.C. KIJABE HOSPITAL,EPILIM 200MG TAB BL10X10
KE-G.MED-3-1,A.I.C. KIJABE HOSPITAL,EPILIM CHRONO 333-145MG T
KE-G.MED-3-1,A.I.C. KIJABE HOSPITAL,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE
KE-G.MED-4-1,A.I.C. KIJABE HOSPITAL,FLEMING 500-125MG TABCO BL2X7 M24 EX
KE-G.MED-4-1,A.I.C. KIJABE HOSPITAL,FLEMING 875-125MG TABCO BL2X7 M24 EX
CHC_OTC_Others,AAR HEALTHCARE (KENYA) LIMITED - MSA,BUSCOPAN TABLETS BP 10mg * 50's
KE-DCV_Others,AAR HEALTHCARE (KENYA) LIMITED - MSA,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-CHC-5,AAR HEALTHCARE (KENYA) LIMITED - MSA,DULCOLAX TABLETS 5mg * 30's SugarC
KE-CHC-1,AAR HEALTHCARE (KENYA) LIMITED - MSA,ENTEROGERMINA 2BCFU/5ML SUSP BTX10 S3 XE
KE-REG-2,AAR HEALTHCARE (KENYA) LIMITED - MSA,EPILIM 12G/300ML SYR BTX1
KE-G.MED-4_Others,AAR HEALTHCARE (KENYA) LIMITED - MSA,FLAGYL 400MG 100 TABS
KE-G.MED-4_Others,AAR HEALTHCARE (KENYA) LIMITED - MSA,FLAGYL SUSPENSION 100ML
CHC-NP,AAR HEALTHCARE (KENYA) LIMITED - MSA,MAALOX PLUS TABS EXPORT 10
KE-G.MED-2-1,AAR HEALTHCARE (KENYA) LIMITED - MSA,XATRAL 10MG TABCR BL3X10 S3 M36 XD
KE-DCV-2,AAR HEALTHCARE KENYA LTD,AMARYL 1MG 30 TABS
KE-DCV-2,AAR HEALTHCARE KENYA LTD,AMARYL 2MG 30 TABS
KE-DCV-2,AAR HEALTHCARE KENYA LTD,AMARYL 4MG 30 TABS
KE-DCV-2,AAR HEALTHCARE KENYA LTD,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-G.MED-3-5,AAR HEALTHCARE KENYA LTD,APROVASC 150/5
KE-G.MED-3-5,AAR HEALTHCARE KENYA LTD,APROVASC 300/10
KE-G.MED-3-5,AAR HEALTHCARE KENYA LTD,APROVASC 300/5
KE-DCV-2,AAR HEALTHCARE KENYA LTD,APROVEL 150MG TABCO BL2X14 RM M36 XE
KE-DCV-2,AAR HEALTHCARE KENYA LTD,APROVEL 300MG TABCO BL2X14 RM M36 XE
KE-G.MED-4-2,AAR HEALTHCARE KENYA LTD,AXACEF 250MG TABCO BL1X10 M36 GH
KE-CHC-6,AAR HEALTHCARE KENYA LTD,BUSCOPAN AMPOULES 20mg/1ml * 5's 
KE-CHC-6,AAR HEALTHCARE KENYA LTD,BUSCOPAN TABLETS BP 10mg * 50's
KE-DCV-2,AAR HEALTHCARE KENYA LTD,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV-2,AAR HEALTHCARE KENYA LTD,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD
GEM-NP,AAR HEALTHCARE KENYA LTD,CORDARONE 200MG TAB BL3X10 S3 M36 XD
KE-CHC-7,AAR HEALTHCARE KENYA LTD,DULCOLAX TABLETS 5mg * 30's SugarC
KE-CHC-3,AAR HEALTHCARE KENYA LTD,ENTEROGERMINA 2BCFU/5ML SUSP BTX10 S3 XE
KE-G.MED-3-5,AAR HEALTHCARE KENYA LTD,EPILIM 12G/300ML SYR BTX1
KE-G.MED-3-5,AAR HEALTHCARE KENYA LTD,EPILIM 200MG TAB BL10X10
KE-G.MED-3-5,AAR HEALTHCARE KENYA LTD,EPILIM CHRONO 333-145MG T
KE-G.MED-3-5,AAR HEALTHCARE KENYA LTD,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE
CHC-NP,AAR HEALTHCARE KENYA LTD,ERCEFURYL 200MG CAP BL2X14
CHC-NP,AAR HEALTHCARE KENYA LTD,ERCEFURYL 3.6G/90ML SOL BTX1 S2 EX
KE-G.MED-4-2,AAR HEALTHCARE KENYA LTD,FLAGENTYL 500MG TABCO BL1X4 S3 XE
KE-G.MED-4-2,AAR HEALTHCARE KENYA LTD,FLAGYL 400MG 100 TABS
KE-G.MED-4-2,AAR HEALTHCARE KENYA LTD,FLAGYL SUSPENSION 100ML
KE-G.MED-4-2,AAR HEALTHCARE KENYA LTD,FLEMING 1G-200MG INJPO VL5 M24 EX
KE-G.MED-4-2,AAR HEALTHCARE KENYA LTD,FLEMING 2.8MG/70ML PO BTX1 M24 EX
KE-G.MED-4-2,AAR HEALTHCARE KENYA LTD,FLEMING 5.6G/70ML PO BTX1 M24 GH
KE-G.MED-4-2,AAR HEALTHCARE KENYA LTD,FLEMING 500-125MG TABCO BL2X7 M24 EX
KE-G.MED-4-2,AAR HEALTHCARE KENYA LTD,FLEMING 875-125MG TABCO BL2X7 M24 EX
KE-DCV-2,AAR HEALTHCARE KENYA LTD,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-2,AAR HEALTHCARE KENYA LTD,LANTUS VIAL 10MG 1
GEM-NP,AAR HEALTHCARE KENYA LTD,LASIX 40MG TAB BL2X10 SWI M60 XE
CHC-NP,AAR HEALTHCARE KENYA LTD,MAALOX PLUS TABS EXPORT 10
KE-CHC-3,AAR HEALTHCARE KENYA LTD,MUCOSOLVAN LIQUID 15mg/5ml * 100ml 
CHC-NP,AAR HEALTHCARE KENYA LTD,NOSPA 40MG TAB BL10X10 S3
CHC-NP,AAR HEALTHCARE KENYA LTD,NOSPA 40MG TAB BL2X10 XE
CHC-NP,AAR HEALTHCARE KENYA LTD,NOSPA 40MG/2ML INJ AM5 XD
CHC-NP,AAR HEALTHCARE KENYA LTD,NOSPA 80MG TAB BL2X10 S3
KE-G.MED-3-5,AAR HEALTHCARE KENYA LTD,ORELOX 100MG TABCO BL1X10
KE-G.MED-3-5,AAR HEALTHCARE KENYA LTD,ORELOX 200MG 10CP
KE-G.MED-3-5,AAR HEALTHCARE KENYA LTD,ORELOX 400MG/50ML GRAN BTX1 SWI M24 XE
KE-G.MED-3-5,AAR HEALTHCARE KENYA LTD,ORELOX 800MG/+ GRAN BTX1
KE-G.MED-1-2,AAR HEALTHCARE KENYA LTD,PLAVIX 75MG TABCO BL2X14 M36 XE
CHC-NP,AAR HEALTHCARE KENYA LTD,RHINATHIOL 10G/200ML SOL BTX1 XM
KE-CHC-7,AAR HEALTHCARE KENYA LTD,RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM
KE-CHC-7,AAR HEALTHCARE KENYA LTD,RHINATHIOL 6.25G/+ SYR BT
GEM-NP,AAR HEALTHCARE KENYA LTD,STILNOX 10MG TABCO BL1X14 S3 M48 XD
GEM-NP,AAR HEALTHCARE KENYA LTD,TAVANIC 500MG TABLETS 5's
KE-G.MED-1-2,AAR HEALTHCARE KENYA LTD,"TRITACE 2,5MG  28 TABS"
KE-G.MED-1-2,AAR HEALTHCARE KENYA LTD,TRITACE 5MG 28 TABS
KE-G.MED-2-1,AAR HEALTHCARE KENYA LTD,XATRAL 10MG TABCR BL3X10 S3 M36 XD
KE-G.MED-2-1,AAR HEALTHCARE KENYA LTD,XATRAL 5MG TAB BL4X14 S3 M36 XD
CHC-NP,ABAAHI CHEMIST,BRONCHICUM 6.64G/+ ELIX BTX1 XE
CHC_OTC_Others,ABAAHI CHEMIST,BUSCOPAN TABLETS BP 10mg * 50's
KE-CHC-3,ABAAHI CHEMIST,ENTEROGERMINA 2BCFU/5ML SUSP BTX10 S3 XE
KE-G.MED-4_Others,ABAAHI CHEMIST,FLAGENTYL 500MG TABCO BL1X4 S3 XE
KE-G.MED-4_Others,ABAAHI CHEMIST,FLAGYL 400MG 100 TABS
KE-G.MED-4_Others,ABAAHI CHEMIST,FLAGYL SUSPENSION 100ML
CHC-NP,ABAAHI CHEMIST,Maalox 460mg/susp SC20 S3 M36 XE
CHC-NP,ABAAHI CHEMIST,MAALOX SUSPENSION 350ML (EXPORT)
KE-CHC-3,ABAAHI CHEMIST,MUCOSOLVAN LIQUID 15mg/5ml * 100ml 
KE-G.MED-3_Others,ABAAHI CHEMIST,ORELOX 100MG TABCO BL1X10
KE-CHC-3,ABAAHI CHEMIST,"RHINATHIOL PROMETHAZ 2,5G/+ SYR BTX1 XM"
KE-G.MED-2-1,ABAAHI CHEMIST,XATRAL 10MG TABCR BL3X10 S3 M36 XD
CHC_RX_Others,ACHIMS CHEMIST,"RHINATHIOL PROMETHAZ 2,5G/+ SYR BTX1 XM"
KE-DCV-3,ACHIRAL PHARMACEUTICALS,AMARYL 4MG 30 TABS
KE-DCV-3,ACHIRAL PHARMACEUTICALS,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-G.MED-4_Others,ACHIRAL PHARMACEUTICALS,AXACEF 250MG TABCO BL1X10 M36 GH
CHC-NP,ACHIRAL PHARMACEUTICALS,BRONCHICUM 6.64G/+ ELIX BTX1 XE
CHC_OTC_Others,ACHIRAL PHARMACEUTICALS,BUSCOPAN TABLETS BP 10mg * 50's
KE-G.MED-1_Others,ACHIRAL PHARMACEUTICALS,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE
KE-DCV-3,ACHIRAL PHARMACEUTICALS,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
GEM-NP,ACHIRAL PHARMACEUTICALS,CORDARONE 200MG TAB BL3X10 S3 M36 XD
CHC_OTC_Others,ACHIRAL PHARMACEUTICALS,DULCOLAX TABLETS 5mg * 30's SugarC
CHC_RX_Others,ACHIRAL PHARMACEUTICALS,ENTEROGERMINA 2BCFU/5ML SUSP BTX10 S3 XE
KE-G.MED-3-4,ACHIRAL PHARMACEUTICALS,EPILIM 12G/300ML SYR BTX1
KE-G.MED-3-4,ACHIRAL PHARMACEUTICALS,EPILIM 200MG TAB BL10X10
KE-G.MED-3-4,ACHIRAL PHARMACEUTICALS,EPILIM CHRONO 333-145MG T
KE-G.MED-3-4,ACHIRAL PHARMACEUTICALS,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE
CHC-NP,ACHIRAL PHARMACEUTICALS,ERCEFURYL 3.6G/90ML SOL BTX1 S2 EX
KE-G.MED-4-2,ACHIRAL PHARMACEUTICALS,FLAGENTYL 500MG TABCO BL1X4 S3 XE
KE-G.MED-4-2,ACHIRAL PHARMACEUTICALS,FLAGYL 400MG 100 TABS
KE-G.MED-4-2,ACHIRAL PHARMACEUTICALS,FLAGYL SUSPENSION 100ML
KE-G.MED-4-2,ACHIRAL PHARMACEUTICALS,FLEMING 875-125MG TABCO BL2X7 M24 EX
KE-DCV-3,ACHIRAL PHARMACEUTICALS,LANTUS SOLOSTAR 100IU/ML 3ML 5
KE-DCV-3,ACHIRAL PHARMACEUTICALS,LANTUS VIAL 10MG 1
GEM-NP,ACHIRAL PHARMACEUTICALS,LASIX 40MG TAB BL2X10 SWI M60 XE
GEM-NP,ACHIRAL PHARMACEUTICALS,MONO-TILDIEM 200MG CAP BL2X14 S3 M36 XD
CHC_RX_Others,ACHIRAL PHARMACEUTICALS,MUCOSOLVAN LIQUID 15mg/5ml * 100ml 
CHC-NP,ACHIRAL PHARMACEUTICALS,NOSPA 40MG TAB BL10X10 S3
CHC_OTC_Others,ACHIRAL PHARMACEUTICALS,RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM
CHC_OTC_Others,ACHIRAL PHARMACEUTICALS,RHINATHIOL 6.25G/+ SYR BT
CHC_RX_Others,ACHIRAL PHARMACEUTICALS,"RHINATHIOL PROMETHAZ 2,5G/+ SYR BTX1 XM"
GEM-NP,ACHIRAL PHARMACEUTICALS,STILNOX 10MG TABCO BL1X14 S3 M48 XD
KE-DCV_Others,ADAKIM CHEMIST,ALLSTAR MEDSU PEN1 XE
KE-DCV_Others,ADAKIM CHEMIST,AMARYL 2MG 30 TABS
KE-DCV_Others,ADAKIM CHEMIST,AMARYL MIR 2-500MG TABCO BL3X10 XE
KE-G.MED-3_Others,ADAKIM CHEMIST,APROVASC 150/5
KE-G.MED-3_Others,ADAKIM CHEMIST,APROVASC 300/10
CHC-NP,ADAKIM CHEMIST,BIOFERON 8G/200ML+ SYR BTX1 M30 EX
KE-DCV_Others,ADAKIM CHEMIST,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV_Others,ADAKIM CHEMIST,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD
GEM-NP,ADAKIM CHEMIST,CORDARONE 200MG TAB BL3X10 S3 M36 XD
KE-CHC-7,ADAKIM CHEMIST,DULCOLAX TABLETS 5mg * 30's SugarC
KE-CHC-3,ADAKIM CHEMIST,ENTEROGERMINA 2BCFU/5ML SUSP BTX10 S3 XE
KE-REG-3,ADAKIM CHEMIST,EPILIM 12G/300ML SYR BTX1
KE-REG-3,ADAKIM CHEMIST,EPILIM CHRONO 333-145MG T
KE-REG-3,ADAKIM CHEMIST,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE
KE-G.MED-4_Others,ADAKIM CHEMIST,FLAGENTYL 500MG TABCO BL1X4 S3 XE
KE-G.MED-4_Others,ADAKIM CHEMIST,FLAGYL 400MG 100 TABS
KE-G.MED-4_Others,ADAKIM CHEMIST,FLAGYL SUSPENSION 100ML
KE-REG-3,ADAKIM CHEMIST,LANTUS 300IU/3ML.INJ.CRT5.S3.M36.XE
KE-REG-3,ADAKIM CHEMIST,LANTUS SOLOSTAR 100IU/ML 3ML 5
GEM-NP,ADAKIM CHEMIST,LASIX 40MG TAB BL2X10 SWI M60 XE
CHC-NP,ADAKIM CHEMIST,Maalox 460mg/susp SC20 S3 M36 XE
CHC-NP,ADAKIM CHEMIST,MAALOX PLUS TABS EXPORT 10
CHC-NP,ADAKIM CHEMIST,NOSPA 40MG TAB BL10X10 S3
CHC-NP,ADAKIM CHEMIST,NOSPA 40MG TAB BL2X10 XE
KE-REG-3,ADAKIM CHEMIST,ORELOX 200MG 10CP
KE-REG-3,ADAKIM CHEMIST,ORELOX 400MG/50ML GRAN BTX1 SWI M24 XE
KE-REG-3,ADAKIM CHEMIST,ORELOX 800MG/+ GRAN BTX1
KE-CHC-7,ADAKIM CHEMIST,RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM
KE-CHC-7,ADAKIM CHEMIST,RHINATHIOL 6.25G/+ SYR BT
KE-CHC-3,ADAKIM CHEMIST,"RHINATHIOL PROMETHAZ 2,5G/+ SYR BTX1 XM"
GEM-NP,ADAKIM CHEMIST,STILNOX 10MG TABCO BL1X14 S3 M48 XD
KE-G.MED-1_Others,ADAKIM CHEMIST,TRITACE 5MG 28 TABS
KE-G.MED-2-1,ADAKIM CHEMIST,XATRAL 5MG TAB BL4X14 S3 M36 XD
CHC_RX_Others,ADAMS ARCADE BRICK PHARMA LTD ,MUCOSOLVAN LIQUID 15mg/5ml * 100ml 
CHC_RX_Others,ADORA CHILDREN CLINIC,MUCOSOLVAN LIQUID 15mg/5ml * 100ml 
KE-DCV-4,ADVENT MED & DENT CARE CENTER ,AMARYL 2MG 30 TABS
KE-G.MED-1_Others,ADVENT MED & DENT CARE CENTER ,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE
KE-DCV-4,ADVENT MED & DENT CARE CENTER ,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD
KE-DCV_Others,ADVENT MED & DENT CARE CENTER ,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD
GEM-NP,ADVENT MED & DENT CARE CENTER ,LASIX 40MG TAB BL2X10 SWI M60 XE
KE-DCV-2,AFRICAN PHARMACEUTICALS LTD,AMARYL 2MG 30 TABS
KE-G.MED-4_Others,AFRICAN PHARMACEUTICALS LTD,AXACEF 250MG TABCO BL1X10 M36 GH
KE-CHC-5,AFRICAN PHARMACEUTICALS LTD,BUSCOPAN TABLETS BP 10mg * 50's
KE-G.MED-1_Others,AFRICAN PHARMACEUTICALS LTD,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE
KE-CHC-5,AFRICAN PHARMACEUTICALS LTD,DULCOLAX TABLETS 5mg * 30's SugarC
CHC_RX_Others,AFRICAN PHARMACEUTICALS LTD,ENTEROGERMINA 2BCFU/5ML SUSP BTX10 S3 XE
KE-REG-1,AFRICAN PHARMACEUTICALS LTD,EPILIM 12G/300ML SYR BTX1
KE-REG-1,AFRICAN PHARMACEUTICALS LTD,EPILIM 200MG TAB BL10X10
KE-G.MED-3_Others,AFRICAN PHARMACEUTICALS LTD,EPILIM CHRONO 333-145MG T
KE-REG-1,AFRICAN PHARMACEUTICALS LTD,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE
KE-G.MED-4_Others,AFRICAN PHARMACEUTICALS LTD,FLAGYL 400MG 100 TABS
KE-G.MED-4_Others,AFRICAN PHARMACEUTICALS LTD,FLAGYL SUSPENSION 100ML
GEM-NP,AFRICAN PHARMACEUTICALS LTD,LASIX 40MG TAB BL2X10 SWI M60 XE
CHC-NP,AFRICAN PHARMACEUTICALS LTD,MAALOX PLUS TABS EXPORT 10
CHC_RX_Others,AFRICAN PHARMACEUTICALS LTD,MUCOSOLVAN LIQUID 15mg/5ml * 100ml 
CHC-NP,AFRICAN PHARMACEUTICALS LTD,NOSPA 40MG TAB BL10X10 S3
KE-G.MED-3_Others,AFRICAN PHARMACEUTICALS LTD,ORELOX 100MG TABCO BL1X10
KE-CHC-5,AFRICAN PHARMACEUTICALS LTD,RHINATHIOL 6.25G/+ SYR BT
CHC_RX_Others,AFRICAN PHARMACEUTICALS LTD,"RHINATHIOL PROMETHAZ 2,5G/+ SYR BTX1 XM"
KE-CHC-5,AFRICARE DISTRIBUTORS LTD.,BUSCOPAN TABLETS BP 10mg * 50's
KE-G.MED-1_Others,AFRICARE DISTRIBUTORS LTD.,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE
KE-G.MED-1-3,AFRICARE DISTRIBUTORS LTD.,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE
KE-CHC-1,AFRICARE DISTRIBUTORS LTD.,ENTEROGERMINA 2BCFU/5ML SUSP BTX10 S3 XE
KE-G.MED-4_Others,AFRICARE DISTRIBUTORS LTD.,FLAGENTYL 500MG TABCO BL1X4 S3 XE
KE-G.MED-4_Others,AFRICARE DISTRIBUTORS LTD.,FLAGYL 400MG 100 TABS
KE-CHC-1,AFRICARE DISTRIBUTORS LTD.,MUCOSOLVAN LIQUID 15mg/5ml * 100ml 
KE-G.MED-3-2,AFRICARE DISTRIBUTORS LTD.,ORELOX 200MG 10CP
KE-G.MED-3-2,AFRICARE DISTRIBUTORS LTD.,ORELOX 800MG/+ GRAN BTX1
KE-CHC-5,AFRICARE DISTRIBUTORS LTD.,RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM
KE-CHC-5,AFRICARE DISTRIBUTORS LTD.,RHINATHIOL 6.25G/+ SYR BT
CHC_RX_Others,AFRICARE DISTRIBUTORS LTD.,"RHINATHIOL PROMETHAZ 2,5G/+ SYR BTX1 XM"
CHC_OTC_Others,AFYA FIRST MEDICAL CENTRE,BUSCOPAN TABLETS BP 10mg * 50's
KE-CHC-5,AFYA FIRST MEDICAL CENTRE,RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM
KE-CHC-5,AFYA FIRST MEDICAL CENTRE,RHINATHIOL 6.25G/+ SYR BT
KE-CHC-1,AFYA FIRST MEDICAL CENTRE,"RHINATHIOL PROMETHAZ 2,5G/+ SYR BTX1 XM"
KE-CHC-1,AFYA INTERNATIONAL HOSPITAL,MUCOSOLVAN LIQUID 15mg/5ml * 100ml 
KE-CHC-5,AFYA INTERNATIONAL HOSPITAL,RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM
KE-DCV_Others,AGA KHAN HOSPITAL KISUMU,AMARYL 1MG 30 TABS
KE-DCV_Others,AGA KHAN HOSPITAL KISUMU,AMARYL 2MG 30 TABS
KE-DCV_Others,AGA KHAN HOSPITAL KISUMU,AMARYL 4MG 30 TABS
