distributor,distributor_product_name,sanofi_product_name,sanofi_gmid,sanofi_product_id
Kenya,"Highchem KE",,"DOLIPRANE 100MG POWD SC12 NDSI XD",627331,38
Kenya,"Highchem KE",,"DOLIPRANE 100MG SUP BL2X5 NDSI M36 XD",627329,39
Kenya,"Highchem KE",,"DOLIPRANE 150MG POWD SC12 NDSI XD",627332,40
Kenya,"Highchem KE",,"DOLIPRANE 150MG SUP BL2X5 NDSI M36 XD",627328,41
Kenya,"Highchem KE",,"DOLIPRANE 1G TABEF TB8 NDSI M36 XD",624480,42
Kenya,"Highchem KE",,"DOLIPRANE 200MG POWD SC12 NDSI XD",627314,43
Kenya,"Highchem KE",,"DOLIPRANE 200MG SUP BL2X5 NDSI M36 XD",627327,44
Kenya,"Highchem KE",,"DOLIPRANE 300MG POWD SC12 NDSI XD",626997,45
Kenya,"Highchem KE",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",627326,46
Kenya,"Highchem KE",,"DOLIPRANE VIT C 500-150MG TABEF TB16 XD",626630,47
Kenya,"Highchem KE",,"DOLIPRANE VIT C 500-150MG TABEF TB16 FR",292037,48
Kenya,"Highchem KE",,"DOLIPRANE 500MG POWD SC12 NDSI M24 XD",627330,49
Kenya,"Highchem KE",,"DOLIPRANE 500MG TABEF TB2X8 NDSI M36 XD",624479,50
Kenya,"Highchem KE",,"DOLIPREX 500MG+ POWD SC8 NDSI XD",626998,51
Kenya,"Highchem KE",,"DOLIRHUME 500-30MG TAB BL2X8 NDSI M36 XD",627160,52
Kenya,"Highchem KE",,"ENTEROGERMINA 2BCFU/5ML SUSP BT10 S3 XD",528888,53
Kenya,"Highchem KE",,"ERCEFURYL 200MG CAP BL2X14 SAF M60 XE",592593,54
Kenya,"Highchem KE",,"ERCEFURYL 3.6G/90ML SOL BT1 S2 EX",671538,55
Kenya,"Highchem KE",,"EXACYL 500MG TAB BL20 S3 XE",541078,56
Kenya,"Highchem KE",,"EXACYL 1G/10ML SOL AM5 S3 M60 XE",224938,57
Kenya,"Highchem KE",,"FLAGENTYL 500MG TABCO BL4 S4 M49 XD",664051,58
Kenya,"Highchem KE",,"FLAGYL 500MG/+ INJ BG25 H FR",67933,59
Kenya,"Highchem KE",,"FLAGYL 125MG/5ML SUSP BT1 XD",678014,60
Kenya,"Highchem KE",,"FLAGYL 500MG PESSA BL2X5 S4 M36 XD",642941,61
Kenya,"Highchem KE",,"FLEMING 1G-125MG TABCO BL2X8 M24 EX",476956,62
Kenya,"Highchem KE",,"FLEMING 1G-200MG INJPO VL5 M24 EX",476963,63
Kenya,"Highchem KE",,"FLEMING 3G/+ POWD BT1 M24 EX",476955,64
Kenya,"Highchem KE",,"FLEMING 500-62.5MG TABCO BL2X8 M24 EX",476957,65
Kenya,"Highchem KE",,"FLEMING 6G/+ POWD BT1 M24 EX",476954,66
Kenya,"Highchem KE",,"GARDENAL 10MG TAB BL4X20 S3 M60 XE",665371,67
Kenya,"Highchem KE",,"HEMI-DAONIL 2.5MG TAB BL3X20 SWI M24 XE",285368,68
Kenya,"Highchem KE",,"IBEX 200MG+ CAPEM BL2X12 M36 EX",476933,69
Kenya,"Highchem KE",,"LARGACTIL 100MG TABCO BL3X10 M36 XD",625681,70
Kenya,"Highchem KE",,"LASILIX 20MG/2ML INJ AM1 XE",518938,71
Kenya,"Highchem KE",,"LASILIX 40MG TAB BL3X10 SWI M36 XE",311168,72
Kenya,"Highchem KE",,"LASILIX FAIBLE 20MG TAB BL2X15 SWI XE",311166,73
Kenya,"Highchem KE",,"LASILIX RETARD 60MG CAP TB30 M24 XE",293665,74
Kenya,"Highchem KE",,"MAALOX 8.75G/+ SUSP BT1 S3 M36 XE",239907,75
Kenya,"Highchem KE",,"MAALOX 460MG/+ SUSP SC20 S3 M36 XE",292174,76
Kenya,"Highchem KE",,"MAALOX 400-400MG TABCW BL4X10 S3 M60 XE",436433,77
Kenya,"Highchem KE",,"MAGNE B6 470-5MG TABSC BL5X10 S3 M24 XE",214082,78
Kenya,"Highchem KE",,"MAXILASE 25KIU/+ SYR BT1 SAF M18 XM",346666,79
Kenya,"Highchem KE",,"MAXILASE 3KIU TABSC BL2X12 S3 M24 XD",245296,80
Kenya,"Highchem KE",,"MITOSYL 40G/150G+ CREAM TB1 S3 M36 XE",592685,81
Kenya,"Highchem KE",,"MITOSYL 20-27G/65G CREAM TB1 S3 M36 XE",592684,82
Kenya,"Highchem KE",,"NORZOL 400-600MG TABCO BL10 M36 EX",476712,83
Kenya,"Highchem KE",,"NO-SPA 40MG/2ML INJ AM25 XD",289137,84
Kenya,"Highchem KE",,"NO-SPA 40MG/2ML INJ AM5 XD",289138,85
Kenya,"Highchem KE",,"NO-SPA 40MG TAB BL10X10 S3 M36 XD",287552,86
Kenya,"Highchem KE",,"NO-SPA 40MG TAB BL2X10 S3 M36 XD",287550,87
Kenya,"Highchem KE",,"NO-SPA 80MG TAB BL2X10 S3 M36 XD",287553,88
Kenya,"Highchem KE",,"NOVALGIN 2.5G/5ML INJ AM5 S3 M60 XE",592705,89
Kenya,"Highchem KE",,"NOVALGIN 500MG TABCO BL2X10 M36 XD",609071,90
Kenya,"Highchem KE",,"NOVALGIN 50MG/100ML SYR BT1 EX",671597,91
Kenya,"Highchem KE",,"NOZINAN HCL 100MG TABCO BL2X10 S3 M60 XD",264980,92
Kenya,"Highchem KE",,"NOZINAN 25MG TABCO BL2X10 S3 M61 XD",311122,93
Kenya,"Highchem KE",,"OFLOCET 200MG TABCO BL10 S4 M36 XD",632425,94
Kenya,"Highchem KE",,"ORELOX 100MG TABCO BL10 SWI M36 XD",298689,95
Kenya,"Highchem KE",,"ORELOX 200MG TABCO BL2X5 M36 XD",374872,96
Kenya,"Highchem KE",,"ORELOX 40MG/5ML GRAN BT1 SWI M24 XD",298691,97
Kenya,"Highchem KE",,"ORELOX 400MG/50ML GRAN BT1 SWI M24 XE",298693,98
Kenya,"Highchem KE",,"OROKEN 100MG/5ML POWD BT1 S4 M24 XD",628390,99
Kenya,"Highchem KE",,"OROKEN 200MG TABCO BL8 S4 M24 XD",628389,100
Kenya,"Highchem KE",,"OROKEN 40MG/5ML POWD BT1 S4 M24 XD",628391,101
Kenya,"Highchem KE",,"PROFENID 100MG SUP BL2X6 S4 M24 XD",639164,102
Kenya,"Highchem KE",,"PROFENID 100MG/2ML INJ AM2 S4 M36 XE",540717,103
Kenya,"Highchem KE",,"PROFENID 100MG INJPO VL50 H FR",172136,104
Kenya,"Highchem KE",,"PROFENID 100MG TABCO BL3X10 XD",671609,105
Kenya,"Highchem KE",,"PROFENID 50MG CAP BL2X12 S4 M36 XD",639608,106
Kenya,"Highchem KE",,"PROFENID LP 200MG TABEC BL14 S3 M24 XD",624622,107
Kenya,"Highchem KE",,"PYOSTACINE 500MG TABCO BL2X8 NF M48 XD",571696,108
Kenya,"Highchem KE",,"QUINIMAX 125MG TABCO BT18 M36 XE",187750,109
Kenya,"Highchem KE",,"QUINIMAX 500MG TABCO BT9 M36 XE",187747,110
Kenya,"Highchem KE",,"RHINATHIOL 2.5G/125ML SYR BT1 SAF M36 XM",479387,111
Kenya,"Highchem KE",,"RHINATHIOL 6.25G/+ SYR BT1 S3 M36 XE",479530,112
Kenya,"Highchem KE",,"RHINATHIOL 15G/300ML SYR BT1 S3 M37 XM",323470,113
Kenya,"Highchem KE",,"RHINATHIOL PMZ 2.5G/+ SYR BT1 SAF M24 XD",323473,114
Kenya,"Highchem KE",,"RISORDAN 20MG TABCO BL3X20 M36 FR",355560,115
Kenya,"Highchem KE",,"RODOGYL 750KIU+ TABCO BL2X10 S3 M36 XD",408003,116
Kenya,"Highchem KE",,"ROVAMYCINE 1.5MIU TABCO BL2X8 M36 XD",624775,117
Kenya,"Highchem KE",,"ROVAMYCINE 3MIU TABCO BL10 M24 XD",624774,118
Kenya,"Highchem KE",,"RULID 150MG TABCO BL10 SWI M36 XD",298698,119
Kenya,"Highchem KE",,"STILNOX 10MG TABCO BL20 S4 M48 XD",636827,120
Kenya,"Highchem KE",,"SURGAM 200MG TAB BL2X10 SWI M36 XE",298711,121
Kenya,"Highchem KE",,"TAVANIC 500MG/+ INFLS VL1 M36 H FR",39171,122
Kenya,"Highchem KE",,"TAVANIC 500MG TABCO BL5 SWI M60 XE",310637,123
Kenya,"Highchem KE",,"TAXOTERE 20MG/1ML INJ VL1 M24 XE",413689,124
Kenya,"Highchem KE",,"TAXOTERE 80MG/4ML INJ VL1 M24 XD",414074,125
Kenya,"Highchem KE",,"THIOBACTIN 3G/60ML SUSP BT1 EX",671637,126
Kenya,"Highchem KE",,"THIOBACTIN 500MG TAB BL24 EX",671639,127
Kenya,"Highchem KE",,"TOPLEXIL 33MG/+ SYR BT1 S3 M37 XE",269069,128
Kenya,"Highchem KE",,"TRANXENE 10MG CAP BL3X10 M36 XE",489540,129
Kenya,"Highchem KE",,"TRANXENE 5MG CAP BL3X10 M36 XE",489541,130
Kenya,"Highchem KE",,"TRIATEC 10MG TAB BL2X15 S4 M36 XD",666655,131
Kenya,"Highchem KE",,"TRIATEC 1.25MG TAB BL2X15 XD",679231,132
Kenya,"Highchem KE",,"TRIATEC 2.5MG TAB BL2X15 S4 M36 XD",666654,133
Kenya,"Highchem KE",,"ULCAR 1G/5ML SUSP SC30 S4 M48 XD",646799,134
Kenya,"Highchem KE",,"TRITAZIDE 10-12.5MG TAB BL2X14 S4 M36 XD",627667,135
Kenya,"Highchem KE",,"TRITAZIDE 10-25MG TAB BL2X14 S4 M36 XD",627060,136
Kenya,"Highchem KE",,"TRITAZIDE 5-12.5MG TAB BL2X14 S4 M36 XD",627061,137
Kenya,"Highchem KE",,"TRITAZIDE 5-25MG TAB BL2X14 S4 M36 XD",627062,138
Kenya,"Highchem KE",,"ULCAR 1G/5ML SUSP SC30 S3 M48 XD",168279,139
Kenya,"Highchem KE",,"XATRAL 5MG TABCR BL4X14 S4 M36 XD",612011,140
Kenya,"Highchem KE",,"XATRAL 10MG TABCR BL30 S4 M36 XD",633072,141
Kenya,"Highchem KE",,"ZEBEN 400MG TAB BL1 M48 EX",476947,142
Kenya,"Highchem KE",,"LOVENOX 2KIU/0.2ML INJ PS2 SWI M24 XE",306216,143
Kenya,"Highchem KE",,"LOVENOX 4KIU/0.4ML INJ PS2 SWI M24 XE",306217,144
Kenya,"Highchem KE",,"LOVENOX 6KIU/0.6ML INJ PS2 SWI M24 XE",306218,145
Kenya,"Highchem KE",,"LOVENOX 8KIU/0.8ML INJ PS2 SWI M24 XE",306219,146
Kenya,"Highchem KE",,"RHINATHIOL 10G/200ML SOL BT1 M24 XM",477825,147
Kenya,"Highchem KE",,"RODOGYL 750KIU+ TABCO BL2X10 S4 M36 XD",624773,148
Kenya,"Highchem KE",,"TRIATEC 5MG TAB BL2X15 S4 M36 XD",666653,149
Kenya,"Highchem KE",,"NOVALGIN 2.5G/5ML INJ AM5 S4 M36 XD",635403,150
Kenya,"Highchem KE",,"OFLOCET 1.5MG/+ SOL UNIX20 S4 M36 XD",662889,151
Kenya,"Highchem KE",,"DOLIPRANETABS 1G TAB BL2X4 EX",663982,152
Kenya,"Highchem KE",,"DOLIPRANETABS 500MG TAB BL2X8 X EX",663983,153
Kenya,"Highchem KE",,"FLAGYL 250MG TAB BL2X10 X EX",663984,154
Kenya,"Highchem KE",,"FLAGYL 500MG TAB BL14 X EX",663985,155
Kenya,"Highchem KE",,"GARDENAL 100MG TAB BL2X10 X EX",663986,156
Kenya,"Highchem KE",,"DOLIPRANE 1.44G/60ML SYR BT1 M24 X EX",663981,157
Kenya,"Highchem KE",,"QUINIMAX 500MG/4ML INJ AM25 X EX",663996,158
Kenya,"Highchem KE",,"QUINIMAX 250MG/2ML INJ AM25 X EX",663995,159
Kenya,"Highchem KE",,"QUINIMAX 500MG/4ML INJ AM3 X EX",663998,160
Kenya,"Highchem KE",,"PROFENID 150MG/+ SYR BT1 X EX",663992,161
Kenya,"Highchem KE",,"XATRAL 2.5MG TABCO BL2X15 S4 M24 XD",639628,162
Kenya,"Highchem KE",,"FLAGYL 500MG TABCO BL2X7 M36 XD",671212,163
Kenya,"Highchem KE",,"ALLSTAR MEDSUP MEDSU PEN1 MAU XE",516219,164
Kenya,"Highchem KE",,"APROVASC 150-10MG TAB BL4X7 M36 XD",539185,165
Kenya,"Highchem KE",,"APROVASC 150-5MG TAB BL4X7 M36 XD",539183,166
Kenya,"Highchem KE",,"APROVASC 300-10MG TAB BL4X7 M36 XD",539181,167
Kenya,"Highchem KE",,"APROVASC 300-5MG TAB BL4X7 M36 XD",539182,168
Kenya,"Highchem KE",,"INSUMAN BAS 1KIU/10ML INJSU VL1 S3 XE",405018,169
Kenya,"Highchem KE",,"INSUMAN C30 1KIU/10ML INJSU VL1 S3 XE",405039,170
Kenya,"Highchem KE",,"INSUMAN RAP 1KIU/10ML INJ VL1 S3 M24 XE",405069,171
Kenya,"Highchem KE",,"MAALOX 600MG/+ SUSP SC30 S3 M36 XD",291024,172
Kenya,"Highchem KE",,"PLAVIX 75MG TABCO BL2X14 M36 XE",222428,173
Kenya,"Highchem KE",,"TAVANIC 500MG/+ INFLS VL1 ICRA M36 XD",694156,174
Kenya,"Highchem KE",,"XATRAL 10MG TABCR BL30 M36 XD",545747,175
Kenya,"Highchem KE",,"GARDENAL 50MG TAB BL3X10 X EX",663987,176
Kenya,"Highchem KE",,"CORDARONE 200MG TAB BL2X15 M36 XD",554510,177
Kenya,"Highchem KE",,"GARDENAL 40MG SUBLY VLSX1 S4 M36 XD",646872,178
Kenya,"Highchem KE",,"GARDENAL 40MG SUBLY VLSX1 SWI M36 XD",297260,179
Kenya,"Highchem KE",,"LACTACYD 120ML LIQSO BT1 XD",671563,180
Kenya,"Highchem KE",,"LACTACYD 200ML LIQSO BT1 XD",671568,181
Kenya,"Highchem KE",,"OMIZEC 20MG CAP BL4X7 H EX",698117,182
Kenya,"Highchem KE",,"BIOFERON 200ML SYR BT1 M30 H EX",679090,183
Kenya,"Highchem KE",,"IBEX 200MG+ CAP BL2X12 H EX",698115,184
Kenya,"Highchem KE",,"LANTUS 300IU/3ML INJ SOLO5 M36 XD",684820,185
Kenya,"Highchem KE",,"MAGNE B6 186MG/+ SOL AM10 S3 M36 XM",224948,186
Kenya,"Highchem KE",,"PARAFLAM 400-325MG TABCO BL10 M36 EX",476714,187
Kenya,"Highchem KE",,"DOLIPRANE 1G TAB BL2X4 NDSI M36 XD",626499,188
Kenya,"Highchem KE",,"LANTUS 300IU/3ML INJ CRT5 S3 M36 XE",241634,189
Kenya,"Highchem KE",,"STILNOX 10MG TABCO BL14 S4 M48 XD",636825,190
Kenya,"Highchem KE",,"DOLIPRANE 500MG TAB BL2X8 M36 XD",650737,191
Kenya,"Highchem KE",,"DOLIPRANE 2.16G/90ML SYR BT1 X EX",663988,192
Kenya,"Highchem KE",,"AMEDIN 10MG TAB BL2X14 M36 MG",475652,193
Kenya,"Highchem KE",,"AMEDIN 5MG TAB BL2X14 M36 UG",475862,194
Kenya,"Highchem KE",,"AXACEF 250MG TABCO BL10 M36 MG",475987,195
Kenya,"Highchem KE",,"AXACEF 500MG TABCO BL10 M36 MG",475988,196
Kenya,"Highchem KE",,"DYMOL 50-500MG TABEC BL10 M36 MG",476664,197
Kenya,"Highchem KE",,"ZOXON 1G INJPO VL100 M36 MG",476624,198
Kenya,"Highchem KE",,"TOPLEXIL 33MG/100ML SYR BT1 X EX",663994,199
Kenya,"Highchem KE",,"COAPRO 300-25MG TABCO BL2X14 M24 XE",264433,200
Kenya,"Highchem KE",,"ELOXATINE 100MG/20ML INJ VL1 H FR",407073,201
Kenya,"Highchem KE",,"METHOTREXATE 2.5MG TABCO BT20 M36 FR",355496,202
Kenya,"Highchem KE",,"ARTANE 5MG TAB BL20 FR",665401,203
Kenya,"Highchem KE",,"DOLIPRANE 1G TAB BL2X4 M24 XD",650739,204
Kenya,"Highchem KE",,"TRITACE 2.5MG TAB BL2X14 S4 M36 XE",627595,205
Kenya,"Highchem KE",,"TRITACE 5MG TAB BL2X14 S4 M36 XE",627597,206
Kenya,"Highchem KE",,"AMARYL 1MG TAB BL2X15 S3 M36 XE",261604,207
Kenya,"Highchem KE",,"AMARYL 2MG TAB BL2X15 S3 M36 XE",261605,208
Kenya,"Highchem KE",,"AMARYL 3MG TAB BL2X15 S4 M36 XE",632896,209
Kenya,"Highchem KE",,"AMARYL 3MG TAB BL2X15 S3 M36 XE",261608,210
Kenya,"Highchem KE",,"AMARYL 4MG TAB BL2X15 S3 M36 XE",261610,211
Kenya,"Highchem KE",,"CLEXANE 2KIU/0.2ML INJ PS2 SWI M24 XE",306220,212
Kenya,"Highchem KE",,"CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE",306222,213
Kenya,"Highchem KE",,"CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE",306225,214
Kenya,"Highchem KE",,"CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE",306226,215
Kenya,"Highchem KE",,"EPILIM 200MG TABEC BL10X10 S3 M36 XE",502299,216
Kenya,"Highchem KE",,"FLEMING 228.5MG/+ SUSP BT1 M24 EX",476009,217
Kenya,"Highchem KE",,"FLEMING 500-125MG TABCO BL2X7 M24 EX",477015,218
Kenya,"Highchem KE",,"FLEMING 457MG/5ML SUSP BT1 M24 KE",477034,219
Kenya,"Highchem KE",,"FLEMING 875-125MG TABCO BL2X7 M24 EX",476043,220
Kenya,"Highchem KE",,"INSUMAN C30 300IU/3ML INJSU CRT5 M24 XE",415360,221
Kenya,"Highchem KE",,"LANTUS 300IU/3ML INJ SOLO5 ICRA M36 XE",615902,222
Kenya,"Highchem KE",,"MAALOX PLUS 8.1G/+ SUSP BT1 S3 M36 XD",250798,223
Kenya,"Highchem KE",,"TAVANIC 500MG/+ INFLS VL1 S3 M36 XE",251781,224
Kenya,"Highchem KE",,"TIMOL 50MG/10ML EYDRO BT1 M36 GH",477787,225
Kenya,"Highchem KE",,"ZOXON 1G INJPO VL1+AM1 M36 KE",477044,226
Kenya,"Highchem KE",,"EPILIM CHRO 199.8-87MG TABCR BL10X10 XE",643215,227
Kenya,"Highchem KE",,"EPILIM CHRO 333-145MG TABCR BL10X10 XE",643216,228
Kenya,"Highchem KE",,"EPILIM 12G/300ML SYR BT1 S4 M36 XE",641849,229
Kenya,"Highchem KE",,"FLAGYL 500MG/+ LIQ BT1 ZA",67294,230
Kenya,"Highchem KE",,"FLAGYL 200MG/5ML SUSP BT1 M24 ZA",645815,231
Kenya,"Highchem KE",,"BOX HISTIACIL NF 150ML JBE ADU",626547,232
Kenya,"Highchem KE",,"CORDARONE 150MG/3ML INJ AM6 S3 M24 XD",245298,233
Kenya,"Highchem KE",,"BRONCHICUM 6.64G/+ ELIX BT1 S3 M36 XE",352016,234
Kenya,"Highchem KE",,"ELOXATIN 50MG/10ML INJ VL1 M24 XE",370351,235
Kenya,"Highchem KE",,"ELOXATIN 100MG/20ML INJ VL1 S3 M24 XE",407096,236
Kenya,"Highchem KE",,"LASIX 20MG/2ML INJ AM5 XE",518946,237
Kenya,"Highchem KE",,"LASIX 40MG TAB BL2X10 M36 XE",505579,238
Kenya,"Highchem KE",,"MAALOX PLUS 200MG+ TABCW BL4X10 S3 XD",436418,239
Kenya,"Highchem KE",,"MONO-TILDIEM 200MG CAP BL2X14 S3 M36 XE",213714,240
Kenya,"Highchem KE",,"RESONIUM A 453.7G/+ POWD BT1 M60 XE",258746,241
Kenya,"Highchem KE",,"RIFOCIN 250MG/3ML INJ AM1 S3 M36 XE",312451,242
Kenya,"Highchem KE",,"EPILIM 400MG/4ML INJPO VLSX1 S4 M60 XE",642931,243
Kenya,"Highchem KE",,"MAALOX 84G/+ SUSP BT1 XE",506739,244
Kenya,"Highchem KE",,"AMARYL 1MG TAB BL3X10 M36 ZA",645820,245
Kenya,"Highchem KE",,"AMARYL 2MG TAB BL3X10 M36 ZA",645818,246
Kenya,"Highchem KE",,"AMARYL 4MG TAB BL3X10 M36 ZA",645819,247
Kenya,"Highchem KE",,"FLAGYL 400MG TAB BT100 M24 ZA",645817,248
Kenya,"Highchem KE",,"LANTUS 1KIU/10ML INJ VL1 ICRA M36 XE",615926,249
Kenya,"Highchem KE",,"TARGOCID 200MG/3ML INJPO VLSX1 S3 M36 XE",263980,250
Kenya,"Highchem KE",,"TARGOCID 400MG/3ML INJPO VLSX1 S3 M36 XE",306632,251
Kenya,"Highchem KE",,"BUSCOPAN 10MG TABSC BL5X10 M36 NG",651969,252
Kenya,"Highchem KE",,"GERIATRIC PHARMATON 40MG+ CAPSG BT30 NG",653312,253
Kenya,"Highchem KE",,"PHARMATON KIDDI 4G/+ SYR BT1 NEAN M24 EX",696080,254
Kenya,"Highchem KE",,"PHARMATON KIDDI 2G/+ SYR BT1 NEAN M24 EX",696079,255
Kenya,"Highchem KE",,"BUSCOPAN 20MG/1ML INJ AM5 M36 ZA",652574,256
Kenya,"Highchem KE",,"BISOLVON LINCTUS DA 160MG/+ SYR BT1 ZA",654229,257
Kenya,"Highchem KE",,"BUSCOPAN PLUS 10-500MG TABCO BL50X1 EX",653030,258
Kenya,"Highchem KE",,"DULCOLAX 5MG TABSC BL3X10 M36 XD",693896,259
Kenya,"Highchem KE",,"MUCOSOLVAN 300MG/+ SYR BT1 M36 EX",651777,260
Kenya,"Highchem KE",,"APIDRA 300IU/3ML INJ SOLO5 M24 XN",380567,261
Kenya,"Highchem KE",,"DOLIPRANE 1G SUP BL2X4 FR",62375,262
Kenya,"Highchem KE",,"DOLIPRANE 1G POWD SC8 NF FR",443925,263
Kenya,"Highchem KE",,"DOLIPRANE 500MG TAB BL2X8 XD",648641,264
Kenya,"Highchem KE",,"IMOVANE 7.5MG TABCO BL20 SWI M36 XE",298685,265
Kenya,"Highchem KE",,"LIPANOR 100MG CAP BL3X10 S4 M36 XD",667138,266
Kenya,"Highchem KE",,"MAALOX PLUS 15.975G/+ SUSP BT1 S3 M36 XD",250800,267
Kenya,"Highchem KE",,"PROFEMIGR 150MG TAB BL10 M60 FR",371014,268
Kenya,"Highchem KE",,"PROFENID 1.5G/60G GEL TB1 S4 M36 XE",594660,269
Kenya,"Highchem KE",,"SURMONTIL 25MG TAB BL5X10 M36 XD",592231,270
Kenya,"Highchem KE",,"TELFAST 180MG TABCO BL15 S4 M36 XE",655846,271
Kenya,"Highchem KE",,"TILDIEM 60MG TAB BL2X15 S3 M36 XD",242086,272
Kenya,"Highchem KE",,"ARTANE 2MG TAB BL2X25 FR",663419,273
Kenya,"Highchem KE",,"MUCOSOLVAN 30MG/5ML SYR BT1 M36 XE",686913,274
ET,"BEKER GENERAL BUSINESS PLC",,"AMAREL 1MG TAB BL2X15 M36 XE",268012,1
ET,"BEKER GENERAL BUSINESS PLC",,"AMAREL 2MG TAB BL2X15 M36 XE",268013,2
ET,"BEKER GENERAL BUSINESS PLC",,"AMAREL 3MG TAB BL2X15 M36 XE",268014,3
ET,"BEKER GENERAL BUSINESS PLC",,"AMAREL 4MG TAB BL2X15 M36 XD",268015,4
ET,"BEKER GENERAL BUSINESS PLC",,"AMARYL MIR 2-500MG TABCO BL3X10 XE",307013,5
ET,"BEKER GENERAL BUSINESS PLC",,"AMARYL MSR 2-500MG TABCO BL3X10 M24 XE",321233,6
ET,"BEKER GENERAL BUSINESS PLC",,"AMITRON 3G/60ML POWD BT1 M36 EX",475982,7
ET,"BEKER GENERAL BUSINESS PLC",,"AMITRON 500MG CAPEM BL12 M36 EX",475871,8
ET,"BEKER GENERAL BUSINESS PLC",,"AMITRON 500MG CAPEM BL50X10 M36 EX",475875,9
ET,"BEKER GENERAL BUSINESS PLC",,"APROVEL 150MG TABCO BL2X14 RM M36 XE",196680,10
ET,"BEKER GENERAL BUSINESS PLC",,"APROVEL 300MG TABCO BL2X14 RM M36 XE",196681,11
ET,"BEKER GENERAL BUSINESS PLC",,"ASPEGIC 100MG POWD SC20 SAF M24 XD",281498,12
ET,"BEKER GENERAL BUSINESS PLC",,"ASPEGIC 1G POWD SC20 SAF M30 XD",298801,13
ET,"BEKER GENERAL BUSINESS PLC",,"ASPEGIC 250MG POWD SC20 SAF M24 XD",281499,14
