distributor,distributor_product_name,sanofi_product_name,sanofi_gmid,sanofi_product_id
"Highchem KE",,"QUINIMAX 500MG TABCO BT9 M36 XE",187747,110
"Highchem KE",,"RHINATHIOL 2.5G/125ML SYR BT1 SAF M36 XM",479387,111
"Highchem KE",,"RHINATHIOL 6.25G/+ SYR BT1 S3 M36 XE",479530,112
"Highchem KE",,"RHINATHIOL 15G/300ML SYR BT1 S3 M37 XM",323470,113
"Highchem KE",,"RHINATHIOL PMZ 2.5G/+ SYR BT1 SAF M24 XD",323473,114
"Highchem KE",,"RISORDAN 20MG TABCO BL3X20 M36 FR",355560,115
"Highchem KE",,"RODOGYL 750KIU+ TABCO BL2X10 S3 M36 XD",408003,116
"Highchem KE",,"ROVAMYCINE 1.5MIU TABCO BL2X8 M36 XD",624775,117
"Highchem KE",,"ROVAMYCINE 3MIU TABCO BL10 M24 XD",624774,118
"Highchem KE",,"RULID 150MG TABCO BL10 SWI M36 XD",298698,119
"Highchem KE",,"STILNOX 10MG TABCO BL20 S4 M48 XD",636827,120
"Highchem KE",,"SURGAM 200MG TAB BL2X10 SWI M36 XE",298711,121
"Highchem KE",,"TAVANIC 500MG/+ INFLS VL1 M36 H FR",39171,122
"Highchem KE",,"TAVANIC 500MG TABCO BL5 SWI M60 XE",310637,123
"Highchem KE",,"TAXOTERE 20MG/1ML INJ VL1 M24 XE",413689,124
"Highchem KE",,"TAXOTERE 80MG/4ML INJ VL1 M24 XD",414074,125
"Highchem KE",,"THIOBACTIN 3G/60ML SUSP BT1 EX",671637,126
"Highchem KE",,"THIOBACTIN 500MG TAB BL24 EX",671639,127
"Highchem KE",,"TOPLEXIL 33MG/+ SYR BT1 S3 M37 XE",269069,128
"Highchem KE",,"TRANXENE 10MG CAP BL3X10 M36 XE",489540,129
"Highchem KE",,"TRANXENE 5MG CAP BL3X10 M36 XE",489541,130
"Highchem KE",,"TRIATEC 10MG TAB BL2X15 S4 M36 XD",666655,131
"Highchem KE",,"TRIATEC 1.25MG TAB BL2X15 XD",679231,132
"Highchem KE",,"TRIATEC 2.5MG TAB BL2X15 S4 M36 XD",666654,133
"Highchem KE",,"ULCAR 1G/5ML SUSP SC30 S4 M48 XD",646799,134
"Highchem KE",,"TRITAZIDE 10-12.5MG TAB BL2X14 S4 M36 XD",627667,135
"Highchem KE",,"TRITAZIDE 10-25MG TAB BL2X14 S4 M36 XD",627060,136
"Highchem KE",,"TRITAZIDE 5-12.5MG TAB BL2X14 S4 M36 XD",627061,137
"Highchem KE",,"TRITAZIDE 5-25MG TAB BL2X14 S4 M36 XD",627062,138
"Highchem KE",,"ULCAR 1G/5ML SUSP SC30 S3 M48 XD",168279,139
"Highchem KE",,"XATRAL 5MG TABCR BL4X14 S4 M36 XD",612011,140
"Highchem KE",,"XATRAL 10MG TABCR BL30 S4 M36 XD",633072,141
"Highchem KE",,"ZEBEN 400MG TAB BL1 M48 EX",476947,142
"Highchem KE",,"LOVENOX 2KIU/0.2ML INJ PS2 SWI M24 XE",306216,143
"Highchem KE",,"LOVENOX 4KIU/0.4ML INJ PS2 SWI M24 XE",306217,144
"Highchem KE",,"LOVENOX 6KIU/0.6ML INJ PS2 SWI M24 XE",306218,145
"Highchem KE",,"LOVENOX 8KIU/0.8ML INJ PS2 SWI M24 XE",306219,146
"Highchem KE",,"RHINATHIOL 10G/200ML SOL BT1 M24 XM",477825,147
"Highchem KE",,"RODOGYL 750KIU+ TABCO BL2X10 S4 M36 XD",624773,148
"Highchem KE",,"TRIATEC 5MG TAB BL2X15 S4 M36 XD",666653,149
"Highchem KE",,"NOVALGIN 2.5G/5ML INJ AM5 S4 M36 XD",635403,150
"Highchem KE",,"OFLOCET 1.5MG/+ SOL UNIX20 S4 M36 XD",662889,151
"Highchem KE",,"DOLIPRANETABS 1G TAB BL2X4 EX",663982,152
"Highchem KE",,"DOLIPRANETABS 500MG TAB BL2X8 X EX",663983,153
"Highchem KE",,"FLAGYL 250MG TAB BL2X10 X EX",663984,154
"Highchem KE",,"FLAGYL 500MG TAB BL14 X EX",663985,155
"Highchem KE",,"GARDENAL 100MG TAB BL2X10 X EX",663986,156
"Highchem KE",,"DOLIPRANE 1.44G/60ML SYR BT1 M24 X EX",663981,157
"Highchem KE",,"QUINIMAX 500MG/4ML INJ AM25 X EX",663996,158
"Highchem KE",,"QUINIMAX 250MG/2ML INJ AM25 X EX",663995,159
"Highchem KE",,"QUINIMAX 500MG/4ML INJ AM3 X EX",663998,160
"Highchem KE",,"PROFENID 150MG/+ SYR BT1 X EX",663992,161
"Highchem KE",,"XATRAL 2.5MG TABCO BL2X15 S4 M24 XD",639628,162
"Highchem KE",,"FLAGYL 500MG TABCO BL2X7 M36 XD",671212,163
"Highchem KE",,"ALLSTAR MEDSUP MEDSU PEN1 MAU XE",516219,164
"Highchem KE",,"APROVASC 150-10MG TAB BL4X7 M36 XD",539185,165
"Highchem KE",,"APROVASC 150-5MG TAB BL4X7 M36 XD",539183,166
"Highchem KE",,"APROVASC 300-10MG TAB BL4X7 M36 XD",539181,167
"Highchem KE",,"APROVASC 300-5MG TAB BL4X7 M36 XD",539182,168
"Highchem KE",,"INSUMAN BAS 1KIU/10ML INJSU VL1 S3 XE",405018,169
"Highchem KE",,"INSUMAN C30 1KIU/10ML INJSU VL1 S3 XE",405039,170
"Highchem KE",,"INSUMAN RAP 1KIU/10ML INJ VL1 S3 M24 XE",405069,171
"Highchem KE",,"MAALOX 600MG/+ SUSP SC30 S3 M36 XD",291024,172
"Highchem KE",,"PLAVIX 75MG TABCO BL2X14 M36 XE",222428,173
"Highchem KE",,"TAVANIC 500MG/+ INFLS VL1 ICRA M36 XD",694156,174
"Highchem KE",,"XATRAL 10MG TABCR BL30 M36 XD",545747,175
"Highchem KE",,"GARDENAL 50MG TAB BL3X10 X EX",663987,176
"Highchem KE",,"CORDARONE 200MG TAB BL2X15 M36 XD",554510,177
"Highchem KE",,"GARDENAL 40MG SUBLY VLSX1 S4 M36 XD",646872,178
"Highchem KE",,"GARDENAL 40MG SUBLY VLSX1 SWI M36 XD",297260,179
"Highchem KE",,"LACTACYD 120ML LIQSO BT1 XD",671563,180
"Highchem KE",,"LACTACYD 200ML LIQSO BT1 XD",671568,181
"Highchem KE",,"OMIZEC 20MG CAP BL4X7 H EX",698117,182
"Highchem KE",,"BIOFERON 200ML SYR BT1 M30 H EX",679090,183
"Highchem KE",,"IBEX 200MG+ CAP BL2X12 H EX",698115,184
"Highchem KE",,"LANTUS 300IU/3ML INJ SOLO5 M36 XD",684820,185
"Highchem KE",,"MAGNE B6 186MG/+ SOL AM10 S3 M36 XM",224948,186
"Highchem KE",,"PARAFLAM 400-325MG TABCO BL10 M36 EX",476714,187
"Highchem KE",,"DOLIPRANE 1G TAB BL2X4 NDSI M36 XD",626499,188
"Highchem KE",,"LANTUS 300IU/3ML INJ CRT5 S3 M36 XE",241634,189
"Highchem KE",,"STILNOX 10MG TABCO BL14 S4 M48 XD",636825,190
"Highchem KE",,"DOLIPRANE 500MG TAB BL2X8 M36 XD",650737,191
"Highchem KE",,"DOLIPRANE 2.16G/90ML SYR BT1 X EX",663988,192
"Highchem KE",,"AMEDIN 10MG TAB BL2X14 M36 MG",475652,193
"Highchem KE",,"AMEDIN 5MG TAB BL2X14 M36 UG",475862,194
"Highchem KE",,"AXACEF 250MG TABCO BL10 M36 MG",475987,195
"Highchem KE",,"AXACEF 500MG TABCO BL10 M36 MG",475988,196
"Highchem KE",,"DYMOL 50-500MG TABEC BL10 M36 MG",476664,197
"Highchem KE",,"ZOXON 1G INJPO VL100 M36 MG",476624,198
"Highchem KE",,"TOPLEXIL 33MG/100ML SYR BT1 X EX",663994,199
"Highchem KE",,"COAPRO 300-25MG TABCO BL2X14 M24 XE",264433,200
"Highchem KE",,"ELOXATINE 100MG/20ML INJ VL1 H FR",407073,201
"Highchem KE",,"METHOTREXATE 2.5MG TABCO BT20 M36 FR",355496,202
"Highchem KE",,"ARTANE 5MG TAB BL20 FR",665401,203
"Highchem KE",,"DOLIPRANE 1G TAB BL2X4 M24 XD",650739,204
"Highchem KE",,"TRITACE 2.5MG TAB BL2X14 S4 M36 XE",627595,205
"Highchem KE",,"TRITACE 5MG TAB BL2X14 S4 M36 XE",627597,206
"Highchem KE",,"AMARYL 1MG TAB BL2X15 S3 M36 XE",261604,207
"Highchem KE",,"AMARYL 2MG TAB BL2X15 S3 M36 XE",261605,208
"Highchem KE",,"AMARYL 3MG TAB BL2X15 S4 M36 XE",632896,209
"Highchem KE",,"AMARYL 3MG TAB BL2X15 S3 M36 XE",261608,210
"Highchem KE",,"AMARYL 4MG TAB BL2X15 S3 M36 XE",261610,211
"Highchem KE",,"CLEXANE 2KIU/0.2ML INJ PS2 SWI M24 XE",306220,212
"Highchem KE",,"CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE",306222,213
"Highchem KE",,"CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE",306225,214
"Highchem KE",,"CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE",306226,215
"Highchem KE",,"EPILIM 200MG TABEC BL10X10 S3 M36 XE",502299,216
"Highchem KE",,"FLEMING 228.5MG/+ SUSP BT1 M24 EX",476009,217
"Highchem KE",,"FLEMING 500-125MG TABCO BL2X7 M24 EX",477015,218
"Highchem KE",,"FLEMING 457MG/5ML SUSP BT1 M24 KE",477034,219
"Highchem KE",,"FLEMING 875-125MG TABCO BL2X7 M24 EX",476043,220
"Highchem KE",,"INSUMAN C30 300IU/3ML INJSU CRT5 M24 XE",415360,221
"Highchem KE",,"LANTUS 300IU/3ML INJ SOLO5 ICRA M36 XE",615902,222
"Highchem KE",,"MAALOX PLUS 8.1G/+ SUSP BT1 S3 M36 XD",250798,223
"Highchem KE",,"TAVANIC 500MG/+ INFLS VL1 S3 M36 XE",251781,224
"Highchem KE",,"TIMOL 50MG/10ML EYDRO BT1 M36 GH",477787,225
"Highchem KE",,"ZOXON 1G INJPO VL1+AM1 M36 KE",477044,226
"Highchem KE",,"EPILIM CHRO 199.8-87MG TABCR BL10X10 XE",643215,227
"Highchem KE",,"EPILIM CHRO 333-145MG TABCR BL10X10 XE",643216,228
"Highchem KE",,"EPILIM 12G/300ML SYR BT1 S4 M36 XE",641849,229
"Highchem KE",,"FLAGYL 500MG/+ LIQ BT1 ZA",67294,230
"Highchem KE",,"FLAGYL 200MG/5ML SUSP BT1 M24 ZA",645815,231
"Highchem KE",,"BOX HISTIACIL NF 150ML JBE ADU",626547,232
"Highchem KE",,"CORDARONE 150MG/3ML INJ AM6 S3 M24 XD",245298,233
"Highchem KE",,"BRONCHICUM 6.64G/+ ELIX BT1 S3 M36 XE",352016,234
"Highchem KE",,"ELOXATIN 50MG/10ML INJ VL1 M24 XE",370351,235
"Highchem KE",,"ELOXATIN 100MG/20ML INJ VL1 S3 M24 XE",407096,236
"Highchem KE",,"LASIX 20MG/2ML INJ AM5 XE",518946,237
"Highchem KE",,"LASIX 40MG TAB BL2X10 M36 XE",505579,238
"Highchem KE",,"MAALOX PLUS 200MG+ TABCW BL4X10 S3 XD",436418,239
"Highchem KE",,"MONO-TILDIEM 200MG CAP BL2X14 S3 M36 XE",213714,240
"Highchem KE",,"RESONIUM A 453.7G/+ POWD BT1 M60 XE",258746,241
"Highchem KE",,"RIFOCIN 250MG/3ML INJ AM1 S3 M36 XE",312451,242
"Highchem KE",,"EPILIM 400MG/4ML INJPO VLSX1 S4 M60 XE",642931,243
"Highchem KE",,"MAALOX 84G/+ SUSP BT1 XE",506739,244
"Highchem KE",,"AMARYL 1MG TAB BL3X10 M36 ZA",645820,245
"Highchem KE",,"AMARYL 2MG TAB BL3X10 M36 ZA",645818,246
"Highchem KE",,"AMARYL 4MG TAB BL3X10 M36 ZA",645819,247
"Highchem KE",,"FLAGYL 400MG TAB BT100 M24 ZA",645817,248
"Highchem KE",,"LANTUS 1KIU/10ML INJ VL1 ICRA M36 XE",615926,249
"Highchem KE",,"TARGOCID 200MG/3ML INJPO VLSX1 S3 M36 XE",263980,250
"Highchem KE",,"TARGOCID 400MG/3ML INJPO VLSX1 S3 M36 XE",306632,251
"Highchem KE",,"BUSCOPAN 10MG TABSC BL5X10 M36 NG",651969,252
"Highchem KE",,"GERIATRIC PHARMATON 40MG+ CAPSG BT30 NG",653312,253
"Highchem KE",,"PHARMATON KIDDI 4G/+ SYR BT1 NEAN M24 EX",696080,254
"Highchem KE",,"PHARMATON KIDDI 2G/+ SYR BT1 NEAN M24 EX",696079,255
"Highchem KE",,"BUSCOPAN 20MG/1ML INJ AM5 M36 ZA",652574,256
"Highchem KE",,"BISOLVON LINCTUS DA 160MG/+ SYR BT1 ZA",654229,257
"Highchem KE",,"BUSCOPAN PLUS 10-500MG TABCO BL50X1 EX",653030,258
"Highchem KE",,"DULCOLAX 5MG TABSC BL3X10 M36 XD",693896,259
"Highchem KE",,"MUCOSOLVAN 300MG/+ SYR BT1 M36 EX",651777,260
"Highchem KE",,"APIDRA 300IU/3ML INJ SOLO5 M24 XN",380567,261
"Highchem KE",,"DOLIPRANE 1G SUP BL2X4 FR",62375,262
"Highchem KE",,"DOLIPRANE 1G POWD SC8 NF FR",443925,263
"Highchem KE",,"DOLIPRANE 500MG TAB BL2X8 XD",648641,264
"Highchem KE",,"IMOVANE 7.5MG TABCO BL20 SWI M36 XE",298685,265
"Highchem KE",,"LIPANOR 100MG CAP BL3X10 S4 M36 XD",667138,266
"Highchem KE",,"MAALOX PLUS 15.975G/+ SUSP BT1 S3 M36 XD",250800,267
"Highchem KE",,"PROFEMIGR 150MG TAB BL10 M60 FR",371014,268
"Highchem KE",,"PROFENID 1.5G/60G GEL TB1 S4 M36 XE",594660,269
"Highchem KE",,"SURMONTIL 25MG TAB BL5X10 M36 XD",592231,270
"Highchem KE",,"TELFAST 180MG TABCO BL15 S4 M36 XE",655846,271
"Highchem KE",,"TILDIEM 60MG TAB BL2X15 S3 M36 XD",242086,272
"Highchem KE",,"ARTANE 2MG TAB BL2X25 FR",663419,273
"Highchem KE",,"MUCOSOLVAN 30MG/5ML SYR BT1 M36 XE",686913,274
"BEKER GENERAL BUSINESS PLC",,"AMAREL 1MG TAB BL2X15 M36 XE",268012,1
"BEKER GENERAL BUSINESS PLC",,"AMAREL 2MG TAB BL2X15 M36 XE",268013,2
"BEKER GENERAL BUSINESS PLC",,"AMAREL 3MG TAB BL2X15 M36 XE",268014,3
"BEKER GENERAL BUSINESS PLC",,"AMAREL 4MG TAB BL2X15 M36 XD",268015,4
"BEKER GENERAL BUSINESS PLC",,"AMARYL MIR 2-500MG TABCO BL3X10 XE",307013,5
"BEKER GENERAL BUSINESS PLC",,"AMARYL MSR 2-500MG TABCO BL3X10 M24 XE",321233,6
"BEKER GENERAL BUSINESS PLC",,"AMITRON 3G/60ML POWD BT1 M36 EX",475982,7
"BEKER GENERAL BUSINESS PLC",,"AMITRON 500MG CAPEM BL12 M36 EX",475871,8
"BEKER GENERAL BUSINESS PLC",,"AMITRON 500MG CAPEM BL50X10 M36 EX",475875,9
"BEKER GENERAL BUSINESS PLC",,"APROVEL 150MG TABCO BL2X14 RM M36 XE",196680,10
"BEKER GENERAL BUSINESS PLC",,"APROVEL 300MG TABCO BL2X14 RM M36 XE",196681,11
"BEKER GENERAL BUSINESS PLC",,"ASPEGIC 100MG POWD SC20 SAF M24 XD",281498,12
"BEKER GENERAL BUSINESS PLC",,"ASPEGIC 1G POWD SC20 SAF M30 XD",298801,13
"BEKER GENERAL BUSINESS PLC",,"ASPEGIC 250MG POWD SC20 SAF M24 XD",281499,14
"BEKER GENERAL BUSINESS PLC",,"ASPEGIC 500MG POWD SC20 SAF M30 XD",281500,15
"BEKER GENERAL BUSINESS PLC",,"ATURGYL 7.5MG/15ML NASSP IN1 M24 XE",354883,16
"BEKER GENERAL BUSINESS PLC",,"BIOFERON 305MG+ CAPEM BL3X10 M30 EX",475991,17
"BEKER GENERAL BUSINESS PLC",,"BIPROFENID 100MG TAB BL2X10 S4 M24 XD",636858,18
"BEKER GENERAL BUSINESS PLC",,"CLOMID 50MG TAB BL10 NDSI M36 XE",551042,19
"BEKER GENERAL BUSINESS PLC",,"CLOMID 50MG TAB BL5 NDSI M36 XE",551043,20
"BEKER GENERAL BUSINESS PLC",,"COAPRO 150-12.5MG TABCO BL2X14 RM M36 XD",247831,21
"BEKER GENERAL BUSINESS PLC",,"COAPRO 300-12.5MG TABCO BL2X14 RM M36 XD",247832,22
"BEKER GENERAL BUSINESS PLC",,"CODOLIPRANE 400-20MG TAB BL2X8 NDSI XD",628074,23
"BEKER GENERAL BUSINESS PLC",,"CORDARONE 200MG TAB BL2X15 M24 XD",554523,24
"BEKER GENERAL BUSINESS PLC",,"CORTANCYL 20MG TAB BL2X10 SWI M36 XE",323487,25
"BEKER GENERAL BUSINESS PLC",,"CORTANCYL 5MG TAB BL30 SWI M36 XE",298682,26
"BEKER GENERAL BUSINESS PLC",,"CORVASAL 2MG TAB BL2X15 S3 M36 XD",320343,27
"BEKER GENERAL BUSINESS PLC",,"CORVASAL 4MG TAB BL2X15 S3 M24 XD",320344,28
"BEKER GENERAL BUSINESS PLC",,"DAONIL 5MG TAB BL10X10 SWI M24 XE",305481,29
"BEKER GENERAL BUSINESS PLC",,"DAONIL 5MG TAB BL20 SWI M24 XE",305479,30
"BEKER GENERAL BUSINESS PLC",,"DEPAK CHRO500 333-145MG TABCR TB30 XD",630791,31
"BEKER GENERAL BUSINESS PLC",,"DEPAKINE 200MG TABEC TB40 ICRA M36 X1",624625,32
"BEKER GENERAL BUSINESS PLC",,"DEPAKINE 500MG TABEC TB40 M36 XD",630763,33
"BEKER GENERAL BUSINESS PLC",,"DEPAKINE 8.65G/+ SYR BT1 ICRA M36 XD",625765,34
"BEKER GENERAL BUSINESS PLC",,"DEPAKINE 8G/40ML SOL BT1 ICRA M36 XD",625767,35
"BEKER GENERAL BUSINESS PLC",,"DITROPAN 5MG TAB BL2X30 M36 XD",240939,36
"BEKER GENERAL BUSINESS PLC",,"DOGMATIL 50MG CAP BL30 M36 XE",611732,37
"BEKER GENERAL BUSINESS PLC",,"DOLIPRANE 100MG POWD SC12 NDSI XD",627331,38
"BEKER GENERAL BUSINESS PLC",,"DOLIPRANE 100MG SUP BL2X5 NDSI M36 XD",627329,39
"BEKER GENERAL BUSINESS PLC",,"DOLIPRANE 150MG POWD SC12 NDSI XD",627332,40
