distributor,distributor_product_name,sanofi_product_name,sanofi_product_id
"Highchem KE",,"OROKEN 100MG/5ML POWD BT1 S4 M24 XD",99
"Highchem KE",,"OROKEN 200MG TABCO BL8 S4 M24 XD",100
"Highchem KE",,"OROKEN 40MG/5ML POWD BT1 S4 M24 XD",101
"Highchem KE",,"PROFENID 100MG SUP BL2X6 S4 M24 XD",102
"Highchem KE",,"PROFENID 100MG/2ML INJ AM2 S4 M36 XE",103
"Highchem KE",,"PROFENID 100MG INJPO VL50 H FR",104
"Highchem KE",,"PROFENID 100MG TABCO BL3X10 XD",105
"Highchem KE",,"PROFENID 50MG CAP BL2X12 S4 M36 XD",106
"Highchem KE",,"PROFENID LP 200MG TABEC BL14 S3 M24 XD",107
"Highchem KE",,"PYOSTACINE 500MG TABCO BL2X8 NF M48 XD",108
"Highchem KE",,"QUINIMAX 125MG TABCO BT18 M36 XE",109
"Highchem KE",,"QUINIMAX 500MG TABCO BT9 M36 XE",110
"Highchem KE",,"RHINATHIOL 2.5G/125ML SYR BT1 SAF M36 XM",111
"Highchem KE",,"RHINATHIOL 6.25G/+ SYR BT1 S3 M36 XE",112
"Highchem KE",,"RHINATHIOL 15G/300ML SYR BT1 S3 M37 XM",113
"Highchem KE",,"RHINATHIOL PMZ 2.5G/+ SYR BT1 SAF M24 XD",114
"Highchem KE",,"RISORDAN 20MG TABCO BL3X20 M36 FR",115
"Highchem KE",,"RODOGYL 750KIU+ TABCO BL2X10 S3 M36 XD",116
"Highchem KE",,"ROVAMYCINE 1.5MIU TABCO BL2X8 M36 XD",117
"Highchem KE",,"ROVAMYCINE 3MIU TABCO BL10 M24 XD",118
"Highchem KE",,"RULID 150MG TABCO BL10 SWI M36 XD",119
"Highchem KE",,"STILNOX 10MG TABCO BL20 S4 M48 XD",120
"Highchem KE",,"SURGAM 200MG TAB BL2X10 SWI M36 XE",121
"Highchem KE",,"TAVANIC 500MG/+ INFLS VL1 M36 H FR",122
"Highchem KE",,"TAVANIC 500MG TABCO BL5 SWI M60 XE",123
"Highchem KE",,"TAXOTERE 20MG/1ML INJ VL1 M24 XE",124
"Highchem KE",,"TAXOTERE 80MG/4ML INJ VL1 M24 XD",125
"Highchem KE",,"THIOBACTIN 3G/60ML SUSP BT1 EX",126
"Highchem KE",,"THIOBACTIN 500MG TAB BL24 EX",127
"Highchem KE",,"TOPLEXIL 33MG/+ SYR BT1 S3 M37 XE",128
"Highchem KE",,"TRANXENE 10MG CAP BL3X10 M36 XE",129
"Highchem KE",,"TRANXENE 5MG CAP BL3X10 M36 XE",130
"Highchem KE",,"TRIATEC 10MG TAB BL2X15 S4 M36 XD",131
"Highchem KE",,"TRIATEC 1.25MG TAB BL2X15 XD",132
"Highchem KE",,"TRIATEC 2.5MG TAB BL2X15 S4 M36 XD",133
"Highchem KE",,"ULCAR 1G/5ML SUSP SC30 S4 M48 XD",134
"Highchem KE",,"TRITAZIDE 10-12.5MG TAB BL2X14 S4 M36 XD",135
"Highchem KE",,"TRITAZIDE 10-25MG TAB BL2X14 S4 M36 XD",136
"Highchem KE",,"TRITAZIDE 5-12.5MG TAB BL2X14 S4 M36 XD",137
"Highchem KE",,"TRITAZIDE 5-25MG TAB BL2X14 S4 M36 XD",138
"Highchem KE",,"ULCAR 1G/5ML SUSP SC30 S3 M48 XD",139
"Highchem KE",,"XATRAL 5MG TABCR BL4X14 S4 M36 XD",140
"Highchem KE",,"XATRAL 10MG TABCR BL30 S4 M36 XD",141
"Highchem KE",,"ZEBEN 400MG TAB BL1 M48 EX",142
"Highchem KE",,"LOVENOX 2KIU/0.2ML INJ PS2 SWI M24 XE",143
"Highchem KE",,"LOVENOX 4KIU/0.4ML INJ PS2 SWI M24 XE",144
"Highchem KE",,"LOVENOX 6KIU/0.6ML INJ PS2 SWI M24 XE",145
"Highchem KE",,"LOVENOX 8KIU/0.8ML INJ PS2 SWI M24 XE",146
"Highchem KE",,"RHINATHIOL 10G/200ML SOL BT1 M24 XM",147
"Highchem KE",,"RODOGYL 750KIU+ TABCO BL2X10 S4 M36 XD",148
"Highchem KE",,"TRIATEC 5MG TAB BL2X15 S4 M36 XD",149
"Highchem KE",,"NOVALGIN 2.5G/5ML INJ AM5 S4 M36 XD",150
"Highchem KE",,"OFLOCET 1.5MG/+ SOL UNIX20 S4 M36 XD",151
"Highchem KE",,"DOLIPRANETABS 1G TAB BL2X4 EX",152
"Highchem KE",,"DOLIPRANETABS 500MG TAB BL2X8 X EX",153
"Highchem KE",,"FLAGYL 250MG TAB BL2X10 X EX",154
"Highchem KE",,"FLAGYL 500MG TAB BL14 X EX",155
"Highchem KE",,"GARDENAL 100MG TAB BL2X10 X EX",156
"Highchem KE",,"DOLIPRANE 1.44G/60ML SYR BT1 M24 X EX",157
"Highchem KE",,"QUINIMAX 500MG/4ML INJ AM25 X EX",158
"Highchem KE",,"QUINIMAX 250MG/2ML INJ AM25 X EX",159
"Highchem KE",,"QUINIMAX 500MG/4ML INJ AM3 X EX",160
"Highchem KE",,"PROFENID 150MG/+ SYR BT1 X EX",161
"Highchem KE",,"XATRAL 2.5MG TABCO BL2X15 S4 M24 XD",162
"Highchem KE",,"FLAGYL 500MG TABCO BL2X7 M36 XD",163
"Highchem KE",,"ALLSTAR MEDSUP MEDSU PEN1 MAU XE",164
"Highchem KE",,"APROVASC 150-10MG TAB BL4X7 M36 XD",165
"Highchem KE",,"APROVASC 150-5MG TAB BL4X7 M36 XD",166
"Highchem KE",,"APROVASC 300-10MG TAB BL4X7 M36 XD",167
"Highchem KE",,"APROVASC 300-5MG TAB BL4X7 M36 XD",168
"Highchem KE",,"INSUMAN BAS 1KIU/10ML INJSU VL1 S3 XE",169
"Highchem KE",,"INSUMAN C30 1KIU/10ML INJSU VL1 S3 XE",170
"Highchem KE",,"INSUMAN RAP 1KIU/10ML INJ VL1 S3 M24 XE",171
"Highchem KE",,"MAALOX 600MG/+ SUSP SC30 S3 M36 XD",172
"Highchem KE",,"PLAVIX 75MG TABCO BL2X14 M36 XE",173
"Highchem KE",,"TAVANIC 500MG/+ INFLS VL1 ICRA M36 XD",174
"Highchem KE",,"XATRAL 10MG TABCR BL30 M36 XD",175
"Highchem KE",,"GARDENAL 50MG TAB BL3X10 X EX",176
"Highchem KE",,"CORDARONE 200MG TAB BL2X15 M36 XD",177
"Highchem KE",,"GARDENAL 40MG SUBLY VLSX1 S4 M36 XD",178
"Highchem KE",,"GARDENAL 40MG SUBLY VLSX1 SWI M36 XD",179
"Highchem KE",,"LACTACYD 120ML LIQSO BT1 XD",180
"Highchem KE",,"LACTACYD 200ML LIQSO BT1 XD",181
"Highchem KE",,"OMIZEC 20MG CAP BL4X7 H EX",182
"Highchem KE",,"BIOFERON 200ML SYR BT1 M30 H EX",183
"Highchem KE",,"IBEX 200MG+ CAP BL2X12 H EX",184
"Highchem KE",,"LANTUS 300IU/3ML INJ SOLO5 M36 XD",185
"Highchem KE",,"MAGNE B6 186MG/+ SOL AM10 S3 M36 XM",186
"Highchem KE",,"PARAFLAM 400-325MG TABCO BL10 M36 EX",187
"Highchem KE",,"DOLIPRANE 1G TAB BL2X4 NDSI M36 XD",188
"Highchem KE",,"LANTUS 300IU/3ML INJ CRT5 S3 M36 XE",189
"Highchem KE",,"STILNOX 10MG TABCO BL14 S4 M48 XD",190
"Highchem KE",,"DOLIPRANE 500MG TAB BL2X8 M36 XD",191
"Highchem KE",,"DOLIPRANE 2.16G/90ML SYR BT1 X EX",192
"Highchem KE",,"AMEDIN 10MG TAB BL2X14 M36 MG",193
"Highchem KE",,"AMEDIN 5MG TAB BL2X14 M36 UG",194
"Highchem KE",,"AXACEF 250MG TABCO BL10 M36 MG",195
"Highchem KE",,"AXACEF 500MG TABCO BL10 M36 MG",196
"Highchem KE",,"DYMOL 50-500MG TABEC BL10 M36 MG",197
"Highchem KE",,"ZOXON 1G INJPO VL100 M36 MG",198
"Highchem KE",,"TOPLEXIL 33MG/100ML SYR BT1 X EX",199
"Highchem KE",,"COAPRO 300-25MG TABCO BL2X14 M24 XE",200
"Highchem KE",,"ELOXATINE 100MG/20ML INJ VL1 H FR",201
"Highchem KE",,"METHOTREXATE 2.5MG TABCO BT20 M36 FR",202
"Highchem KE",,"ARTANE 5MG TAB BL20 FR",203
"Highchem KE",,"DOLIPRANE 1G TAB BL2X4 M24 XD",204
"Highchem KE",,"TRITACE 2.5MG TAB BL2X14 S4 M36 XE",205
"Highchem KE",,"TRITACE 5MG TAB BL2X14 S4 M36 XE",206
"Highchem KE",,"AMARYL 1MG TAB BL2X15 S3 M36 XE",207
"Highchem KE",,"AMARYL 2MG TAB BL2X15 S3 M36 XE",208
"Highchem KE",,"AMARYL 3MG TAB BL2X15 S4 M36 XE",209
"Highchem KE",,"AMARYL 3MG TAB BL2X15 S3 M36 XE",210
"Highchem KE",,"AMARYL 4MG TAB BL2X15 S3 M36 XE",211
"Highchem KE",,"CLEXANE 2KIU/0.2ML INJ PS2 SWI M24 XE",212
"Highchem KE",,"CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE",213
"Highchem KE",,"CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE",214
"Highchem KE",,"CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE",215
"Highchem KE",,"EPILIM 200MG TABEC BL10X10 S3 M36 XE",216
"Highchem KE",,"FLEMING 228.5MG/+ SUSP BT1 M24 EX",217
"Highchem KE",,"FLEMING 500-125MG TABCO BL2X7 M24 EX",218
"Highchem KE",,"FLEMING 457MG/5ML SUSP BT1 M24 KE",219
"Highchem KE",,"FLEMING 875-125MG TABCO BL2X7 M24 EX",220
"Highchem KE",,"INSUMAN C30 300IU/3ML INJSU CRT5 M24 XE",221
"Highchem KE",,"LANTUS 300IU/3ML INJ SOLO5 ICRA M36 XE",222
"Highchem KE",,"MAALOX PLUS 8.1G/+ SUSP BT1 S3 M36 XD",223
"Highchem KE",,"TAVANIC 500MG/+ INFLS VL1 S3 M36 XE",224
"Highchem KE",,"TIMOL 50MG/10ML EYDRO BT1 M36 GH",225
"Highchem KE",,"ZOXON 1G INJPO VL1+AM1 M36 KE",226
"Highchem KE",,"EPILIM CHRO 199.8-87MG TABCR BL10X10 XE",227
"Highchem KE",,"EPILIM CHRO 333-145MG TABCR BL10X10 XE",228
"Highchem KE",,"EPILIM 12G/300ML SYR BT1 S4 M36 XE",229
"Highchem KE",,"FLAGYL 500MG/+ LIQ BT1 ZA",230
"Highchem KE",,"FLAGYL 200MG/5ML SUSP BT1 M24 ZA",231
"Highchem KE",,"BOX HISTIACIL NF 150ML JBE ADU",232
"Highchem KE",,"CORDARONE 150MG/3ML INJ AM6 S3 M24 XD",233
"Highchem KE",,"BRONCHICUM 6.64G/+ ELIX BT1 S3 M36 XE",234
"Highchem KE",,"ELOXATIN 50MG/10ML INJ VL1 M24 XE",235
"Highchem KE",,"ELOXATIN 100MG/20ML INJ VL1 S3 M24 XE",236
"Highchem KE",,"LASIX 20MG/2ML INJ AM5 XE",237
"Highchem KE",,"LASIX 40MG TAB BL2X10 M36 XE",238
"Highchem KE",,"MAALOX PLUS 200MG+ TABCW BL4X10 S3 XD",239
"Highchem KE",,"MONO-TILDIEM 200MG CAP BL2X14 S3 M36 XE",240
"Highchem KE",,"RESONIUM A 453.7G/+ POWD BT1 M60 XE",241
"Highchem KE",,"RIFOCIN 250MG/3ML INJ AM1 S3 M36 XE",242
"Highchem KE",,"EPILIM 400MG/4ML INJPO VLSX1 S4 M60 XE",243
"Highchem KE",,"MAALOX 84G/+ SUSP BT1 XE",244
"Highchem KE",,"AMARYL 1MG TAB BL3X10 M36 ZA",245
"Highchem KE",,"AMARYL 2MG TAB BL3X10 M36 ZA",246
"Highchem KE",,"AMARYL 4MG TAB BL3X10 M36 ZA",247
"Highchem KE",,"FLAGYL 400MG TAB BT100 M24 ZA",248
"Highchem KE",,"LANTUS 1KIU/10ML INJ VL1 ICRA M36 XE",249
"Highchem KE",,"TARGOCID 200MG/3ML INJPO VLSX1 S3 M36 XE",250
"Highchem KE",,"TARGOCID 400MG/3ML INJPO VLSX1 S3 M36 XE",251
"Highchem KE",,"BUSCOPAN 10MG TABSC BL5X10 M36 NG",252
"Highchem KE",,"GERIATRIC PHARMATON 40MG+ CAPSG BT30 NG",253
"Highchem KE",,"PHARMATON KIDDI 4G/+ SYR BT1 NEAN M24 EX",254
"Highchem KE",,"PHARMATON KIDDI 2G/+ SYR BT1 NEAN M24 EX",255
"Highchem KE",,"BUSCOPAN 20MG/1ML INJ AM5 M36 ZA",256
"Highchem KE",,"BISOLVON LINCTUS DA 160MG/+ SYR BT1 ZA",257
"Highchem KE",,"BUSCOPAN PLUS 10-500MG TABCO BL50X1 EX",258
"Highchem KE",,"DULCOLAX 5MG TABSC BL3X10 M36 XD",259
"Highchem KE",,"MUCOSOLVAN 300MG/+ SYR BT1 M36 EX",260
"Highchem KE",,"APIDRA 300IU/3ML INJ SOLO5 M24 XN",261
"Highchem KE",,"DOLIPRANE 1G SUP BL2X4 FR",262
"Highchem KE",,"DOLIPRANE 1G POWD SC8 NF FR",263
"Highchem KE",,"DOLIPRANE 500MG TAB BL2X8 XD",264
"Highchem KE",,"IMOVANE 7.5MG TABCO BL20 SWI M36 XE",265
"Highchem KE",,"LIPANOR 100MG CAP BL3X10 S4 M36 XD",266
"Highchem KE",,"MAALOX PLUS 15.975G/+ SUSP BT1 S3 M36 XD",267
"Highchem KE",,"PROFEMIGR 150MG TAB BL10 M60 FR",268
"Highchem KE",,"PROFENID 1.5G/60G GEL TB1 S4 M36 XE",269
"Highchem KE",,"SURMONTIL 25MG TAB BL5X10 M36 XD",270
"Highchem KE",,"TELFAST 180MG TABCO BL15 S4 M36 XE",271
"Highchem KE",,"TILDIEM 60MG TAB BL2X15 S3 M36 XD",272
"Highchem KE",,"ARTANE 2MG TAB BL2X25 FR",273
"Highchem KE",,"MUCOSOLVAN 30MG/5ML SYR BT1 M36 XE",274
"BEKER GENERAL BUSINESS PLC",,"AMAREL 1MG TAB BL2X15 M36 XE",1
"BEKER GENERAL BUSINESS PLC",,"AMAREL 2MG TAB BL2X15 M36 XE",2
"BEKER GENERAL BUSINESS PLC",,"AMAREL 3MG TAB BL2X15 M36 XE",3
"BEKER GENERAL BUSINESS PLC",,"AMAREL 4MG TAB BL2X15 M36 XD",4
"BEKER GENERAL BUSINESS PLC",,"AMARYL MIR 2-500MG TABCO BL3X10 XE",5
"BEKER GENERAL BUSINESS PLC",,"AMARYL MSR 2-500MG TABCO BL3X10 M24 XE",6
"BEKER GENERAL BUSINESS PLC",,"AMITRON 3G/60ML POWD BT1 M36 EX",7
"BEKER GENERAL BUSINESS PLC",,"AMITRON 500MG CAPEM BL12 M36 EX",8
"BEKER GENERAL BUSINESS PLC",,"AMITRON 500MG CAPEM BL50X10 M36 EX",9
"BEKER GENERAL BUSINESS PLC",,"APROVEL 150MG TABCO BL2X14 RM M36 XE",10
"BEKER GENERAL BUSINESS PLC",,"APROVEL 300MG TABCO BL2X14 RM M36 XE",11
"BEKER GENERAL BUSINESS PLC",,"ASPEGIC 100MG POWD SC20 SAF M24 XD",12
"BEKER GENERAL BUSINESS PLC",,"ASPEGIC 1G POWD SC20 SAF M30 XD",13
"BEKER GENERAL BUSINESS PLC",,"ASPEGIC 250MG POWD SC20 SAF M24 XD",14
"BEKER GENERAL BUSINESS PLC",,"ASPEGIC 500MG POWD SC20 SAF M30 XD",15
"BEKER GENERAL BUSINESS PLC",,"ATURGYL 7.5MG/15ML NASSP IN1 M24 XE",16
"BEKER GENERAL BUSINESS PLC",,"BIOFERON 305MG+ CAPEM BL3X10 M30 EX",17
"BEKER GENERAL BUSINESS PLC",,"BIPROFENID 100MG TAB BL2X10 S4 M24 XD",18
"BEKER GENERAL BUSINESS PLC",,"CLOMID 50MG TAB BL10 NDSI M36 XE",19
"BEKER GENERAL BUSINESS PLC",,"CLOMID 50MG TAB BL5 NDSI M36 XE",20
"BEKER GENERAL BUSINESS PLC",,"COAPRO 150-12.5MG TABCO BL2X14 RM M36 XD",21
"BEKER GENERAL BUSINESS PLC",,"COAPRO 300-12.5MG TABCO BL2X14 RM M36 XD",22
"BEKER GENERAL BUSINESS PLC",,"CODOLIPRANE 400-20MG TAB BL2X8 NDSI XD",23
"BEKER GENERAL BUSINESS PLC",,"CORDARONE 200MG TAB BL2X15 M24 XD",24
"BEKER GENERAL BUSINESS PLC",,"CORTANCYL 20MG TAB BL2X10 SWI M36 XE",25
"BEKER GENERAL BUSINESS PLC",,"CORTANCYL 5MG TAB BL30 SWI M36 XE",26
"BEKER GENERAL BUSINESS PLC",,"CORVASAL 2MG TAB BL2X15 S3 M36 XD",27
"BEKER GENERAL BUSINESS PLC",,"CORVASAL 4MG TAB BL2X15 S3 M24 XD",28
"BEKER GENERAL BUSINESS PLC",,"DAONIL 5MG TAB BL10X10 SWI M24 XE",29
"BEKER GENERAL BUSINESS PLC",,"DAONIL 5MG TAB BL20 SWI M24 XE",30
"BEKER GENERAL BUSINESS PLC",,"DEPAK CHRO500 333-145MG TABCR TB30 XD",31
"BEKER GENERAL BUSINESS PLC",,"DEPAKINE 200MG TABEC TB40 ICRA M36 X1",32
"BEKER GENERAL BUSINESS PLC",,"DEPAKINE 500MG TABEC TB40 M36 XD",33
"BEKER GENERAL BUSINESS PLC",,"DEPAKINE 8.65G/+ SYR BT1 ICRA M36 XD",34
"BEKER GENERAL BUSINESS PLC",,"DEPAKINE 8G/40ML SOL BT1 ICRA M36 XD",35
"BEKER GENERAL BUSINESS PLC",,"DITROPAN 5MG TAB BL2X30 M36 XD",36
"BEKER GENERAL BUSINESS PLC",,"DOGMATIL 50MG CAP BL30 M36 XE",37
"BEKER GENERAL BUSINESS PLC",,"DOLIPRANE 100MG POWD SC12 NDSI XD",38
"BEKER GENERAL BUSINESS PLC",,"DOLIPRANE 100MG SUP BL2X5 NDSI M36 XD",39
"BEKER GENERAL BUSINESS PLC",,"DOLIPRANE 150MG POWD SC12 NDSI XD",40
"BEKER GENERAL BUSINESS PLC",,"DOLIPRANE 150MG SUP BL2X5 NDSI M36 XD",41
"BEKER GENERAL BUSINESS PLC",,"DOLIPRANE 1G TABEF TB8 NDSI M36 XD",42
"BEKER GENERAL BUSINESS PLC",,"DOLIPRANE 200MG POWD SC12 NDSI XD",43
"BEKER GENERAL BUSINESS PLC",,"DOLIPRANE 200MG SUP BL2X5 NDSI M36 XD",44
"BEKER GENERAL BUSINESS PLC",,"DOLIPRANE 300MG POWD SC12 NDSI XD",45
"BEKER GENERAL BUSINESS PLC",,"DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD",46
"BEKER GENERAL BUSINESS PLC",,"DOLIPRANE VIT C 500-150MG TABEF TB16 XD",47
"BEKER GENERAL BUSINESS PLC",,"DOLIPRANE VIT C 500-150MG TABEF TB16 FR",48
"BEKER GENERAL BUSINESS PLC",,"DOLIPRANE 500MG POWD SC12 NDSI M24 XD",49
"BEKER GENERAL BUSINESS PLC",,"DOLIPRANE 500MG TABEF TB2X8 NDSI M36 XD",50
"BEKER GENERAL BUSINESS PLC",,"DOLIPREX 500MG+ POWD SC8 NDSI XD",51
"BEKER GENERAL BUSINESS PLC",,"DOLIRHUME 500-30MG TAB BL2X8 NDSI M36 XD",52
"BEKER GENERAL BUSINESS PLC",,"ENTEROGERMINA 2BCFU/5ML SUSP BT10 S3 XD",53
"BEKER GENERAL BUSINESS PLC",,"ERCEFURYL 200MG CAP BL2X14 SAF M60 XE",54
"BEKER GENERAL BUSINESS PLC",,"ERCEFURYL 3.6G/90ML SOL BT1 S2 EX",55
"BEKER GENERAL BUSINESS PLC",,"EXACYL 500MG TAB BL20 S3 XE",56
"BEKER GENERAL BUSINESS PLC",,"EXACYL 1G/10ML SOL AM5 S3 M60 XE",57
"BEKER GENERAL BUSINESS PLC",,"FLAGENTYL 500MG TABCO BL4 S4 M49 XD",58
