country,distributor,distributor_product_name,sanofi_product_name,sanofi_gmid,,
CG,LABOREX PNR,AMAREL 2MG 30CP,AMAREL 2MG TAB BL2X15 M36 XE,268013,,
CG,SEP BRZ,AMAREL 2MG 30CP,AMAREL 2MG TAB BL2X15 M36 XE,268013,,
CG,SEP PNR,AMAREL 2MG 30CP,AMAREL 2MG TAB BL2X15 M36 XE,268013,,
CG,UBI BRZ,AMAREL 2MG 30CP,AMAREL 2MG TAB BL2X15 M36 XE,268013,,
CG,UBI PNR,AMAREL 2MG 30CP,AMAREL 2MG TAB BL2X15 M36 XE,268013,,
GN,LABOREX,AMAREL 2MG 30CP,AMAREL 2MG TAB BL2X15 M36 XE,268013,,
GN,SGIP,AMAREL 2MG 30CP,AMAREL 2MG TAB BL2X15 M36 XE,268013,,
GN,SODIPH,AMAREL 2MG 30CP,AMAREL 2MG TAB BL2X15 M36 XE,268013,,
BF,LABOREX,AMAREL 3 MG 30CP,AMAREL 3MG TAB BL2X15 M36 XE,268014,,
BF,UBIPHARM,AMAREL 3 MG 30CP,AMAREL 3MG TAB BL2X15 M36 XE,268014,,
BF,DPBF,AMAREL 3 MG 30CP,AMAREL 3MG TAB BL2X15 M36 XE,268014,,
BF,TEDIS,AMAREL 3 MG 30CP,AMAREL 3MG TAB BL2X15 M36 XE,268014,,
CG,LABOREX BRZ,AMAREL 3 MG 30CP,AMAREL 3MG TAB BL2X15 M36 XE,268014,,
CG,LABOREX PNR,AMAREL 3 MG 30CP,AMAREL 3MG TAB BL2X15 M36 XE,268014,,
CG,SEP BRZ,AMAREL 3 MG 30CP,AMAREL 3MG TAB BL2X15 M36 XE,268014,,
CG,SEP PNR,AMAREL 3 MG 30CP,AMAREL 3MG TAB BL2X15 M36 XE,268014,,
CG,UBI BRZ,AMAREL 3 MG 30CP,AMAREL 3MG TAB BL2X15 M36 XE,268014,,
CG,UBI PNR,AMAREL 3 MG 30CP,AMAREL 3MG TAB BL2X15 M36 XE,268014,,
GN,LABOREX,AMAREL 3 MG 30CP,AMAREL 3MG TAB BL2X15 M36 XE,268014,,
GN,SGIP,AMAREL 3 MG 30CP,AMAREL 3MG TAB BL2X15 M36 XE,268014,,
GN,SODIPH,AMAREL 3 MG 30CP,AMAREL 3MG TAB BL2X15 M36 XE,268014,,
BF,LABOREX,AMAREL 4 MG 30CP,AMAREL 4MG TAB BL2X15 M36 XD,268015,,
BF,UBIPHARM,AMAREL 4 MG 30CP,AMAREL 4MG TAB BL2X15 M36 XD,268015,,
BF,DPBF,AMAREL 4 MG 30CP,AMAREL 4MG TAB BL2X15 M36 XD,268015,,
BF,TEDIS,AMAREL 4 MG 30CP,AMAREL 4MG TAB BL2X15 M36 XD,268015,,
CG,LABOREX BRZ,AMAREL 4 MG 30CP,AMAREL 4MG TAB BL2X15 M36 XD,268015,,
CG,LABOREX PNR,AMAREL 4 MG 30CP,AMAREL 4MG TAB BL2X15 M36 XD,268015,,
CG,SEP BRZ,AMAREL 4 MG 30CP,AMAREL 4MG TAB BL2X15 M36 XD,268015,,
CG,SEP PNR,AMAREL 4 MG 30CP,AMAREL 4MG TAB BL2X15 M36 XD,268015,,
CG,UBI BRZ,AMAREL 4 MG 30CP,AMAREL 4MG TAB BL2X15 M36 XD,268015,,
CG,UBI PNR,AMAREL 4 MG 30CP,AMAREL 4MG TAB BL2X15 M36 XD,268015,,
GN,LABOREX,AMAREL 4 MG 30CP,AMAREL 4MG TAB BL2X15 M36 XD,268015,,
GN,SGIP,AMAREL 4 MG 30CP,AMAREL 4MG TAB BL2X15 M36 XD,268015,,
GN,SODIPH,AMAREL 4 MG 30CP,AMAREL 4MG TAB BL2X15 M36 XD,268015,,
ET,Dugda,AMARYL 1mg 2X15 Tab,AMARYL 1MG TAB BL2X15 S3 XE,261604,,
ET,Dejen,AMARYL 1mg 2X15 Tab,AMARYL 1MG TAB BL2X15 S3 XE,261604,,
KE,Laborex,AMARYL 1MG TABS 10'S          ,Amaryl 1mg 10' Exp Ghana,494156,,
ET,Dugda,AMARYL 2mg 2x15 Tab,AMARYL 2MG TAB BL2X15 S3 XE,261605,,
ET,Dejen,AMARYL 2mg 2x15 Tab,AMARYL 2MG TAB BL2X15 S3 XE,261605,,
KE,Laborex,AMARYL 2MG TABS 10'S          ,Amaryl Tab 2mg 10' Exp Ghana,261605,,
ET,Dugda,AMARYL 4mg 2x15 Tab,AMARYL 4MG TAB BL2X15 S3 XE,261610,,
ET,Dejen,AMARYL 4mg 2x15 Tab,AMARYL 4MG TAB BL2X15 S3 XE,261610,,
KE,Laborex,AMARYL 4MG TABS 10'S          ,Amaryl Tab 4mg 10' Exp Ghana,261605,,
KE,Laborex,AMARYL M 2/500MG TABS 20'S    ,Amaryl M 2/500 20`Exp Ghana,475649,,
KE,Laborex,AMARYL M 2MG CP B/30          ,AMARYL M 2MG 30CP  XE,307013,,
KE,Highchem,AMARYL M 2mg/500mg 30'S,AMARYL M 2MG 30CP  XE,307013,,
KE,Highchem,AMARYL M 2mg/500mg 30'S ,AMARYL M 2MG 30CP  XE,307013,,
BF,LABOREX,AMARYL M 2MG/500MG CP30,AMARYL MIR 2-500MG TABCO BL3X10 XE,307013,,
BF,UBIPHARM,AMARYL M 2MG/500MG CP30,AMARYL MIR 2-500MG TABCO BL3X10 XE,307013,,
BF,DPBF,AMARYL M 2MG/500MG CP30,AMARYL MIR 2-500MG TABCO BL3X10 XE,307013,,
BF,TEDIS,AMARYL M 2MG/500MG CP30,AMARYL MIR 2-500MG TABCO BL3X10 XE,307013,,
CG,LABOREX BRZ,AMARYL M 2MG/500MG CP30,AMARYL MIR 2-500MG TABCO BL3X10 XE,307013,,
CG,LABOREX PNR,AMARYL M 2MG/500MG CP30,AMARYL MIR 2-500MG TABCO BL3X10 XE,307013,,
CG,SEP BRZ,AMARYL M 2MG/500MG CP30,AMARYL MIR 2-500MG TABCO BL3X10 XE,307013,,
CG,SEP PNR,AMARYL M 2MG/500MG CP30,AMARYL MIR 2-500MG TABCO BL3X10 XE,307013,,
CG,UBI BRZ,AMARYL M 2MG/500MG CP30,AMARYL MIR 2-500MG TABCO BL3X10 XE,307013,,
CG,UBI PNR,AMARYL M 2MG/500MG CP30,AMARYL MIR 2-500MG TABCO BL3X10 XE,307013,,
GN,LABOREX,AMARYL M 2MG/500MG CP30,AMARYL MIR 2-500MG TABCO BL3X10 XE,307013,,
GN,SGIP,AMARYL M 2MG/500MG CP30,AMARYL MIR 2-500MG TABCO BL3X10 XE,307013,,
GN,SODIPH,AMARYL M 2MG/500MG CP30,AMARYL MIR 2-500MG TABCO BL3X10 XE,307013,,
UG,Eris,Amaryl M 2mg/500mg Tabs,,,,
KE,Harleys,Amaryl M 2mg/500mgtablets 30's,AMARYL M 2MG 30CP  XE,307013,,
KE,Laborex,AMARYL M SR 2MG CP B/30       ,AMARYL MSR 2-500MG TABCO BL3X10 M24 XE,321233,,
BF,LABOREX,AMARYL M SR 2MG/500MG 30CP,AMARYL MSR 2-500MG TABCO BL3X10 M24 XE,321233,,
BF,UBIPHARM,AMARYL M SR 2MG/500MG 30CP,AMARYL MSR 2-500MG TABCO BL3X10 M24 XE,321233,,
BF,DPBF,AMARYL M SR 2MG/500MG 30CP,AMARYL MSR 2-500MG TABCO BL3X10 M24 XE,321233,,
BF,TEDIS,AMARYL M SR 2MG/500MG 30CP,AMARYL MSR 2-500MG TABCO BL3X10 M24 XE,321233,,
CG,LABOREX BRZ,AMARYL M SR 2MG/500MG 30CP,AMARYL MSR 2-500MG TABCO BL3X10 M24 XE,321233,,
CG,LABOREX PNR,AMARYL M SR 2MG/500MG 30CP,AMARYL MSR 2-500MG TABCO BL3X10 M24 XE,321233,,
CG,SEP BRZ,AMARYL M SR 2MG/500MG 30CP,AMARYL MSR 2-500MG TABCO BL3X10 M24 XE,321233,,
CG,SEP PNR,AMARYL M SR 2MG/500MG 30CP,AMARYL MSR 2-500MG TABCO BL3X10 M24 XE,321233,,
CG,UBI BRZ,AMARYL M SR 2MG/500MG 30CP,AMARYL MSR 2-500MG TABCO BL3X10 M24 XE,321233,,
CG,UBI PNR,AMARYL M SR 2MG/500MG 30CP,AMARYL MSR 2-500MG TABCO BL3X10 M24 XE,321233,,
GN,LABOREX,AMARYL M SR 2MG/500MG 30CP,AMARYL MSR 2-500MG TABCO BL3X10 M24 XE,321233,,
GN,SGIP,AMARYL M SR 2MG/500MG 30CP,AMARYL MSR 2-500MG TABCO BL3X10 M24 XE,321233,,
GN,SODIPH,AMARYL M SR 2MG/500MG 30CP,AMARYL MSR 2-500MG TABCO BL3X10 M24 XE,321233,,
KE,Highchem,AMARYL M SR 2mg/500mg 30'S,AMARYL MSR 2-500MG TABCO BL3X10 M24 XE,321233,,
KE,Harleys,Amaryl M SR 2mg/500mg tablets 30's,AMARYL MSR 2-500MG TABCO BL3X10 M24 XE,321233,,
KE,Surgipharm,AMARYL M SR TABS 2MG-500mg * 30's,AMARYL MSR 2-500MG TABCO BL3X10 M24 XE,321233,,
UG,Surgipharm,Amaryl M Tab 2mg 30's,AMARYL M 2MG 30CP  XE,307013,,
KE,Surgipharm,AMARYL M TABS 2MG * 20,Amaryl M 2/500 20`Exp Ghana,475649,,
KE,Surgipharm,AMARYL M TABS 2mg * 30's,AMARYL M 2MG 30CP  XE,307013,,
ET,EBG,Amaryl SA 1mg 2*15 tabs,AMARYL 1MG TAB BL2X15 S3 XE,261604,,
ET,EBG,Amaryl SA 2mg 30 tabs,AMARYL 2MG TAB BL2X15 S3 XE,261605,,
ET,Beker,Amaryl SA 2mg 30 tabs,AMARYL 2MG TAB BL2X15 S3 XE,261605,,
ET,EBG,Amaryl SA 4mg 2*15 tabs,AMARYL 4MG TAB BL2X15 S3 XE,261610,,
ET,Beker,Amaryl SA 4mg 2*15 tabs,AMARYL 4MG TAB BL2X15 S3 XE,261610,,
KE,Harleys,Amaryl Tablets 1mg  30's,AMARYL 1MG TAB BL3X10 M36 ZA,645820,,
KE,Harleys,Amaryl Tablets 2mg  30's,AMARYL 2MG TAB BL3X10 M36 ZA,645818,,
KE,Harleys,Amaryl Tablets 4mg  30's,AMARYL 4MG TAB BL3X10 M36 ZA,645819,,
KE,Highchem,AMARYL TABS 1.0MG 30'S,AMARYL 1MG TAB BL3X10 M36 ZA,645820,,
KE,Surgipharm,AMARYL TABS 1mg * 10's,Amaryl 1mg 10' Exp Ghana,494156,,
KE,Surgipharm,AMARYL TABS 1mg * 30's,AMARYL 1MG TAB BL3X10 M36 ZA,645820,,
KE,Laborex,AMARYL TABS 1MG 30'S          ,AMARYL 1MG TAB BL3X10 M36 ZA,645820,,
TZ,Laborex,AMARYL TABS 1MG 30'S          ,AMARYL 1MG TAB BL3X10 M36 ZA,645820,,
UG,Surgipharm,Amaryl Tabs 1mg x 30 (Glimepiride),AMARYL 1MG TAB BL3X10 M36 ZA,645820,,
KE,Highchem,AMARYL TABS 2.0MG 30'S,AMARYL 2MG TAB BL3X10 M36 ZA,645818,,
KE,Surgipharm,AMARYL TABS 2mg * 10's,Amaryl Tab 2mg 10' Exp Ghana,261605,,
KE,Surgipharm,AMARYL TABS 2mg * 30's,AMARYL 2MG TAB BL3X10 M36 ZA,645818,,
KE,Laborex,AMARYL TABS 2MG 30'S          ,AMARYL 2MG TAB BL3X10 M36 ZA,645818,,
TZ,Laborex,AMARYL TABS 2MG 30'S          ,AMARYL 2MG TAB BL3X10 M36 ZA,645818,,
UG,Surgipharm,Amaryl Tabs 2mg x 30 (Glimepiride),AMARYL 2MG TAB BL3X10 M36 ZA,645818,,
KE,Highchem,AMARYL TABS 3.0MG 30'S,AMARYL 3MG TAB BL2X15 S3 XE,632896,,
KE,Laborex,AMARYL TABS 3MG 30'S          ,AMARYL 3MG TAB BL2X15 S3 XE,632896,,
KE,Highchem,AMARYL TABS 4.0mg 30'S,AMARYL 4MG TAB BL3X10 M36 ZA,645819,,
KE,Surgipharm,AMARYL TABS 4mg * 10's,Amaryl Tab 4mg 10' Exp Ghana,261605,,
KE,Surgipharm,AMARYL TABS 4mg * 30's,AMARYL 4MG TAB BL3X10 M36 ZA,645819,,
KE,Laborex,AMARYL TABS 4MG 30'S          ,AMARYL 4MG TAB BL3X10 M36 ZA,645819,,
TZ,Laborex,AMARYL TABS 4MG 30'S          ,AMARYL 4MG TAB BL3X10 M36 ZA,645819,,
UG,Surgipharm,Amaryl Tabs 4mg x 30 (Glimepiride),AMARYL 4MG TAB BL3X10 M36 ZA,645819,,
CG,LABOREX BRZ,AMEDIN 10MG TAB 2x14CP,AMEDIN 10MG TAB BL2X14 M36 MG,475652,,
CG,LABOREX PNR,AMEDIN 10MG TAB 2x14CP,AMEDIN 10MG TAB BL2X14 M36 MG,475652,,
CG,SEP BRZ,AMEDIN 10MG TAB 2x14CP,AMEDIN 10MG TAB BL2X14 M36 MG,475652,,
CG,SEP PNR,AMEDIN 10MG TAB 2x14CP,AMEDIN 10MG TAB BL2X14 M36 MG,475652,,
CG,UBI BRZ,AMEDIN 10MG TAB 2x14CP,AMEDIN 10MG TAB BL2X14 M36 MG,475652,,
CG,UBI PNR,AMEDIN 10MG TAB 2x14CP,AMEDIN 10MG TAB BL2X14 M36 MG,475652,,
GN,LABOREX,AMEDIN 10MG TAB 2x14CP,AMEDIN 10MG TAB BL2X14 M36 MG,475652,,
GN,SGIP,AMEDIN 10MG TAB 2x14CP,AMEDIN 10MG TAB BL2X14 M36 MG,475652,,
GN,SODIPH,AMEDIN 10MG TAB 2x14CP,AMEDIN 10MG TAB BL2X14 M36 MG,475652,,
KE,Highchem,AMEDIN 5.0mg TABS 28'S,AMEDIN 5MG TABS 2X14,475862,,
KE,Surgipharm,AMEDIN TABS 10MG * 28,AMEDIN 10MG TAB BL2X14 M36 MG,475652,,
KE,Surgipharm,AMEDIN TABS 5MG * 28,AMEDIN 5MG TABS 2X14,475862,,
UG,Surgipharm,Amedin Tabs 5mg x 28 (Amlodipine),AMEDIN 5MG TAB BL2X14 M36 UG,475862,,
BF,LABOREX,AMITRON 250MG/5ML PDR SUSP60ML,AMITRON 3G/60ML POWD BT1 M36 EX,475982,,
BF,UBIPHARM,AMITRON 250MG/5ML PDR SUSP60ML,AMITRON 3G/60ML POWD BT1 M36 EX,475982,,
BF,DPBF,AMITRON 250MG/5ML PDR SUSP60ML,AMITRON 3G/60ML POWD BT1 M36 EX,475982,,
BF,TEDIS,AMITRON 250MG/5ML PDR SUSP60ML,AMITRON 3G/60ML POWD BT1 M36 EX,475982,,
CG,LABOREX BRZ,AMITRON 250MG/5ML PDR SUSP60ML,AMITRON 3G/60ML POWD BT1 M36 EX,475982,,
CG,LABOREX PNR,AMITRON 250MG/5ML PDR SUSP60ML,AMITRON 3G/60ML POWD BT1 M36 EX,475982,,
CG,SEP BRZ,AMITRON 250MG/5ML PDR SUSP60ML,AMITRON 3G/60ML POWD BT1 M36 EX,475982,,
CG,SEP PNR,AMITRON 250MG/5ML PDR SUSP60ML,AMITRON 3G/60ML POWD BT1 M36 EX,475982,,
CG,UBI BRZ,AMITRON 250MG/5ML PDR SUSP60ML,AMITRON 3G/60ML POWD BT1 M36 EX,475982,,
CG,UBI PNR,AMITRON 250MG/5ML PDR SUSP60ML,AMITRON 3G/60ML POWD BT1 M36 EX,475982,,
GN,LABOREX,AMITRON 250MG/5ML PDR SUSP60ML,AMITRON 3G/60ML POWD BT1 M36 EX,475982,,
GN,SGIP,AMITRON 250MG/5ML PDR SUSP60ML,AMITRON 3G/60ML POWD BT1 M36 EX,475982,,
GN,SODIPH,AMITRON 250MG/5ML PDR SUSP60ML,AMITRON 3G/60ML POWD BT1 M36 EX,475982,,
BF,LABOREX,AMITRON 500MG GEL12,AMITRON 500MG CAPEM BL12 M36 EX,475871,,
BF,UBIPHARM,AMITRON 500MG GEL12,AMITRON 500MG CAPEM BL12 M36 EX,475871,,
BF,DPBF,AMITRON 500MG GEL12,AMITRON 500MG CAPEM BL12 M36 EX,475871,,
BF,TEDIS,AMITRON 500MG GEL12,AMITRON 500MG CAPEM BL12 M36 EX,475871,,
CG,LABOREX BRZ,AMITRON 500MG GEL12,AMITRON 500MG CAPEM BL12 M36 EX,475871,,
CG,LABOREX PNR,AMITRON 500MG GEL12,AMITRON 500MG CAPEM BL12 M36 EX,475871,,
CG,SEP BRZ,AMITRON 500MG GEL12,AMITRON 500MG CAPEM BL12 M36 EX,475871,,
CG,SEP PNR,AMITRON 500MG GEL12,AMITRON 500MG CAPEM BL12 M36 EX,475871,,
CG,UBI BRZ,AMITRON 500MG GEL12,AMITRON 500MG CAPEM BL12 M36 EX,475871,,
CG,UBI PNR,AMITRON 500MG GEL12,AMITRON 500MG CAPEM BL12 M36 EX,475871,,
GN,LABOREX,AMITRON 500MG GEL12,AMITRON 500MG CAPEM BL12 M36 EX,475871,,
GN,SGIP,AMITRON 500MG GEL12,AMITRON 500MG CAPEM BL12 M36 EX,475871,,
GN,SODIPH,AMITRON 500MG GEL12,AMITRON 500MG CAPEM BL12 M36 EX,475871,,
BF,LABOREX,AMITRON 500MG GEL50x10,AMITRON 500MG CAPEM BL50X10 M36 EX,475875,,
BF,UBIPHARM,AMITRON 500MG GEL50x10,AMITRON 500MG CAPEM BL50X10 M36 EX,475875,,
BF,DPBF,AMITRON 500MG GEL50x10,AMITRON 500MG CAPEM BL50X10 M36 EX,475875,,
BF,TEDIS,AMITRON 500MG GEL50x10,AMITRON 500MG CAPEM BL50X10 M36 EX,475875,,
CG,LABOREX BRZ,AMITRON 500MG GEL50x10,AMITRON 500MG CAPEM BL50X10 M36 EX,475875,,
CG,LABOREX PNR,AMITRON 500MG GEL50x10,AMITRON 500MG CAPEM BL50X10 M36 EX,475875,,
CG,SEP BRZ,AMITRON 500MG GEL50x10,AMITRON 500MG CAPEM BL50X10 M36 EX,475875,,
CG,SEP PNR,AMITRON 500MG GEL50x10,AMITRON 500MG CAPEM BL50X10 M36 EX,475875,,
CG,UBI BRZ,AMITRON 500MG GEL50x10,AMITRON 500MG CAPEM BL50X10 M36 EX,475875,,
CG,UBI PNR,AMITRON 500MG GEL50x10,AMITRON 500MG CAPEM BL50X10 M36 EX,475875,,
GN,LABOREX,AMITRON 500MG GEL50x10,AMITRON 500MG CAPEM BL50X10 M36 EX,475875,,
GN,SGIP,AMITRON 500MG GEL50x10,AMITRON 500MG CAPEM BL50X10 M36 EX,475875,,
GN,SODIPH,AMITRON 500MG GEL50x10,AMITRON 500MG CAPEM BL50X10 M36 EX,475875,,
KE,Laborex,APIDRA SOLOSTAR 100IU/ML 3ML/5,APIDRA SOLOSTAR 300IU 5INJ XE,380567,,
KE,Harleys,Apidra Solostar 300IU pens 5s - COLD CHAIN,APIDRA SOLOSTAR 300IU 5INJ XE,380567,,
CG,LABOREX BRZ,APIDRA SOLOSTAR 300IU STYL/5,LANTUS 300IU/3ML INJ SOLO5 M36 XD,684820,,
CG,LABOREX PNR,APIDRA SOLOSTAR 300IU STYL/5,LANTUS 300IU/3ML INJ SOLO5 M36 XD,684820,,
CG,SEP BRZ,APIDRA SOLOSTAR 300IU STYL/5,LANTUS 300IU/3ML INJ SOLO5 M36 XD,684820,,
CG,SEP PNR,APIDRA SOLOSTAR 300IU STYL/5,LANTUS 300IU/3ML INJ SOLO5 M36 XD,684820,,
CG,UBI BRZ,APIDRA SOLOSTAR 300IU STYL/5,LANTUS 300IU/3ML INJ SOLO5 M36 XD,684820,,
CG,UBI PNR,APIDRA SOLOSTAR 300IU STYL/5,LANTUS 300IU/3ML INJ SOLO5 M36 XD,684820,,
GN,LABOREX,APIDRA SOLOSTAR 300IU STYL/5,LANTUS 300IU/3ML INJ SOLO5 M36 XD,684820,,
GN,SGIP,APIDRA SOLOSTAR 300IU STYL/5,LANTUS 300IU/3ML INJ SOLO5 M36 XD,684820,,
GN,SODIPH,APIDRA SOLOSTAR 300IU STYL/5,LANTUS 300IU/3ML INJ SOLO5 M36 XD,684820,,
KE,Surgipharm,APIDRA SOLOSTAR 3ML DISP PENS * 5s,APIDRA SOLOSTAR 300IU 5INJ XE,380567,,
KE,Laborex,APROVASC 150/10MG TABS 28'S   ,APROVASC 150-10MG TAB BL4X7 M36 XD,539185,,
KE,Highchem,APROVASC 150/5mg TABS 28'S,APROVASC 150-5MG TAB BL4X7 M36 XE,539183,,
KE,Highchem,APROVASC 150-10 MG 28'S,APROVASC 150-10MG TAB BL4X7 M36 XD,539185,,
BF,LABOREX,APROVASC 150-10MG BL4X7CP,APROVASC 150-10MG TAB BL4X7 M36 XD,539185,,
BF,UBIPHARM,APROVASC 150-10MG BL4X7CP,APROVASC 150-10MG TAB BL4X7 M36 XD,539185,,
BF,DPBF,APROVASC 150-10MG BL4X7CP,APROVASC 150-10MG TAB BL4X7 M36 XD,539185,,
BF,TEDIS,APROVASC 150-10MG BL4X7CP,APROVASC 150-10MG TAB BL4X7 M36 XD,539185,,
CG,LABOREX BRZ,APROVASC 150-10MG BL4X7CP,APROVASC 150-10MG TAB BL4X7 M36 XD,539185,,
CG,LABOREX PNR,APROVASC 150-10MG BL4X7CP,APROVASC 150-10MG TAB BL4X7 M36 XD,539185,,
CG,SEP BRZ,APROVASC 150-10MG BL4X7CP,APROVASC 150-10MG TAB BL4X7 M36 XD,539185,,
CG,SEP PNR,APROVASC 150-10MG BL4X7CP,APROVASC 150-10MG TAB BL4X7 M36 XD,539185,,
CG,UBI BRZ,APROVASC 150-10MG BL4X7CP,APROVASC 150-10MG TAB BL4X7 M36 XD,539185,,
CG,UBI PNR,APROVASC 150-10MG BL4X7CP,APROVASC 150-10MG TAB BL4X7 M36 XD,539185,,
GN,LABOREX,APROVASC 150-10MG BL4X7CP,APROVASC 150-10MG TAB BL4X7 M36 XD,539185,,
GN,SGIP,APROVASC 150-10MG BL4X7CP,APROVASC 150-10MG TAB BL4X7 M36 XD,539185,,
GN,SODIPH,APROVASC 150-10MG BL4X7CP,APROVASC 150-10MG TAB BL4X7 M36 XD,539185,,
BF,LABOREX,APROVASC 150-5MG BL4X7CP,APROVASC 150-5MG TAB BL4X7 M36 XD,539183,,
BF,UBIPHARM,APROVASC 150-5MG BL4X7CP,APROVASC 150-5MG TAB BL4X7 M36 XD,539183,,
BF,DPBF,APROVASC 150-5MG BL4X7CP,APROVASC 150-5MG TAB BL4X7 M36 XD,539183,,
BF,TEDIS,APROVASC 150-5MG BL4X7CP,APROVASC 150-5MG TAB BL4X7 M36 XD,539183,,
CG,LABOREX BRZ,APROVASC 150-5MG BL4X7CP,APROVASC 150-5MG TAB BL4X7 M36 XD,539183,,
CG,LABOREX PNR,APROVASC 150-5MG BL4X7CP,APROVASC 150-5MG TAB BL4X7 M36 XD,539183,,
CG,SEP BRZ,APROVASC 150-5MG BL4X7CP,APROVASC 150-5MG TAB BL4X7 M36 XD,539183,,
CG,SEP PNR,APROVASC 150-5MG BL4X7CP,APROVASC 150-5MG TAB BL4X7 M36 XD,539183,,
CG,UBI BRZ,APROVASC 150-5MG BL4X7CP,APROVASC 150-5MG TAB BL4X7 M36 XD,539183,,
CG,UBI PNR,APROVASC 150-5MG BL4X7CP,APROVASC 150-5MG TAB BL4X7 M36 XD,539183,,
GN,LABOREX,APROVASC 150-5MG BL4X7CP,APROVASC 150-5MG TAB BL4X7 M36 XD,539183,,
GN,SGIP,APROVASC 150-5MG BL4X7CP,APROVASC 150-5MG TAB BL4X7 M36 XD,539183,,
GN,SODIPH,APROVASC 150-5MG BL4X7CP,APROVASC 150-5MG TAB BL4X7 M36 XD,539183,,
KE,Laborex,APROVASC 150-5MG CP B/28      ,APROVASC 150-5MG TAB BL4X7 M36 XE,539183,,
KE,Harleys,Aprovasc 150mg/10mg tablets 28's,APROVASC 150-10MG TAB BL4X7 M36 XD,539185,,
KE,Harleys,Aprovasc 150mg/5mg tablets 28's,APROVASC 150-5MG TAB BL4X7 M36 XE,539183,,
KE,Laborex,APROVASC 300/10MG TABS 28'S ,APROVASC 300-10MG TAB BL4X7 M36 XE,539181,,
