Country,Distributor,Distributor Naming,Sanofi Naming,sanofi_gmid
KE,Harleys,Xatral 5mg Tablets 56's,XATRAL 5MG TAB BL4X14 S3 M36 XD,612011
KE,Harleys,Xatral LP Tablets 10mg 30's,XATRAL 10MG TABCR BL3X10 S3 M36 XD,545747
KE,Harleys,Zoxon 1gm Injection 1's,ZOXON 1G INJPO VL1+AM1 M36 KE,477044
KE,Highchem,Clexane 40mg,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE,306222
KE,Highchem,CLEXANE 40MG 2'S,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE,306222
KE,Highchem,Zoxon 1gm Injection 1's,ZOXON 1G INJPO VL1+AM1 M36 KE,477044
KE,Laborex,AMARYL 1MG TABS,AMARYL 1MG 30 TABS,645820
KE,Laborex,AMARYL 2MG TABS,AMARYL 2MG 30 TABS,645818
KE,Laborex,AMARYL M IR 2MG/500MG 30'S,AMARYL MIR 2-500MG TABCO BL3X10 XE,307013
KE,Laborex,AMARYL M SR 2MG CP B/30       ,AMARYL M SR 2MG 30'S,321233
KE,Laborex,AMARYL TABS 1MG 30'S,AMARYL 1MG 30 TABS,645820
KE,Laborex,AMARYL TABS 2MG 30'S,AMARYL 2MG 30 TABS,645818
KE,Laborex,APROVEL 150MG TABS,APROVEL 150MG TABCO BL2X14 RM M36 XE,196680
KE,Laborex,APROVEL 300MG TABS,APROVEL 300MG TABCO BL2X14 RM M36 XE,196681
KE,Laborex,BUSCOPAN 10MG TABS,BUSCOPAN TABLETS BP 10mg * 50's,651969
KE,Laborex,CLEXANE 40MG,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE,306222
KE,Laborex,CLEXANE 40MG INJ 2'S,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE,306222
KE,Laborex,CLEXANE 40MG INJECTION,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE,306222
KE,Laborex,CLEXANE 60MG,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE,306225
KE,Laborex,CLEXANE 60MG INJ 2'S,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE,306225
KE,Laborex,CLEXANE 60MG INJECTION,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE,306225
KE,Laborex,CLEXANE 80MG INJ 2'S,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE,306226
KE,Laborex,CLEXANE 80MG INJECTION,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE,306226
KE,Laborex,CLEXANE INJ  40MG 2'S,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE,306222
KE,Laborex,CLEXANE INJ  60MG 2'S,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE,306225
KE,Laborex,CLEXANE INJ 40MG 2'S,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE,306222
KE,Laborex,CLEXANE INJ 60MG 2'S,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE,306225
KE,Laborex,CLEXANE INJ 80MG ,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE,306226
KE,Laborex,CLEXANE INJ 80MG 2'S,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE,306226
KE,Laborex,COAPROVEL 150MG/12.5MG,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD,247831
KE,Laborex,CORDARONE TABS ,CORDARONE 200MG TAB BL3X10 S3 M36 XD,554510
KE,Laborex,CORDARONE TABS 200MG,CORDARONE 200MG TAB BL3X10 S3 M36 XD,554510
KE,Laborex,ENTERGERMINA,ENTEROGERMINA 2BCFU/5ML SUSP BTX10 S3 XE,528888
KE,Laborex,ENTEROGERMINA,ENTEROGERMINA 2BCFU/5ML SUSP BTX10 S3 XE,528888
KE,Laborex,ENTEROGERMINA ,ENTEROGERMINA 2BCFU/5ML SUSP BTX10 S3 XE,528888
KE,Laborex,ENTEROGERMINA ORAL SUSP,ENTEROGERMINA 2BCFU/5ML SUSP BTX10 S3 XE,528888
KE,Laborex,ENTEROGERMINA ORAL SUSP 10X5M£,ENTEROGERMINA 2BCFU/5ML SUSP BTX10 S3 XE,528888
KE,Laborex,EPILIM  EC TABS 200MG,EPILIM 200MG TAB BL10X10,502299
KE,Laborex,EPILIM 300MG CHRONO,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE,643215
KE,Laborex,EPILIM 500MG TABS,EPILIM CHRONO 333-145MG T,643216
KE,Laborex,EPILIM 500MG TABS ,EPILIM CHRONO 333-145MG T,643216
KE,Laborex,EPILIM CHRONO TABS 200MG 100S,EPILIM 200MG TAB BL10X10,502299
KE,Laborex,EPILIM CHRONO TABS 500MG 100S,EPILIM CHRONO 333-145MG T,643216
KE,Laborex,EPILIM SYRUP,EPILIM 12G/300ML SYR BTX1,641849
KE,Laborex,EPILIM SYRUP 300ml,EPILIM 12G/300ML SYR BTX1,641849
KE,Laborex,LASIX INJ 20MG/2ML AMP 5'S,LASIX 20MG/2ML INJ AM5 S3 M60 XE,518946
KE,Laborex,LASIX INJECTION,LASIX 20MG/2ML INJ AM5 S3 M60 XE,518946
KE,Laborex,LASIX INJECTION 20MG,LASIX 20MG/2ML INJ AM5 S3 M60 XE,518946
KE,Laborex,MUCOSALVAN SYRUP,MUCOSOLVAN LIQUID 15mg/5ml * 100ml ,651777
KE,Laborex,NO SPA 40MG TABS 100'S       £,NOSPA 40MG TAB BL10X10 S3,287552
KE,Laborex,NO SPA 40MG TABS 20'S        £,NOSPA 40MG TAB BL2X10 XE,287550
KE,Laborex,NO SPA 40MG/2ML AMP 5'S,NOSPA 40MG/2ML INJ AM5 XD,289138
KE,Laborex,ORELOX 100MG SYRUP 100ML,ORELOX 800MG/+ GRAN BTX1,298691
KE,Laborex,ORELOX 100MG TABS,ORELOX 100MG TABCO BL1X10,298689
KE,Laborex,ORELOX 100MG TABS 10'S,ORELOX 100MG TABCO BL1X10,298689
KE,Laborex,ORELOX 200MG TABS 10'S,ORELOX 200MG 10CP,374872
KE,Laborex,ORELOX 40MG/5ML PAED SUSP 50ML,ORELOX 400MG/50ML GRAN BTX1 SWI M24 XE,298693
KE,Laborex,ORELOX 40MG/5ML PAED SUSP100ML,ORELOX 800MG/+ GRAN BTX1,298691
KE,Laborex,ORELOX SYRUP 100ML,ORELOX 800MG/+ GRAN BTX1,298691
KE,Laborex,ORELOX TABS 100MG,ORELOX 100MG TABCO BL1X10,298689
KE,Laborex,ORELOX TABS 100ML,ORELOX 800MG/+ GRAN BTX1,298691
KE,Laborex,ORELOX TABS 200MG,ORELOX 200MG 10CP,374872
KE,Laborex,RHINATHIOL 2.5G/125ML 1SYR INF,RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM,479387
KE,Laborex,RHINATHIOL INFANT ,RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM,479387
KE,Laborex,RHINATHIOL PROM SYR 125ML    £,"RHINATHIOL PROMETHAZ 2,5G/+ SYR BTX1 XM",323473
KE,Laborex,RHINATHIOL WITH PROMETHAZINE,"RHINATHIOL PROMETHAZ 2,5G/+ SYR BTX1 XM",323473
KE,Laborex,STILNOX TABLETS 10MG 14'S,STILNOX 10MG TABCO BL1X14 S3 M48 XD,636825
KE,Laborex,STILNOX TABS,STILNOX 10MG TABCO BL1X14 S3 M48 XD,636825
KE,Laborex,STILNOX TABS 10MG,STILNOX 10MG TABCO BL1X14 S3 M48 XD,636825
KE,Laborex,TAVANIC 500MG TABS,TAVANIC 500MG TABLETS 5's,310637
KE,Laborex,TAVANIC 500MG TABS 5'S,TAVANIC 500MG TABLETS 5's,310637
KE,Laborex,TAVANIC TABS 500MG,TAVANIC 500MG TABLETS 5's,310637
KE,Laborex,TRITACE 5MG TABS,TRITACE 5MG 28 TABS,627597
KE,Laborex,TRITACE 5MG TABS 28'S,TRITACE 5MG 28 TABS,627597
KE,Laborex,TRITACE TABS 5MG 30'S,TRITACE 5MG 28 TABS,627597
KE,Surgipharm,AMARYL M SR TABS 2-500mg * 30's,AMARYL M SR 2MG 30'S,321233
KE,Surgipharm,AMARYL M SR TABS 2MG-500mg * 30's,AMARYL M SR 2MG 30'S,321233
KE,Surgipharm,AMARYL M TABS 2mg * 30's,AMARYL MIR 2-500MG TABCO BL3X10 XE,307013
KE,Surgipharm,AMARYL TABS 1mg * 30's,AMARYL 1MG 30 TABS,645820
KE,Surgipharm,AMARYL TABS 2mg * 30's,AMARYL 2MG 30 TABS,645818
KE,Surgipharm,AMARYL TABS 4mg * 30's,AMARYL 4MG 30 TABS,645819
KE,Surgipharm,APROVASC TAB 150-5MG *28,APROVASC 150/5,539183
KE,Surgipharm,APROVASC TAB 300-10MG *28,APROVASC 300/10,539181
KE,Surgipharm,APROVASC TAB 300-5MG *28,APROVASC 300/5,539182
KE,Surgipharm,APROVEL TABS 150mg * 28's,APROVEL 150MG TABCO BL2X14 RM M36 XE,196680
KE,Surgipharm,APROVEL TABS 300mg * 28's,APROVEL 300MG TABCO BL2X14 RM M36 XE,196681
KE,Surgipharm,AXACEF TABLETS 250MG * 10,AXACEF 250MG TABCO BL1X10 M36 GH,475987
KE,Surgipharm,AXACEF TABLETS 500MG * 10's,AXACEF 500MG TABCO BL1X10 M36 KE,475988
KE,Surgipharm,BIOFERON CAPS *30,BIOFERON 305MG CAP 3X10,475991
KE,Surgipharm,BIOFERON SUSP 200ML,BIOFERON 8G/200ML+ SYR BTX1 M30 EX,679090
KE,Surgipharm,BUSCOPAN AMPOULES 20mg/1ml * 5's,BUSCOPAN AMPOULES 20mg/1ml * 5's ,652574
KE,Surgipharm,BUSCOPAN PLUS TABLETS * 50's,BUSCOPAN PLUS TABLETS * 50's,653030
KE,Surgipharm,BUSCOPAN TABLETS BP 10MG * 50S,BUSCOPAN TABLETS BP 10mg * 50's,651969
KE,Surgipharm,CLEXANE INJ. 20mg * 2,CLEXANE 2KIU/0.2ML INJ PS2 SWI M24 XE,306220
KE,Surgipharm,CLEXANE INJ. 40mg * 1'S,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE,306222
KE,Surgipharm,CLEXANE INJ. 40mg * 2,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE,306222
KE,Surgipharm,CLEXANE INJ. 60mg * 1,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE,306225
KE,Surgipharm,CLEXANE INJ. 60mg * 2,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE,306225
KE,Surgipharm,CLEXANE INJ. 80mg * 2,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE,306226
KE,Surgipharm,CO APROVEL TABS 150mg * 28's,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD,247831
KE,Surgipharm,CO APROVEL TABS 300mg * 28's,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD,247832
KE,Surgipharm,CORDARONE TABLETS 200mg * 30,CORDARONE 200MG TAB BL3X10 S3 M36 XD,554510
KE,Surgipharm,DAONIL TABS 5mg * 100's,DAONIL 5 MG 100 TABS (EXPORT),141662
KE,Surgipharm,DAONIL TABS 5mg * 100's,DAONIL 5 MG 100 TABS (EXPORT),141662
KE,Surgipharm,DULCOLAX TABLETS 5mg * 30's SugarC,DULCOLAX TABLETS 5mg * 30's SugarC,693896
KE,Surgipharm,DULCOLAX TABLETS 5mg * 30's SugarC,DULCOLAX TABLETS 5mg * 30's SugarC,651828
KE,Surgipharm,ENTEROGERMINA VIALS 5ML * 10's,ENTEROGERMINA 2BCFU/5ML SUSP BTX10 S3 XE,528888
KE,Surgipharm,EPILIM CHRONO TABS 300mg * 100,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE,643215
KE,Surgipharm,EPILIM CHRONO TABS 500mg * 100,EPILIM CHRONO 333-145MG T,643216
KE,Surgipharm,EPILIM EC TABLETS 200mg * 100,EPILIM 200MG TAB BL10X10,502299
KE,Surgipharm,EPILIM EC TABLETS 200mg * 101,EPILIM 200MG TAB BL10X10,502299
KE,Surgipharm,EPILIM INJECTION 400MG * 1 ,EPILIM 400MG/4ML INJPO VL+S1 M60 XE,642931
KE,Surgipharm,EPILIM INJECTION 400MG * 1 (SODIUM VALPROATE),EPILIM 400MG/4ML INJPO VL+S1 M60 XE,642931
KE,Surgipharm,EPILIM INJECTION 400MG * 2,EPILIM 400MG/4ML INJPO VL+S1 M60 XE,642931
KE,Surgipharm,EPILIM INJECTION 400MG * 3,EPILIM 400MG/4ML INJPO VL+S1 M60 XE,642931
KE,Surgipharm,EPILIM SYRUP 300ml,EPILIM 12G/300ML SYR BTX1,641849
KE,Surgipharm,ERCEFURYL CAPSULES 200mg * 28,ERCEFURYL 200MG CAP BL2X14,592593
KE,Surgipharm,FLAGENTYL TABS 500mg * 4,FLAGENTYL 500MG TABCO BL1X4 S3 XE,664051
KE,Surgipharm,FLAGENTYL TABS 500mg * 4,FLAGENTYL 500MG TABCO BL1X4 S3 XE,664047
KE,Surgipharm,FLAGYL INFUSION (VIAFLEX)100ml*1,FLAGYL 0.5% 100ML VIAFLEX (GFR),67294
KE,Surgipharm,FLAGYL SUSPENSION 100ml,FLAGYL SUSPENSION 100ML,645815
KE,Surgipharm,FLEMING INJ 1.2GM * 5'S,FLEMING 1G-200MG INJPO VL5 M24 EX,476963
KE,Surgipharm,FLEMING SUSP 228.5MG/5ML * 70ML,FLEMING 2.8MG/70ML PO BTX1 M24 EX,476009
KE,Surgipharm,FLEMING SUSP 457MG/5ML * 70ML,FLEMING 5.6G/70ML PO BTX1 M24 GH,477034
KE,Surgipharm,FLEMING TABS 1 G * 2*7'S,FLEMING 875-125MG TABCO BL2X7 M24 EX,476043
KE,Surgipharm,LANTUS 10ml VIAL,LANTUS VIAL 10MG 1,615926
KE,Surgipharm,LANTUS SOLOSTAR 3ML CARTRIDGE * 5'S,LANTUS SOLOSTAR 100IU/ML 3ML 5,241634
KE,Surgipharm,LASIX AMPS 2ml * 5,LASIX 20MG/2ML INJ AM5 S3 M60 XE,518946
KE,Surgipharm,LASIX TABS 40mg * 20,LASIX 40MG TAB BL2X10 SWI M60 XE,505579
KE,Surgipharm,MAALOX LEMON STICK 460mg/susp *20s,Maalox 460mg/susp SC20 S3 M36 XE,292174
KE,Surgipharm,MAALOX PLUS TABLETS 200MG * 40's,MAALOX PLUS TABS EXPORT 10,436418
KE,Surgipharm,MAALOX SUSPENSION 350ml,MAALOX SUSPENSION 350ML (EXPORT),506739
KE,Surgipharm,MONO-TILDIEM CAPS SR 200mg * 28's,MONO-TILDIEM 200MG CAP BL2X14 S3 M36 XD,213714
KE,Surgipharm,MUCOSOLVAN LIQUID 15mg/5ml * 100ml,MUCOSOLVAN LIQUID 15mg/5ml * 100ml ,651777
KE,Surgipharm,NO SPA INJECTION 40mg/2ml * 25Amps,NOSPA 40MG/2ML INJ AM25 XD,289137
KE,Surgipharm,NO SPA TABLETS 40mg * 100's,NOSPA 40MG TAB BL10X10 S3,287552
KE,Surgipharm,NO SPA TABLETS 40mg * 20,NOSPA 40MG TAB BL2X10 XE,287550
KE,Surgipharm,ORELOX SUSP 40MG/5ML 100ML,ORELOX 800MG/+ GRAN BTX1,298691
KE,Surgipharm,ORELOX SUSP 40MG/5ML 50ML,ORELOX 400MG/50ML GRAN BTX1 SWI M24 XE,298693
KE,Surgipharm,ORELOX TABS 100MG *10'S,ORELOX 100MG TABCO BL1X10,298689
KE,Surgipharm,ORELOX TABS 200MG *10'S,ORELOX 200MG 10CP,374872
KE,Surgipharm,PLAVIX TABS 75mg * 28's,PLAVIX 75MG TABCO BL2X14 M36 XE,222428
KE,Surgipharm,RESONIUM ADULT POWDER 454G,RESONIUM A 453.7G/+ POWD BTX1 M60 XE,258746
KE,Surgipharm,RHINATHIOL ADULT EXP 200M(SUGAR FR),RHINATHIOL 6.25G/+ SYR BT,479530
KE,Surgipharm,RHINATHIOL EXPEC/ADULT SYRUP 125ml,RHINATHIOL 6.25G/+ SYR BT,479530
KE,Surgipharm,RHINATHIOL INFANT SYRUP 125ml,RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM,479387
KE,Surgipharm,RHINATHIOL PROMETHAZINE SYRUP 125ml,"RHINATHIOL PROMETHAZ 2,5G/+ SYR BTX1 XM",323473
KE,Surgipharm,RIFOCIN INJ. 250mg * 1's,RIFOCIN 250MG/3ML INJ AM1 S3 M36 XE,312451
KE,Surgipharm,SODIUM VALPROATE TABLETS 200MG * 100'S (LOOSE),EPILIM 200MG TAB BL10X10,502299
KE,Surgipharm,SODIUM VALPROATE TABLETS 200MG * 1'S (LOOSE),EPILIM 200MG TAB BL10X10,502299
KE,Surgipharm,STILNOX TABS 10MG * 14,STILNOX 10MG TABCO BL1X14 S3 M48 XD,636825
KE,Surgipharm,TAVANIC INJ. 500mg VIAL,TAVANIC 500MG/+ INFLS VL1,251781
KE,Surgipharm,TAVANIC TABS 500mg * 5,TAVANIC 500MG TABLETS 5's,310637
KE,Surgipharm,TAXOTERE 80mg/4ml * 1 VIAL,TAXOTERE 80mg NSL 1+1 EXP,414074
KE,Surgipharm,TRITACE TABS 2.5mg * 28's,"TRITACE 2,5MG  28 TABS",627595
KE,Surgipharm,TRITACE TABS 5mg * 28's,TRITACE 5MG 28 TABS,627597
KE,Surgipharm,XATRAL LP TABLETS 5mg * 56's,XATRAL 5MG TAB BL4X14 S3 M36 XD,612011
KE,Surgipharm,XATRAL LP TABS 10mg * 30's,XATRAL 10MG TABCR BL3X10 S3 M36 XD,545747
KE,Surgipharm,ZOXON 1GM INJ 1*1 WITH WATER,ZOXON 1G INJPO VL1+AM1 M36 KE,477044
