customer_naming,distributor_product_name,sanofi_product_name,sanofi_gmid
MADAPHAR,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
MADIPHAR,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
OPHAM,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
SOMAPHAR,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
SOPHARMAD,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
S O P H A R M A D  S.A,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
AFRICA,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
AFRICA LAB,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
CAMED,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
COPHAR,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
COPHARMA-UBIPHARM,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
Laborex,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
LABOREX MALI SA,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
CAMEC,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
C A M E C,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
CHIGHUETTY,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
CHIVA,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
CHIVA - MEDICA,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
EL EMEL,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
EL EMEL PHARMA SA,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
Laborex,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
LABOREX MAURITANIE S.A.,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
LABOREX MAURITANIE,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
MAURIPHARM,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
ORIGINE PH,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
ORIGINE PHARMA  S.A.R.L.,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
ORIGINE PHARMA,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
SOMAPHAR,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
ANICHEM,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
Anichem ,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
ANICHEM PHARMACY,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
MSJ,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
MSJ LTD - UNICORN TRADING,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
UNICORN (MSJ LTD),,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
PNL,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
Laborex,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
LABOREX NIGER,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
SAPHAR,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
UBI,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
BALMTCHAD,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
SOCIETE BALM - TCHAD S.A/AG,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
Laborex,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
LABOREX TCHAD,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
MED-PHARMT,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
MED PHARMAT,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
TCH PHARM,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
GTPHARM,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
OCDI,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
SOCOPH.,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
SOTOMED,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
UNIPHART,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
Bahari,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
BAHARI PHARMACY LIMITED,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
JD,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
J.D. PHARMACY LTD,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
Laborex,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
Eris,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
ERIS  LTD,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
Laborex,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
LifePharma,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
Surgipharm,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
UBIPHARM,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
TEDIS  BURKINA        CL,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
CHIMIO,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
CHIMIO S.A.,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
ALCHEM INDUSTRIES,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
IBIS PHARMA / BURUNDI         CL,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
MULTIPHAR (PHARMACIE DE GROS),,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
GAPOB,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
U.B. PHAR S.A.,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
PROMO PHARMA,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
PROMO-PHARMA SA,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
PHARMACIE DE LA NOBLESSE,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
AUXI-EXPORT / RDC        CL,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
DEPOT PHARMACEUTIQUE EXTRA PLUS,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
CONCORD CONGO,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
CONCORD CONGO S.P.R.L.,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
COGEZAF / RDC        CL,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
COGEZAF S.A.,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
IBIS PHARMA / RDC           CL,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
DEPOT PHARMACEUTIQUE SAINT SAUVEUR,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
SODIPHARM,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
SOGUIMED-UBIPHARM GUINEE,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
NAP PHARMA  sarl,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
PROCHIPHAR / GUINEE      CL,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
TEDIS/ GUINEE       CL,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
KALOUM PHARMA SARL,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
AMIALSAR  SARL,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
FEELA PHARMA,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
PHARMA GROUPE INTERNATIONAL PGI,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
SOMAPHAR PLATEFORME,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
DICOPROPHAGI SARL,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
LABOREX MALI,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
TEDIS,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
SOMAPHAR MR,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
G.C. PHARMA,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
G. C. PHARMA,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
G.C. PHARMA,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
EL WATANIYA PHARMA SARL,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
ESSALAMA PHARMA,,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,627326
