country,DISTRIBUTOR,PRODUCT_Disti,Product_Sanofi,sanofi_gmid
KE,Laborex,ORELOX 100MG CP B/10          ,ORELOX 100MG TABCO BL1X10,298689
KE,Surgipharm,ORELOX TABS 100MG *10'S,ORELOX 100MG TABCO BL1X10,298689
KE,Laborex,ORELOX ENF 40MG/5ML SUS/100ML ,ORELOX 800MG/+ GRAN BTX1,298691
KE,Harleys,Orelox 40mg/5ml suspension 100ml,ORELOX 800MG/+ GRAN BTX1,298691
KE,Highchem,ORELOX 100ml SUSPENSION,ORELOX 800MG/+ GRAN BTX1,298691
KE,Laborex,ORELOX ENF 40MG/5ML SUS/100ML,ORELOX 800MG/+ GRAN BTX1,298691
KE,Surgipharm,ORELOX SUSP 40MG/5ML 100ML,ORELOX 800MG/+ GRAN BTX1,298691
KE,Laborex,ORELOX ENF 40MG/5ML SUSP/50ML ,ORELOX 400MG/50ML GRAN BTX1 SWI M24 XE,298693
KE,Harleys,Orelox 40mg/5ml suspension 50ml,ORELOX 400MG/50ML GRAN BTX1 SWI M24 XE,298693
KE,Highchem,ORELOX 50ml SUSPENSION,ORELOX 400MG/50ML GRAN BTX1 SWI M24 XE,298693
KE,Surgipharm,ORELOX SUSP 40MG/5ML 50ML,ORELOX 400MG/50ML GRAN BTX1 SWI M24 XE,298693
KE,Surgipharm,TARGOCID INJ 400mg * 1s,TARGOCID IV 400,306632
KE,Harleys,Targocid 400mg/3ml inj I.M/I.V amp,TARGOCID IV 400,306632
KE,Laborex,TARGOCID 400MG INJ 1'S        ,TARGOCID IV 400,306632
KE,Surgipharm,AS/AQ TABS 25/67.5MG*3*25'S(IP)INFA,ASAQ 25MG TAB 25BLIX3 EX,306725
KE,Highchem,AMARYL M 2mg/500mg 30'S,AMARYL MIR 2-500MG TABCO BL3X10 XE,307013
KE,Laborex,AMARYL M 2MG CP B/30          ,AMARYL MIR 2-500MG TABCO BL3X10 XE,307013
KE,Harleys,Amaryl M 2mg/500mgtablets 30's,AMARYL MIR 2-500MG TABCO BL3X10 XE,307013
KE,Surgipharm,AMARYL M TABS 2mg * 30's,AMARYL MIR 2-500MG TABCO BL3X10 XE,307013
KE,Highchem,TAVANIC 500mg TABS 5'S,TAVANIC 500MG TABLETS 5's,310637
KE,Harleys,Tavanic Tablets 500mg 5's,TAVANIC 500MG TABLETS 5's,310637
KE,Laborex,TAVANIC 500MG CP B/5          ,TAVANIC 500MG TABLETS 5's,310637
KE,Surgipharm,TAVANIC TABS 500mg * 5,TAVANIC 500MG TABLETS 5's,310637
KE,Laborex,RIFOCIN INJ 250MG 1'S         ,RIFOCIN 250MG/3ML INJ AM1 S3 M36 XE,312451
KE,Surgipharm,RIFOCIN INJ. 250mg * 1's,RIFOCIN 250MG/3ML INJ AM1 S3 M36 XE,312451
KE,Harleys,Amaryl M SR 2mg/500mg tablets 30's,AMARYL M SR 2MG 30'S,321233
KE,Laborex,AMARYL M SR 2MG CP B/30       ,AMARYL M SR 2MG 30'S,321233
KE,Surgipharm,AMARYL M SR TABS 2-500mg * 30's,AMARYL M SR 2MG 30'S,321233
KE,Surgipharm,AMARYL M SR TABS 2MG-500mg * 30's,AMARYL M SR 2MG 30'S,321233
KE,Laborex,RHINATHIOL PROMETH SP 125ML   ,"RHINATHIOL PROMETHAZ 2,5G/+ SYR BTX1 XM",323473
KE,Harleys,Rhinathiol Promethazine Syrup  125ml,"RHINATHIOL PROMETHAZ 2,5G/+ SYR BTX1 XM",323473
KE,Highchem,RHINATHIOL PROM 125ml SP,"RHINATHIOL PROMETHAZ 2,5G/+ SYR BTX1 XM",323473
KE,Surgipharm,RHINATHIOL PROMETHAZINE SYRUP 125ml,"RHINATHIOL PROMETHAZ 2,5G/+ SYR BTX1 XM",323473
KE,Surgipharm,AS/AQ TABS 100/270MG*6*25'S(IP)AD,ASAQ 100MG TAB BL25X6 EX,338356
KE,Laborex,TELFAST 120MG TABS 10'S       ,TELFAST 120MG 10 SOUTH AFRICA,340973
KE,Laborex,BRONCHICUM ELIXIR 100ML       ,BRONCHICUM 6.64G/+ ELIX BTX1 XE,352016
KE,Harleys,Bronchicum Elixir S 100ml,BRONCHICUM 6.64G/+ ELIX BTX1 XE,352016
KE,Highchem,BRONCHICUM ELIXIR 100ml,BRONCHICUM 6.64G/+ ELIX BTX1 XE,352016
KE,Surgipharm,BRONCHICUM SYRUP * 100ml,BRONCHICUM 6.64G/+ ELIX BTX1 XE,352016
KE,Harleys,Eloxatin 5mg/ml  Injection 10ml,ELOXATINE* 50MG LYO 1FL VTE EX AMO S3,370351
KE,Surgipharm,ELOXATIN INJ 50mg * 1,ELOXATINE* 50MG LYO 1FL VTE EX AMO S3,370351
KE,Harleys,Artesunate Amodiaquine Tablets 25mg/67.5mg  ACTm 3's,ASAQ 25MG TAB BL1X3 XD,373875
KE,Highchem,ARTESUNATE AMO.25mg/67.5mg 3's,ASAQ 25MG TAB BL1X3 XD,373875
KE,Harleys,Artesunate Amodiaquine Tablets 50mg/135mg  ACTm 3's,ASAQ 50MG TAB BL1X3 XD,373876
KE,Highchem,ARTESUNATE AMOD 50mg/135mg 3's,ASAQ 50MG TAB BL1X3 XD,373876
KE,Harleys,Artesunate Amodiaquine Tablets 100mg/270mg  ACTm 3's,ASAQ 100MG TAB BL1X3 XD,373877
KE,Highchem,ARTESUNATE AMO 100mg/270mg 3's,ASAQ 100MG TAB BL1X3 XD,373877
KE,Harleys,Artesunate Amodiaquine Tablets 100mg/270mg  ACTm 6's,ASAQ 100MG TAB BL1X6 XD,373878
KE,Highchem,ARTESUNATE AMOD 100MG/270 6's,ASAQ 100MG TAB BL1X6 XD,373878
KE,Surgipharm,AS/AQ TABS 100/270MG*3*25'S(IP)CHIL,ASAQ 100MG TAB 25BLIX3 EX,373881
KE,Highchem,ORELOX 200mg TABS 10'S,ORELOX 200MG 10CP,374872
KE,Harleys,Orelox 200mg Tablets 10's,ORELOX 200MG 10CP,374872
KE,Laborex,ORELOX 200MG CP B/10          ,ORELOX 200MG 10CP,374872
KE,Surgipharm,ORELOX TABS 200MG *10'S,ORELOX 200MG 10CP,374872
KE,Harleys,Apidra Solostar 300IU pens 5s - COLD CHAIN,APIDRA SOLOSTAR 300IU INJ/5,380567
KE,Highchem,APIDRA SOLOSTAR 3ML*5,APIDRA SOLOSTAR 300IU INJ/5,380567
KE,Laborex,APIDRA SOLOSTAR 100IU/ML 3ML/5,APIDRA SOLOSTAR 300IU INJ/5,380567
KE,Surgipharm,APIDRA SOLOSTAR 3ML DISP PENS * 5s,APIDRA SOLOSTAR 300IU INJ/5,380567
KE,Harleys,Eloxatin 5mg/ml  Injection 20ml,ELOXATINE* 100MG LYO 1FL VTE EX AMO S3,407096
KE,Surgipharm,ELOXATIN INJ 100mg * 1,ELOXATINE* 100MG LYO 1FL VTE EX AMO S3,407096
KE,Harleys,Taxotere 20mg/Vial,TAXOTERE 20MG/1ML INJ VL1 M24 XE,413689
KE,Surgipharm,TAXOTERE 20mg/1ml * 1 VIAL,TAXOTERE 20MG/1ML INJ VL1 M24 XE,413689
KE,Harleys,Taxotere 80mg/4ml Injection Vial,TAXOTERE 80mg NSL 1+1 EXP,414074
KE,Surgipharm,TAXOTERE 80mg/4ml * 1 VIAL,TAXOTERE 80mg NSL 1+1 EXP,414074
KE,Harleys,Maalox plus 200mg (4x10),MAALOX PLUS TABS EXPORT 10,436418
KE,Highchem,MAALOX PLUS 200MG TABS BL4X10,MAALOX PLUS TABS EXPORT 10,436418
KE,Laborex,MAALOX PLUS 200MG TABS 40'S  .,MAALOX PLUS TABS EXPORT 10,436418
KE,Surgipharm,MAALOX PLUS TABLETS 200MG * 40's,MAALOX PLUS TABS EXPORT 10,436418
KE,Harleys,Axacef 250mg Tablets 10's,AXACEF 250MG TABCO BL1X10 M36 GH,475987
KE,Surgipharm,AXACEF TABLETS 250MG * 10,AXACEF 250MG TABCO BL1X10 M36 GH,475987
KE,Harleys,Axacef 500mg Tablets 10's,AXACEF 500MG TABCO BL1X10 M36 KE,475988
KE,Surgipharm,AXACEF TABLETS 500MG * 10's,AXACEF 500MG TABCO BL1X10 M36 KE,475988
KE,Highchem,FLEMING 228.5mg/5ml 70ml SUSPE..,FLEMING 2.8MG/70ML PO BTX1 M24 EX,476009
KE,Harleys,Fleming 228.5mg/5ml Dry Powder For Suspension 70ml,FLEMING 2.8MG/70ML PO BTX1 M24 EX,476009
KE,Surgipharm,FLEMING SUSP 228.5MG/5ML * 70ML,FLEMING 2.8MG/70ML PO BTX1 M24 EX,476009
KE,Surgipharm,FLEMING SUSP 228.5MG/5ML * 70ML(SANOFI),FLEMING 2.8MG/70ML PO BTX1 M24 EX,476009
KE,Surgipharm,FLEMING TABS 1 G * 2*7'S,FLEMING 875-125MG TABCO BL2X7 M24 EX,476043
KE,Harleys,Fleming 1gm Tablets 14's,FLEMING 875-125MG TABCO BL2X7 M24 EX,476043
KE,Highchem,FLEMING 875mg+125mg TABS 14'S,FLEMING 875-125MG TABCO BL2X7 M24 EX,476043
KE,Harleys,Ibex Capsule 2 x 12's,IBEX 200MG+ CAPEM BL2X12 M36 EX,476933
KE,Highchem,IBEX 200MG CAPSULES 24'S,IBEX 200MG+ CAPEM BL2X12 M36 EX,476933
KE,Surgipharm,IBEX CAPSULES 2*12,IBEX 200MG+ CAPEM BL2X12 M36 EX,476933
KE,Harleys,Fleming 1.2g Dry Powder For Injection 5's,FLEMING 1G-200MG INJPO VL5 M24 EX,476963
KE,Highchem,FLEMING 1000mg+200mg 5's INJ,FLEMING 1G-200MG INJPO VL5 M24 EX,476963
KE,Surgipharm,FLEMING INJ 1.2GM * 5'S,FLEMING 1G-200MG INJPO VL5 M24 EX,476963
KE,Harleys,Fleming 625mg Tablets 14's,FLEMING 500-125MG TABCO BL2X7 M24 EX,477015
KE,Highchem,FLEMING 500mg+125mg TABS 14'S,FLEMING 500-125MG TABCO BL2X7 M24 EX,477015
KE,Surgipharm,FLEMING TABS 625MG * 14'S,FLEMING 500-125MG TABCO BL2X7 M24 EX,477015
KE,Surgipharm,FLEMING TABS 625MG * 14'S(SANOFI),FLEMING 500-125MG TABCO BL2X7 M24 EX,477015
KE,Harleys,Fleming 457mg/5ml Dry Powder For Suspension 70ml,FLEMING 5.6G/70ML PO BTX1 M24 GH,477034
KE,Surgipharm,FLEMING SUSP 457MG/5ML * 70ML,FLEMING 5.6G/70ML PO BTX1 M24 GH,477034
KE,Surgipharm,FLEMING SUSP 457MG/5ML * 70ML  (SANOFI),FLEMING 5.6G/70ML PO BTX1 M24 GH,477034
KE,Harleys,Zoxon 1gm Injection 1's,ZOXON 1G INJPO VL1+AM1 M36 KE,477044
KE,Highchem,ZOXON 1000mg,ZOXON 1G INJPO VL1+AM1 M36 KE,477044
KE,Surgipharm,ZOXON 1GM INJ 1*1 WITH WATER,ZOXON 1G INJPO VL1+AM1 M36 KE,477044
KE,Highchem,RHINATHIOL SUGAR FREE AD 200ml SRP,RHINATHIOL 10G/200ML SOL BTX1 XM,477825
KE,Surgipharm,RHINATHIOL ADULT EXP 200M(SUGAR FR),RHINATHIOL 10G/200ML SOL BTX1 XM,477825
KE,Harleys,Rhinathiol Infant 2% Syrup 125ml - Paed,RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM,479387
KE,Laborex,"RHINATHIOL ENF 2% 2,5G /125ML ",RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM,479387
KE,Harleys,Rhinathiol 2% Syrup 125ml - Paed,RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM,479387
KE,Highchem,RHINATHIOL ENFT 125ml SP,RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM,479387
KE,Surgipharm,RHINATHIOL INFANT SYRUP 125ml,RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM,479387
KE,Harleys,Rhinathiol Adult 5% Syrup 125ml,RHINATHIOL 6.25G/+ SYR BT,479530
KE,Laborex,RHINATHIOL AD 5% SP F/125ML   ,RHINATHIOL 6.25G/+ SYR BT,479530
KE,Harleys,Rhinathiol 5% Syrup 125ml,RHINATHIOL 6.25G/+ SYR BT,479530
KE,Highchem,RHINATHIOL AD 125ml SP,RHINATHIOL 6.25G/+ SYR BT,479530
KE,Surgipharm,RHINATHIOL EXPEC/ADULT SYRUP 125ml,RHINATHIOL 6.25G/+ SYR BT,479530
KE,Laborex,LASIX TABS 40MG 20'S          ,LASIX 40MG TAB BL2X10 SWI M60 XE,505579
KE,Harleys,Lasix 40mg Tablets 20's,LASIX 40MG TAB BL2X10 SWI M60 XE,505579
KE,Highchem,LASIX 40mg TABS 20'S,LASIX 40MG TAB BL2X10 SWI M60 XE,505579
KE,Surgipharm,LASIX TABS 40mg * 20,LASIX 40MG TAB BL2X10 SWI M60 XE,505579
KE,Highchem,MAALOX 150ml SUSPENSION,MAALOX SUSPENSION 150ML (EXPORT),506704
KE,Laborex,MAALOX SUSPENSION 150ML       ,MAALOX SUSPENSION 150ML (EXPORT),506704
KE,Surgipharm,MAALOX SUSPENSION 150ml,MAALOX SUSPENSION 150ML (EXPORT),506704
KE,Laborex,MAALOX SUSP 350ML             ,MAALOX SUSPENSION 350ML (EXPORT),506739
KE,Harleys,Maalox Suspension 350ml,MAALOX SUSPENSION 350ML (EXPORT),506739
KE,Highchem,MAALOX 350ml SUSPENSION,MAALOX SUSPENSION 350ML (EXPORT),506739
KE,Surgipharm,Maalox Suspension 350ml,MAALOX SUSPENSION 350ML (EXPORT),506739
KE,Laborex,MAALOX PLUS SUSP 150ML        ,MAALOX PLUS SUSP 150ML,506742
KE,Laborex,ALL STAR PEN                  ,ALLSTAR MEDSU PEN1 XE,516219
KE,Surgipharm,ALLSTAR PEN,ALLSTAR MEDSU PEN1 XE,516219
KE,Laborex,LASIX INJ 20MG/2ML AMP 5'S    ,LASIX 20MG/2ML INJ AM5 S3 M60 XE,518946
KE,Harleys,Lasix Injection 20mg 5 x 2ml AMP,LASIX 20MG/2ML INJ AM5 S3 M60 XE,518946
KE,Highchem,LASIX 20mg AMPS 5'S,LASIX 20MG/2ML INJ AM5 S3 M60 XE,518946
KE,Surgipharm,LASIX AMPS 2ml * 5,LASIX 20MG/2ML INJ AM5 S3 M60 XE,518946
KE,Harleys,Aprovasc 300mg/10mg tablets 28's,APROVASC 300/10,539181
KE,Highchem,APROVASC 300-10 MG 28'S,APROVASC 300/10,539181
KE,Laborex,APROVASC 300-10MG CP B/28     ,APROVASC 300/10,539181
KE,Surgipharm,APROVASC TAB 300-10MG *28,APROVASC 300/10,539181
KE,Laborex,APROVASC 300-5MG CP B/28      ,APROVASC 300/5,539182
KE,Harleys,Aprovasc 300mg/5mg tablets 28's,APROVASC 300/5,539182
KE,Highchem,APROVASC 300-5MG TABS,APROVASC 300/5,539182
KE,Surgipharm,APROVASC TAB 300-5MG *28,APROVASC 300/5,539182
KE,Laborex,APROVASC 150-5MG CP B/28      ,APROVASC 150/5,539183
KE,Harleys,Aprovasc 150mg/5mg tablets 28's,APROVASC 150/5,539183
KE,Highchem,APROVASC 150/5mg TABS 28'S,APROVASC 150/5,539183
KE,Surgipharm,APROVASC TAB 150-5MG *28,APROVASC 150/5,539183
KE,Harleys,Aprovasc 150mg/10mg tablets 28's,APROVASC 150/10,539185
KE,Highchem,APROVASC 150-10 MG 28'S,APROVASC 150/10,539185
KE,Laborex,CORDARONE 200MG CP B/30       ,CORDARONE 200MG TAB BL3X10 S3 M36 XD,554510
KE,Harleys,Cordarone Tablets 200mg 30's,CORDARONE 200MG TAB BL3X10 S3 M36 XD,554510
KE,Highchem,CORDARONE TAB 200mg 30'S,CORDARONE 200MG TAB BL3X10 S3 M36 XD,554510
KE,Surgipharm,CORDARONE TABLETS 200mg * 30,CORDARONE 200MG TAB BL3X10 S3 M36 XD,554510
KE,Laborex,ERCEFURYL 200MG GELU B/28     ,ERCEFURYL 200MG CAP BL2X14,592593
KE,Highchem,ERCEFURYL 200mg CAPS 28'S,ERCEFURYL 200MG CAP BL2X14,592593
KE,Surgipharm,ERCEFURYL CAPSULES 200mg * 28,ERCEFURYL 200MG CAP BL2X14,592593
KE,Harleys,Xatral 5mg Tablets 56's,XATRAL 5MG TAB BL4X14 S3 M36 XD,612011
KE,Highchem,XATRAL LP TABLETS 5MG*56s,XATRAL 5MG TAB BL4X14 S3 M36 XD,612011
KE,Laborex,XATRAL LP 5MG CP B/56         ,XATRAL 5MG TAB BL4X14 S3 M36 XD,612011
KE,Surgipharm,XATRAL LP TABLETS 5mg * 56's,XATRAL 5MG TAB BL4X14 S3 M36 XD,612011
KE,Highchem,LANTUS SOLOSTAR 3ml 5'S,LANTUS SOLOSTAR 100IU/ML 3ML 5,615902
KE,Laborex,LANTUS SOLOSTAR 100IU 3ML 5'S ,LANTUS SOLOSTAR 100IU/ML 3ML 5,615902
KE,Harleys,Lantus Solostar 100u/3ml 5's PENS - COLD CHAIN,LANTUS SOLOSTAR 100IU/ML 3ML 5,615902
KE,Surgipharm,LANTUS SOLOSTAR 3ML CARTRIDGE * 5'S,LANTUS SOLOSTAR 100IU/ML 3ML 5,615902
KE,Surgipharm,LANTUS SOLOSTAR 3ML CARTRIDGE,LANTUS SOLOSTAR 100IU/ML 3ML 5,615902
KE,Surgipharm,LANTUS SOLOSTAR 3ML CARTRIDGE (INSULIN GLARGINE),LANTUS SOLOSTAR 100IU/ML 3ML 5,615902
KE,Harleys,Lantus vial 10ml - COLD CHAIN,LANTUS VIAL 10MG 1,615926
KE,Highchem,LANTUS 10ml VIAL,LANTUS VIAL 10MG 1,615926
KE,Laborex,LANTUS 1000UI VIAL 1'S        ,LANTUS VIAL 10MG 1,615926
KE,Surgipharm,LANTUS 10ml VIAL,LANTUS VIAL 10MG 1,615926
KE,Laborex,ENTEROGERMINA 2M/5ML F/10     ,ENTEROGERMINA 2BCFU/5ML SUSP BTX10 S3 XE,618677
KE,Harleys,Enterogermina Oral Suspension 10 x 5ml,ENTEROGERMINA 2BCFU/5ML SUSP BTX10 S3 XE,618677
KE,Highchem,ENTEROGERMINA 5.0ml 10'S,ENTEROGERMINA 2BCFU/5ML SUSP BTX10 S3 XE,618677
KE,Surgipharm,ENTEROGERMINA VIALS 5ML * 10's,ENTEROGERMINA 2BCFU/5ML SUSP BTX10 S3 XE,618677
KE,Laborex,"TRITACE 2,5MG TABS 28'S       ","TRITACE 2,5MG  28 TABS",627595
KE,Harleys,Tritace 2.5mg tabs 28's,"TRITACE 2,5MG  28 TABS",627595
KE,Highchem,TRITACE 2.5 MG TABS 28s,"TRITACE 2,5MG  28 TABS",627595
KE,Surgipharm,TRITACE TABS 2.5mg * 28's,"TRITACE 2,5MG  28 TABS",627595
KE,Laborex,TRITACE 5MG TABS 28'S         ,TRITACE 5MG 28 TABS,627597
KE,Harleys,Tritace 5mg tablets 28's,TRITACE 5MG 28 TABS,627597
KE,Highchem,TRITACE 5.0mg TABS 30'S,TRITACE 5MG 28 TABS,627597
KE,Highchem,TRITACE 5 MG TABS 28s,TRITACE 5MG 28 TABS,627597
KE,Laborex,TRITACE TABS 5MG 30'S         ,TRITACE 5MG 28 TABS,627597
KE,Surgipharm,TRITACE TABS 5mg * 28's,TRITACE 5MG 28 TABS,627597
KE,Harleys,Xatral LP Tablets 10mg 30's,XATRAL 10MG TABCR BL3X10 S3 M36 XD,633072
KE,Highchem,XATRAL LP 10mg TABS 30'S,XATRAL 10MG TABCR BL3X10 S3 M36 XD,633072
KE,Laborex,XATRAL LP 10MG COMP B/30      ,XATRAL 10MG TABCR BL3X10 S3 M36 XD,633072
KE,Surgipharm,XATRAL LP TABS 10mg * 30's,XATRAL 10MG TABCR BL3X10 S3 M36 XD,633072
