mercafa_gmid;movement_code;quantity;Disount;Customer;Country;Distributor
9662502;SN;500;;FHC FARMACÊUTICA, S.A.;AO;MERCAFAR
8181602;SN;150;;FHC FARMACÊUTICA, S.A.;AO;MERCAFAR
5594452;SN;90;;FHC FARMACÊUTICA, S.A.;AO;MERCAFAR
5593108;SN;130;;FHC FARMACÊUTICA, S.A.;AO;MERCAFAR
8193516;SN;10;;FHC FARMACÊUTICA, S.A.;AO;MERCAFAR
2806289;SN;50;;LIFEWAY, LDA.;AO;MERCAFAR
2733285;SN;50;;LIFEWAY, LDA.;AO;MERCAFAR
5594452;SN;50;;LIFEWAY, LDA.;AO;MERCAFAR
5842497;SN;200;;NBC MEDICAL, LDA.;AO;MERCAFAR
5842398;SN;360;;NBC MEDICAL, LDA.;AO;MERCAFAR
5251780;SN;100;;PORT FARMACEUTICAL, LDA.;AO;MERCAFAR
8270173;SN;96;;PORT FARMACEUTICAL, LDA.;AO;MERCAFAR
5354105;SN;258;;PORT FARMACEUTICAL, LDA.;AO;MERCAFAR
8113704;SN;100;;PORT FARMACEUTICAL, LDA.;AO;MERCAFAR
2046688;SN;140;;PORT FARMACEUTICAL, LDA.;AO;MERCAFAR
2529683;SN;200;;PORT FARMACEUTICAL, LDA.;AO;MERCAFAR
2842185;SN;150;;PORT FARMACEUTICAL, LDA.;AO;MERCAFAR
2308682;SN;300;;PORT FARMACEUTICAL, LDA.;AO;MERCAFAR
2841989;SN;150;;PORT FARMACEUTICAL, LDA.;AO;MERCAFAR
5251780;SN;50;;QUILABAN QUÍMICA LABORATORIAL ANALÍTICA, LDA.;AO;MERCAFAR
5251582;SN;24;;QUILABAN QUÍMICA LABORATORIAL ANALÍTICA, LDA.;AO;MERCAFAR
8270173;SN;300;;QUILABAN QUÍMICA LABORATORIAL ANALÍTICA, LDA.;AO;MERCAFAR
9729400;SN;40;;QUILABAN QUÍMICA LABORATORIAL ANALÍTICA, LDA.;AO;MERCAFAR
5169602;SN;200;;QUILABAN QUÍMICA LABORATORIAL ANALÍTICA, LDA.;AO;MERCAFAR
2841989;SN;50;;QUILABAN QUÍMICA LABORATORIAL ANALÍTICA, LDA.;AO;MERCAFAR
5594452;SN;500;;QUILABAN QUÍMICA LABORATORIAL ANALÍTICA, LDA.;AO;MERCAFAR
2841989;SN;100;;STOCKPHARMA, LDA.;AO;MERCAFAR
5251780;SN;200;;TRADE MEDIC, S.A.;GW;MERCAFAR
2553188;SN;100;;TRADE MEDIC, S.A.;GW;MERCAFAR
8520825;SN;500;;TRADE MEDIC, S.A.;GW;MERCAFAR
3080983;SN;100;;TRADE MEDIC, S.A.;GW;MERCAFAR
2805984;SN;91;;TRADE MEDIC, S.A.;GW;MERCAFAR
2806289;SN;100;;TRADE MEDIC, S.A.;GW;MERCAFAR
8270173;SN;500;;TRADE MEDIC, S.A.;GW;MERCAFAR
9729400;SN;100;;TRADE MEDIC, S.A.;GW;MERCAFAR
9241307;SN;100;;TRADE MEDIC, S.A.;GW;MERCAFAR
2851889;SN;200;;TRADE MEDIC, S.A.;GW;MERCAFAR
2529584;SN;200;;TRADE MEDIC, S.A.;GW;MERCAFAR
2841989;SN;300;;TRADE MEDIC, S.A.;GW;MERCAFAR
2733285;SN;100;;TRADE MEDIC, S.A.;GW;MERCAFAR
9138230;SN;100;;TRADE MEDIC, S.A.;GW;MERCAFAR
9138222;SN;100;;TRADE MEDIC, S.A.;GW;MERCAFAR
2308682;SN;90;;VIRTUGAL, LDA.;AO;MERCAFAR
2841989;SN;90;;VIRTUGAL, LDA.;AO;MERCAFAR
5490578;HN;;-17,92;BIAL PORTELA & COMPANHIA, S.A;AO;MERCAFAR
2553485;HN;;-83,12;BIAL PORTELA & COMPANHIA, S.A;AO;MERCAFAR
9241307;SN;5353;;FHC FARMACÊUTICA, S.A.;AO;MERCAFAR
5490578;SN;158;;FHC FARMACÊUTICA, S.A.;AO;MERCAFAR
9412809;SN;984;;FHC FARMACÊUTICA, S.A.;AO;MERCAFAR
5594452;SN;700;;FHC FARMACÊUTICA, S.A.;AO;MERCAFAR
8193417;SN;213;;FHC FARMACÊUTICA, S.A.;AO;MERCAFAR
4600284;SN;400;;FHC FARMACÊUTICA, S.A.;AO;MERCAFAR
9412908;SN;285;;LIFEWAY, LDA.;AO;MERCAFAR
9224931;SN;250;;LIFEWAY, LDA.;AO;MERCAFAR
9618801;SN;136;;LIFEWAY, LDA.;AO;MERCAFAR
9662502;SN;100;;LIFEWAY, LDA.;AO;MERCAFAR
5594452;SN;250;;LIFEWAY, LDA.;AO;MERCAFAR
2553485;SN;10;;EMPROFAC, SARL;CV;MERCAFAR
9679704;SN;20;;EMPROFAC, SARL;CV;MERCAFAR
9618801;SN;73;;LIFEWAY, LDA.;AO;MERCAFAR
9241307;SN;9994;;FHC FARMACÊUTICA, S.A.;AO;MERCAFAR
4580684;SN;60;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
5842398;SN;197;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
2805984;SN;269;;BIAL PORTELA & COMPANHIA, S.A;MZ;MERCAFAR
2806289;SN;530;;BIAL PORTELA & COMPANHIA, S.A;MZ;MERCAFAR
8270173;SN;600;;BIAL PORTELA & COMPANHIA, S.A;MZ;MERCAFAR
5169578;SN;100;;BIAL PORTELA & COMPANHIA, S.A;MZ;MERCAFAR
5169602;SN;424;;BIAL PORTELA & COMPANHIA, S.A;MZ;MERCAFAR
3885985;SN;465;;BIAL PORTELA & COMPANHIA, S.A;MZ;MERCAFAR
2046787;SN;381;;BIAL PORTELA & COMPANHIA, S.A;MZ;MERCAFAR
5490578;SN;600;;BIAL PORTELA & COMPANHIA, S.A;MZ;MERCAFAR
2733285;SN;600;;BIAL PORTELA & COMPANHIA, S.A;MZ;MERCAFAR
9412809;SN;300;;FHC FARMACÊUTICA, S.A.;AO;MERCAFAR
9662502;SN;150;;FHC FARMACÊUTICA, S.A.;AO;MERCAFAR
4600284;SN;400;;FHC FARMACÊUTICA, S.A.;AO;MERCAFAR
5064431;SN;200;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
8520809;SN;750;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
8520825;SN;50;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
3080983;SN;50;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
8270173;SN;200;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
9729400;SN;50;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
2829091;SN;100;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
8782516;SN;127;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
2850386;SN;300;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
5064571;SN;230;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
8113704;SN;5;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
8113845;SN;30;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
8113837;SN;860;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
9434126;SN;250;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
2842185;SN;257;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
2308682;SN;400;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
2308781;SN;400;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
2841781;SN;400;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
2841989;SN;400;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
9412809;SN;20;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
9412908;SN;400;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
2733285;SN;600;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
9138230;SN;350;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
9138222;SN;600;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
8181602;SN;54;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
5594452;SN;300;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
5593108;SN;30;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
8250704;SN;300;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
8193516;SN;1;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
8768812;SN;25;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
4600284;SN;800;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
5251780;SN;100;;PORT FARMACEUTICAL, LDA.;AO;MERCAFAR
2553188;SN;100;;PORT FARMACEUTICAL, LDA.;AO;MERCAFAR
8270173;SN;500;;PORT FARMACEUTICAL, LDA.;AO;MERCAFAR
5169578;SN;16;;PORT FARMACEUTICAL, LDA.;AO;MERCAFAR
9241307;SN;0;;PORT FARMACEUTICAL, LDA.;AO;MERCAFAR
5354105;SN;200;;PORT FARMACEUTICAL, LDA.;AO;MERCAFAR
2850386;SN;200;;PORT FARMACEUTICAL, LDA.;AO;MERCAFAR
5064571;SN;230;;PORT FARMACEUTICAL, LDA.;AO;MERCAFAR
3271780;SN;398;;PORT FARMACEUTICAL, LDA.;AO;MERCAFAR
2046688;SN;82;;PORT FARMACEUTICAL, LDA.;AO;MERCAFAR
2308682;SN;100;;PORT FARMACEUTICAL, LDA.;AO;MERCAFAR
2308781;SN;200;;PORT FARMACEUTICAL, LDA.;AO;MERCAFAR
2841781;SN;115;;PORT FARMACEUTICAL, LDA.;AO;MERCAFAR
2841989;SN;300;;PORT FARMACEUTICAL, LDA.;AO;MERCAFAR
9138230;SN;200;;PORT FARMACEUTICAL, LDA.;AO;MERCAFAR
9138222;SN;200;;PORT FARMACEUTICAL, LDA.;AO;MERCAFAR
8193516;SN;100;;PORT FARMACEUTICAL, LDA.;AO;MERCAFAR
9662502;SN;30;;LIFEWAY, LDA.;AO;MERCAFAR
8113837;SN;100;;FARMAKA - DISTRIBUIDORA FARMACEUTICA LDA.;AO;MERCAFAR
9412809;SN;120;;FARMAKA - DISTRIBUIDORA FARMACEUTICA LDA.;AO;MERCAFAR
2308781;SN;100;;STOCKPHARMA, LDA.;AO;MERCAFAR
2841989;SN;100;;STOCKPHARMA, LDA.;AO;MERCAFAR
5354105;SN;100;;NBC MEDICAL, LDA.;AO;MERCAFAR
2850386;SN;100;;NBC MEDICAL, LDA.;AO;MERCAFAR
5064571;SN;1000;;NBC MEDICAL, LDA.;AO;MERCAFAR
2529683;SN;200;;NBC MEDICAL, LDA.;AO;MERCAFAR
2529782;SN;1;;NBC MEDICAL, LDA.;AO;MERCAFAR
2308682;SN;168;;NBC MEDICAL, LDA.;AO;MERCAFAR
2308781;SN;350;;NBC MEDICAL, LDA.;AO;MERCAFAR
2529584;SN;244;;NBC MEDICAL, LDA.;AO;MERCAFAR
2841781;SN;0;;NBC MEDICAL, LDA.;AO;MERCAFAR
2841989;SN;450;;NBC MEDICAL, LDA.;AO;MERCAFAR
5490578;SN;87;;NBC MEDICAL, LDA.;AO;MERCAFAR
9662502;SN;222;;NBC MEDICAL, LDA.;AO;MERCAFAR
5201165;SN;95;;NBC MEDICAL, LDA.;AO;MERCAFAR
5842497;SN;99;;NBC MEDICAL, LDA.;AO;MERCAFAR
5251780;SN;25;;A.M.D. PASSOS, COM. E REP. DE PROD. FARM., LDA.;AO;MERCAFAR
5354105;SN;250;;A.M.D. PASSOS, COM. E REP. DE PROD. FARM., LDA.;AO;MERCAFAR
2850386;SN;200;;A.M.D. PASSOS, COM. E REP. DE PROD. FARM., LDA.;AO;MERCAFAR
2046787;SN;75;;A.M.D. PASSOS, COM. E REP. DE PROD. FARM., LDA.;AO;MERCAFAR
2308781;SN;150;;A.M.D. PASSOS, COM. E REP. DE PROD. FARM., LDA.;AO;MERCAFAR
2841781;SN;0;;A.M.D. PASSOS, COM. E REP. DE PROD. FARM., LDA.;AO;MERCAFAR
2841989;SN;106;;A.M.D. PASSOS, COM. E REP. DE PROD. FARM., LDA.;AO;MERCAFAR
2046787;SN;50;;QUILABAN QUÍMICA LABORATORIAL ANALÍTICA, LDA.;AO;MERCAFAR
2529584;SN;18;;QUILABAN QUÍMICA LABORATORIAL ANALÍTICA, LDA.;AO;MERCAFAR
5490578;SG;;257,5;EMPROFAC, SARL;CV;MERCAFAR
8181602;SG;;21;EMPROFAC, SARL;CV;MERCAFAR
2553485;SG;;19,68;EMPROFAC, SARL;CV ;MERCAFAR
5251780;SN;50;;ODISSEIAMARGEM, P. F. - UNIP. LDA.;AO;MERCAFAR
5354105;SN;200;;ODISSEIAMARGEM, P. F. - UNIP. LDA.;AO;MERCAFAR
2850386;SN;150;;ODISSEIAMARGEM, P. F. - UNIP. LDA.;AO;MERCAFAR
5064571;SN;200;;ODISSEIAMARGEM, P. F. - UNIP. LDA.;AO;MERCAFAR
2529683;SN;50;;ODISSEIAMARGEM, P. F. - UNIP. LDA.;AO;MERCAFAR
2046787;SN;100;;ODISSEIAMARGEM, P. F. - UNIP. LDA.;AO;MERCAFAR
2308781;SN;150;;ODISSEIAMARGEM, P. F. - UNIP. LDA.;AO;MERCAFAR
5064571;SG;;6668,36;EMPROFAC, SARL;CV;MERCAFAR
5064571;SG;;2021,79;EMPROFAC, SARL;CV;MERCAFAR
9618801;SN;32;;STOCKPHARMA, LDA.;AO;MERCAFAR
2553485;SG;;29,52;EMPROFAC, SARL;CV;MERCAFAR
2806289;SN;11;;EMPROFAC, SARL;CV;MERCAFAR
8782516;SG;;101,2;EMPROFAC, SARL;CV;MERCAFAR
9905604;SG;;70,3;EMPROFAC, SARL;CV;MERCAFAR
9434126;SG;;781,44;EMPROFAC, SARL;CV;MERCAFAR
5490578;SG;;1250;EMPROFAC, SARL;CV;MERCAFAR
9679704;SG;;66,36;EMPROFAC, SARL;CV;MERCAFAR
8250704;SN;10;;EMPROFAC, SARL;CV;MERCAFAR
8696641;SN;500;;FARMAKA - DISTRIBUIDORA FARMACEUTICA LDA.;AO;MERCAFAR
4586491;SN;500;;FARMAKA - DISTRIBUIDORA FARMACEUTICA LDA.;AO;MERCAFAR
9412809;SN;90;;PHF-PROD.HOSPITALARES E FARM., LDA.;AO;MERCAFAR
2308781;SN;16;;VIRTUGAL, LDA.;AO;MERCAFAR
2308682;SN;50;;PHF-PROD.HOSPITALARES E FARM., LDA.;AO;MERCAFAR
8270173;SN;100;;XARMADIS PROD. FARM., LDA.;GW;MERCAFAR
5413240;SN;100;;XARMADIS PROD. FARM., LDA.;GW;MERCAFAR
8270173;SN;150;;ZTM INTERNATIONAL LIMITED;AO;MERCAFAR
5490578;SN;300;;ZTM INTERNATIONAL LIMITED;AO;MERCAFAR
9412908;SN;1000;;ZTM INTERNATIONAL LIMITED;AO;MERCAFAR
9224931;SN;700;;ZTM INTERNATIONAL LIMITED;AO;MERCAFAR
2733285;SN;200;;ZTM INTERNATIONAL LIMITED;AO;MERCAFAR
9662502;SN;100;;ZTM INTERNATIONAL LIMITED;AO;MERCAFAR
8193516;SN;120;;ZTM INTERNATIONAL LIMITED;AO;MERCAFAR
4974986;SN;100;;ZTM INTERNATIONAL LIMITED;AO;MERCAFAR
8782516;SG;;53,13;EMPROFAC, SARL;CV;MERCAFAR
9905604;SG;;1332;EMPROFAC, SARL;CV;MERCAFAR
9434126;SG;;845,82;EMPROFAC, SARL;CV;MERCAFAR
5490578;SG;;1275;EMPROFAC, SARL;CV;MERCAFAR
8181602;SG;;285,6;EMPROFAC, SARL;CV;MERCAFAR
8250704;SN;12;;EMPROFAC, SARL;CV;MERCAFAR
2529584;SN;15;;CAFELI;AO;MERCAFAR
2553485;SN;10;;EMPROFAC, SARL;CV;MERCAFAR
9679704;SN;20;;EMPROFAC, SARL;CV;MERCAFAR
2805984;SN;125;;STOCKPHARMA, LDA.;AO;MERCAFAR
2806289;SN;160;;STOCKPHARMA, LDA.;AO;MERCAFAR
8270173;SN;5856;;STOCKPHARMA, LDA.;AO;MERCAFAR
5169578;SN;88;;STOCKPHARMA, LDA.;AO;MERCAFAR
5169602;SN;400;;STOCKPHARMA, LDA.;AO;MERCAFAR
9729400;SN;10;;STOCKPHARMA, LDA.;AO;MERCAFAR
8113837;SN;399;;STOCKPHARMA, LDA.;AO;MERCAFAR
5490578;SN;792;;STOCKPHARMA, LDA.;AO;MERCAFAR
9412809;SN;900;;STOCKPHARMA, LDA.;AO;MERCAFAR
9412908;SN;1752;;STOCKPHARMA, LDA.;AO;MERCAFAR
5594452;SN;1718;;STOCKPHARMA, LDA.;AO;MERCAFAR
5064431;SN;200;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
8270173;SN;50;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
4590287;SN;5;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
4580684;SN;60;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
5064571;SN;353;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
3271780;SN;330;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
8113704;SN;5;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
8113845;SN;30;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
2046787;SN;350;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
2529584;SN;400;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
9412809;SN;20;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
2733285;SN;50;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
9138230;SN;25;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
9138222;SN;100;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
8250704;SN;100;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
8193516;SN;1;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
8768812;SN;3;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
8520817;SN;76;;NBC MEDICAL, LDA.;AO;MERCAFAR
5064431;SN;200;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
5251780;SN;400;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
8520809;SN;50;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
3080983;SN;25;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
2806289;SN;50;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
8270173;SN;50;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
5169578;SN;12;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
5169602;SN;25;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
2829091;SN;31;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
4590287;SN;5;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
8782516;SN;43;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
4580684;SN;60;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
5354105;SN;56;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
2850386;SN;150;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
5064571;SN;400;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
8113704;SN;5;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
8113845;SN;30;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
8113837;SN;700;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
9434126;SN;150;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
2308682;SN;100;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
2046787;SN;300;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
2308781;SN;400;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
2529584;SN;400;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
2841989;SN;253;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
9412809;SN;20;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
9412908;SN;30;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
2733285;SN;50;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
9138230;SN;25;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
9138222;SN;100;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
5593108;SN;20;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
8250704;SN;100;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
8193516;SN;1;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
8768812;SN;3;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
4600284;SN;175;;BIOLS-PHARMACEUTICALS, UNIP., LDA.;AO;MERCAFAR
5064431;SN;20;;PHF-PROD.HOSPITALARES E FARM., LDA.;AO;MERCAFAR
5064571;SN;40;;PHF-PROD.HOSPITALARES E FARM., LDA.;AO;MERCAFAR
9138230;SN;200;;STOCKPHARMA, LDA.;AO;MERCAFAR
8270173;SN;576;;STOCKPHARMA, LDA.;AO;MERCAFAR
9412809;SN;450;;STOCKPHARMA, LDA.;AO;MERCAFAR
9412908;SN;912;;STOCKPHARMA, LDA.;AO;MERCAFAR
9224931;SN;504;;STOCKPHARMA, LDA.;AO;MERCAFAR
4600284;SN;0;;STOCKPHARMA, LDA.;AO;MERCAFAR
2850386;SN;180;;ODISSEIAMARGEM, P. F. - UNIP. LDA.;AO;MERCAFAR
5064571;SN;160;;ODISSEIAMARGEM, P. F. - UNIP. LDA.;AO;MERCAFAR
3271780;SN;120;;ODISSEIAMARGEM, P. F. - UNIP. LDA.;AO;MERCAFAR
9412908;SN;96;;ODISSEIAMARGEM, P. F. - UNIP. LDA.;AO;MERCAFAR
5251780;SN;0;;A.M.D. PASSOS, COM. E REP. DE PROD. FARM., LDA.;AO;MERCAFAR
5354105;SN;0;;A.M.D. PASSOS, COM. E REP. DE PROD. FARM., LDA.;AO;MERCAFAR
2850386;SN;200;;A.M.D. PASSOS, COM. E REP. DE PROD. FARM., LDA.;AO;MERCAFAR
