product_name,unified_price,resell_price,Supply_Price
CORVASAL 2MG TAB BL2X15 S3 M36 XD, 2.91 , 3.06 , 2.9070 
CORVASAL 4MG TAB BL2X15 S3 M24 XD, 5.20 , 6.03 , 5.7285 
DAONIL 5MG TAB BL10X10 SWI M24 XE, 5.86 , 6.05 , 5.7475 
DAONIL 5MG TAB BL20 SWI M24 XE, 1.39 , 1.45 , 1.3775 
DEPAK CHRO500 333-145MG TABCR TB30 XD, 6.50 , 7.45 , 7.0775 
DEPAKINE 200MG TABEC TB40 ICRA M36 X1, 2.31 , 2.39 , 2.2705 
DEPAKINE 500MG TABEC TB40 M36 XD, 5.83 , 5.95 , 5.6525 
DEPAKINE 8.65G/+ SYR BT1 ICRA M36 XD, 3.66 , 3.53 , 3.3535 
DEPAKINE 8G/40ML SOL BT1 ICRA M36 XD, 3.40 , 3.27 , 3.1065 
DITROPAN 5MG TAB BL2X30 M36 XD, 5.04 , 5.31 , 5.0445 
DOGMATIL 50MG CAP BL30 M36 XE, 2.51 , 2.64 , 2.5080 
DOLIPRANE 100MG POWD SC12 NDSI XD, 0.93 , 0.94 , 0.8930 
DOLIPRANE 100MG SUP BL2X5 NDSI M36 XD, 0.85 , 0.86 , 0.8170 
DOLIPRANE 150MG POWD SC12 NDSI XD, 0.93 , 0.94 , 0.8930 
DOLIPRANE 150MG SUP BL2X5 NDSI M36 XD, 0.85 , 0.86 , 0.8170 
DOLIPRANE 1G TABEF TB8 NDSI M36 XD, 0.87 , 0.90 , 0.8550 
DOLIPRANE 200MG POWD SC12 NDSI XD, 0.93 , 0.94 , 0.8930 
DOLIPRANE 200MG SUP BL2X5 NDSI M36 XD, 0.85 , 0.86 , 0.8170 
DOLIPRANE 300MG POWD SC12 NDSI XD, 0.92 , 0.94 , 0.8930 
DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD, 0.85 , 0.86 , 0.8170 
DOLIPRANE VIT C 500-150MG TABEF TB16 FR, 0.94 , 1.05 , 0.9975 
DOLIPRANE VIT C 500-150MG TABEF TB16 XD, 1.00 , 1.05 , 0.9975 
DOLIPRANE 500MG POWD SC12 NDSI M24 XD, 0.83 , 0.86 , 0.8170 
DOLIPRANE 500MG TABEF TB2X8 NDSI M36 XD, 0.89 , 0.91 , 0.8645 
DOLIPREX 500MG+ POWD SC8 NDSI XD, 1.25 , 1.22 , 1.1590 
DOLIRHUME 500-30MG TAB BL2X8 NDSI M36 XD, 1.80 , 1.72 , 1.6340 
ELOXATINE 100MG/20ML INJ VL1 H FR, 394.00 , 411.61 , 391.0295 
ERCEFURYL 200MG CAP BL2X14 SAF M60 XE, 2.28 , 2.30 , 2.1850 
ERCEFURYL 3.6G/90ML SOL BT1 S2 EX, 2.27 , 2.43 , 2.3085 
EXACYL 500MG TAB BL20 S3 XE, 3.56 , 3.88 , 3.6860 
FLAGYL 500MG/+ INJ BG25 H FR, 53.93 , 57.17 , 54.3115 
FLAGYL 125MG/5ML SUSP BT1 XD, 1.73 , 1.79 , 1.7005 
FLAGYL 500MG PESSA BL2X5 S4 M36 XD, 1.75 , 1.84 , 1.7480 
FLEMING 1G-125MG TABCO BL2X8 M24 EX, 4.32 , 4.55 , 4.3225 
FLEMING 1G-200MG INJPO VL5 M24 EX, 6.50 , 6.25 , 5.9375 
FLEMING 3G/+ POWD BT1 M24 EX, 1.76 , 1.85 , 1.7575 
FLEMING 500-62.5MG TABCO BL2X8 M24 EX, 2.85 , 3.00 , 2.8500 
GARDENAL 10MG TAB BL4X20 S3 M60 XE, 1.12 , 0.74 , 0.7030 
HEMI-DAONIL 2.5MG TAB BL3X20 SWI M24 XE, 2.74 , 2.87 , 2.7265 
IBEX 200MG+ CAP BL2X12 H EX, 0.81 , 0.85 , 0.8075 
LANTUS 300IU/3ML INJ SOLO5 M36 XD, 34.85 , 36.68 , 34.8460 
LARGACTIL 100MG TABCO BL3X10 M36 XD, 2.32 , 1.77 , 1.6815 
LASILIX 20MG/2ML INJ AM1 XE, 0.76 , 0.48 , 0.4560 
LASILIX 40MG TAB BL3X10 SWI M36 XE, 1.90 , 1.98 , 1.8810 
LASILIX RETARD 60MG CAP TB30 M24 XE, 2.51 , 3.06 , 2.9070 
LOVENOX 2KIU/0.2ML INJ PS2 SWI M24 XE, 4.24 , 4.47 , 4.2465 
LOVENOX 4KIU/0.4ML INJ PS2 SWI M24 XE, 6.11 , 6.28 , 5.9660 
LOVENOX 6KIU/0.6ML INJ PS2 SWI M24 XE, 8.12 , 8.34 , 7.9230 
LOVENOX 8KIU/0.8ML INJ PS2 SWI M24 XE, 9.34 , 9.60 , 9.1200 
MAALOX 8.75G/+ SUSP BT1 S3 M36 XE, 1.31 , 1.40 , 1.3300 
MAALOX 460MG/+ SUSP SC20 S3 M36 XE, 2.31 , 2.38 , 2.2610 
MAALOX 400-400MG TABCW BL4X10 S3 M60 XE, 1.49 , 1.15 , 1.0925 
MAGNE B6 186MG/+ SOL AM10 S3 M36 XM, 1.45 , 1.51 , 1.4345 
MAGNE B6 470-5MG TABSC BL5X10 S3 M24 XE, 1.89 , 1.93 , 1.8335 
MAXILASE 25KIU/+ SYR BT1 SAF M18 XM, 1.81 , 1.85 , 1.7575 
MAXILASE 3KIU TABSC BL2X12 S3 M24 XD, 2.54 , 2.61 , 2.4795 
METHOTREXATE 2.5MG TABCO BT20 M36 FR, 3.31 , 3.48 , 3.3060 
MITOSYL 40G/150G+ CREAM TB1 S3 M36 XE, 2.44 , 2.04 , 1.9380 
MITOSYL 20-27G/65G CREAM TB1 S3 M36 XE, 1.23 , 1.02 , 0.9690 
NO-SPA 40MG/2ML INJ AM25 XD, 4.49 , 4.93 , 4.6835 
NO-SPA 40MG/2ML INJ AM5 XD, 1.02 , 1.07 , 1.0165 
NO-SPA 40MG TAB BL10X10 S3 M36 XD, 4.76 , 4.93 , 4.6835 
NO-SPA 40MG TAB BL2X10 S3 M36 XD, 1.25 , 1.30 , 1.2350 
NO-SPA 80MG TAB BL2X10 S3 M36 XD, 2.46 , 2.60 , 2.4700 
NOVALGIN 500MG TABCO BL2X10 M36 XD, 1.24 , 1.08 , 1.0260 
NOVALGIN 50MG/100ML SYR BT1 EX, 1.55 , 1.41 , 1.3395 
NOZINAN HCL 100MG TABCO BL2X10 S3 M60 XD, 4.65 , 4.07 , 3.8665 
NOZINAN 25MG TABCO BL2X10 S3 M61 XD, 2.29 , 1.27 , 1.2065 
ORELOX 100MG TABCO BL10 SWI M36 XD, 6.18 , 6.49 , 6.1655 
ORELOX 200MG TABCO BL2X5 M36 XD, 7.10 , 7.50 , 7.1250 
ORELOX 40MG/5ML GRAN BT1 SWI M24 XD, 7.40 , 7.53 , 7.1535 
ORELOX 400MG/50ML GRAN BT1 SWI M24 XE, 4.41 , 4.31 , 4.0945 
OROKEN 100MG/5ML POWD BT1 S4 M24 XD, 6.70 , 7.10 , 6.7450 
OROKEN 200MG TABCO BL8 S4 M24 XD, 6.87 , 6.71 , 6.3745 
OROKEN 40MG/5ML POWD BT1 S4 M24 XD, 3.34 , 3.48 , 3.3060 
PLAVIX 75MG TABCO BL2X14 M36 XE, 16.83 , 13.86 , 13.1670 
PROFENID 100MG SUP BL2X6 S4 M24 XD, 1.85 , 2.10 , 1.9950 
PROFENID 100MG/2ML INJ AM2 S4 M36 XE, 1.35 , 1.25 , 1.1875 
PROFENID 100MG INJPO VL50 H FR, 33.55 , 35.37 , 33.6015 
PROFENID 50MG CAP BL2X12 S4 M36 XD, 1.51 , 1.71 , 1.6245 
PROFENID LP 200MG TABEC BL14 S3 M24 XD, 3.85 , 3.81 , 3.6195 
PYOSTACINE 500MG TABCO BL2X8 NF M48 XD, 13.00 , 12.52 , 11.8940 
QUINIMAX 125MG TABCO BT18 M36 XE, 2.67 , 2.81 , 2.6695 
QUINIMAX 500MG TABCO BT9 M36 XE, 4.11 , 4.41 , 4.1895 
RHINATHIOL 10G/200ML SOL BT1 M24 XM, 2.31 , 2.21 , 2.0995 
RHINATHIOL 2.5G/125ML SYR BT1 SAF M36 XM, 1.44 , 1.52 , 1.4440 
RHINATHIOL 6.25G/+ SYR BT1 S3 M36 XE, 1.63 , 1.67 , 1.5865 
RHINATHIOL 15G/300ML SYR BT1 S3 M37 XM, 2.60 , 2.74 , 2.6030 
RHINATHIOL PMZ 2.5G/+ SYR BT1 SAF M24 XD, 1.23 , 0.92 , 0.8740 
RISORDAN 20MG TABCO BL3X20 M36 FR, 3.14 , 3.15 , 2.9925 
RODOGYL 750KIU+ TABCO BL2X10 S4 M36 XD, 5.45 , 5.74 , 5.4530 
ROVAMYCINE 3MIU TABCO BL10 M24 XD, 3.48 , 3.51 , 3.3345 
RULID 150MG TABCO BL10 SWI M36 XD, 6.52 , 6.86 , 6.5170 
STILNOX 10MG TABCO BL20 S4 M48 XD, 2.61 , 2.32 , 2.2040 
SURGAM 200MG TAB BL2X10 SWI M36 XE, 3.26 , 3.43 , 3.2585 
TAVANIC 500MG/+ INFLS VL1 M36 H FR, 12.35 , 10.20 , 9.6900 
TAVANIC 500MG TABCO BL5 SWI M60 XE, 8.78 , 7.75 , 7.3625 
TAXOTERE 20MG/1ML INJ VL1 M24 XE, 45.80 , 35.00 , 33.2500 
TAXOTERE 80MG/4ML INJ VL1 M24 XD, 106.40 , 87.00 , 82.6500 
THIOBACTIN 3G/60ML SUSP BT1 EX, 2.97 , 2.84 , 2.6980 
THIOBACTIN 500MG TAB BL24 EX, 6.17 , 6.49 , 6.1655 
TRANXENE 10MG CAP BL3X10 M36 XE, 1.54 , 1.62 , 1.5390 
TRANXENE 5MG CAP BL3X10 M36 XE, 0.93 , 0.98 , 0.9310 
TRIATEC 10MG TAB BL2X15 S4 M36 XD, 13.30 , 14.00 , 13.3000 
TRIATEC 1.25MG TAB BL2X15 XD, 6.65 , 7.00 , 6.6500 
TRIATEC 2.5MG TAB BL2X15 S4 M36 XD, 8.08 , 8.50 , 8.0750 
TRIATEC 5MG TAB BL2X15 S4 M36 XD, 11.64 , 12.25 , 11.6375 
TRITAZIDE 10-12.5MG TAB BL2X14 S4 M36 XD, 6.18 , 6.50 , 6.1750 
TRITAZIDE 10-25MG TAB BL2X14 S4 M36 XD, 6.65 , 7.00 , 6.6500 
TRITAZIDE 5-25MG TAB BL2X14 S4 M36 XD, 5.72 , 6.00 , 5.7000 
TRITAZIDE 5-12.5MG TAB BL2X14 S4 M36 XD, 3.81 , 4.00 , 3.8000 
ULCAR 1G/5ML SUSP SC30 S3 M48 XD, 5.38 , 5.70 , 5.4150 
XATRAL 5MG TABCR BL4X14 S4 M36 XD, 17.79 , 18.63 , 17.6985 
XATRAL 10MG TABCR BL30 M36 XD, 18.42 , 18.38 , 17.4610 
AMITRON 500MG CAPEM BL50X10 M36 EX, 19.16 , 22.00 , 20.9000 
ARTANE 5MG TAB BL20 FR, 1.33 , 1.40 , 1.3300 
OFLOCET 1.5MG/+ SOL UNIX20 S4 M36 XD, 3.91 , 4.12 , 3.9140 
DOLIPRANE 1G TAB BL2X4 M24 XD, 0.77 , 0.88 , 0.8360 
DOLIPRANETABS 1G TAB BL2X4 EX, 0.77 , 0.88 , 0.8360 
DOLIPRANE 2.16G/90ML SYR BT1 X EX, 0.90 , 0.95 , 0.9025 
DOLIPRANE 500MG TAB BL2X8 M36 XD, 0.82 , 0.86 , 0.8170 
DOLIPRANETABS 500MG TAB BL2X8 X EX, 0.82 , 0.86 , 0.8170 
FLAGYL 250MG TAB BL2X10 X EX, 1.88 , 2.17 , 2.0615 
FLAGYL 500MG TAB BL14 X EX, 1.53 , 1.70 , 1.6150 
GARDENAL 100MG TAB BL2X10 X EX, 1.15 , 0.76 , 0.7220 
GARDENAL 50MG TAB BL3X10 X EX, 0.70 , 0.47 , 0.4465 
QUINIMAX 500MG/4ML INJ AM25 X EX, 15.93 , 17.51 , 16.6345 
QUINIMAX 500MG/4ML INJ AM3 X EX, 2.43 , 2.52 , 2.3940 
PROFENID 150MG/+ SYR BT1 X EX, 2.02 , 1.96 , 1.8620 
PARAFLAM 400-325MG TABCO BL10 M36 EX, 0.55 , 0.60 , 0.5700 
XATRAL 2.5MG TABCO BL2X15 S4 M24 XD, 6.01 , 6.31 , 5.9945 
FLAGYL 500MG TABCO BL2X7 M36 XD, 1.53 , 1.70 , 1.6150 
