country,product_gmid,unified_price,resale_price,tender_price,supply_price,Product Promotion
BJ,624479,0.89,0.94,0.8037,0.893,N
BJ,626998,1.25,1.3,0.988,1.235,N
BJ,627160,1.8,1.95,1.482,1.8525,N
BJ,528888,2.42,2.54,1.9304,2.413,N
BJ,592593,2.28,2.3,1.748,2.185,N
BJ,671538,2.27,1.74,1.3224,1.653,N
BJ,541078,3.56,3.73,2.8348,3.5435,N
BJ,224938,2.57,2.7,2.052,2.565,N
BJ,664051,2.37,3.18,2.4168,3.021,P
BJ,67933,53.93,57.17,43.4492,54.3115,P
BJ,678014,1.73,1.8,1.539,1.71,P
BJ,642941,1.75,1.84,1.3984,1.748,P
BJ,476956,4.32,4.55,3.458,4.3225,P
BJ,476963,6.5,6.25,4.75,5.9375,P
BJ,476955,1.76,1.85,1.406,1.7575,P
BJ,476957,2.85,3,2.28,2.85,P
BJ,476954,2.85,3,2.28,2.85,P
BJ,665371,1.12,1.22,1.0431,1.159,N
BJ,285368,2.74,2.87,2.1812,2.7265,N
BJ,476933,0.81,0.85,0.646,0.8075,N
BJ,625681,2.32,3.51,2.6676,3.3345,N
BJ,518938,0.76,0.8,0.76,0.76,N
BJ,311168,1.9,1.99,1.5124,1.8905,N
BJ,311166,1.19,1.24,0.9424,1.178,N
BJ,293665,2.51,2.55,2.0592,2.4225,N
BJ,239907,1.31,1.33,1.0108,1.2635,N
BJ,292174,2.31,2.5,1.9,2.375,N
BJ,436433,1.49,1.57,1.1932,1.4915,N
BJ,214082,1.89,1.93,1.6502,1.8335,N
BJ,346666,1.81,1.85,1.406,1.7575,N
BJ,245296,2.54,2.61,1.9836,2.4795,N
BJ,592685,2.44,2.58,2.0834,2.451,N
BJ,592684,1.23,1.34,1.2094,1.273,N
BJ,476712,1.9,2,1.52,1.9,N
BJ,289137,4.49,4.93,3.7468,4.6835,N
BJ,289138,1.02,1.07,0.8132,1.0165,N
BJ,287552,4.76,4.93,3.7468,4.6835,N
BJ,287550,1.25,1.3,0.988,1.235,N
BJ,287553,2.46,2.55,1.938,2.4225,N
BJ,592705,2.68,3.02,2.869,2.869,N
BJ,609071,1.24,1.31,0.9956,1.2445,N
BJ,671597,1.55,1.67,1.2692,1.5865,N
BJ,264980,4.65,8.01,6.0876,7.6095,N
BJ,311122,2.29,2.59,1.9684,2.4605,N
BJ,632425,4.53,4.5,3.42,4.275,N
BJ,298689,6.18,6.49,4.9324,6.1655,N
BJ,374872,7.1,7.5,5.7,7.125,N
BJ,298691,7.4,7.53,5.7228,7.1535,N
BJ,298693,4.41,4.31,3.2756,4.0945,N
BJ,628390,6.7,7.17,5.4492,6.8115,P
BJ,628389,6.87,7.08,5.3808,6.726,P
BJ,628391,3.34,3.28,2.4928,3.116,P
BJ,639164,1.85,1.91,1.4516,1.8145,P
BJ,540717,1.35,1.44,1.0944,1.368,P
BJ,172136,33.55,35.37,31.9215,33.6015,P
BJ,671609,2.61,2.7,2.052,2.565,P
BJ,639608,1.51,1.57,1.1932,1.4915,P
BJ,624622,3.85,3.97,3.0172,3.7715,P
BJ,571696,13,13.57,10.3132,12.8915,N
BJ,187750,2.67,2.81,2.1356,2.6695,N
BJ,187747,4.11,4.41,3.3516,4.1895,N
BJ,479387,1.44,1.52,1.1552,1.444,N
BJ,479530,1.63,1.67,1.2692,1.5865,N
BJ,323470,2.6,2.74,2.0824,2.603,N
BJ,323473,1.23,0.92,0.874,0.874,N
BJ,355560,3.14,3.25,2.47,3.0875,N
BJ,408003,5.45,5.74,4.3624,5.453,N
BJ,624775,3.52,3.7,2.812,3.515,P
BJ,624774,3.48,3.66,2.7816,3.477,P
BJ,298698,6.52,6.86,5.2136,6.517,N
BJ,636827,2.61,2.44,1.8544,2.318,N
BJ,298711,3.26,3.43,2.6068,3.2585,N
BJ,39171,12.35,10.2,7.752,9.69,N
BJ,310637,8.78,7.75,5.89,7.3625,N
BJ,413689,45.8,58,44.08,55.1,N
BJ,414074,106.4,174,132.24,165.3,N
BJ,671637,2.97,3.16,2.4016,3.002,P
BJ,671639,6.17,6.49,4.9324,6.1655,P
BJ,269069,1.82,1.97,1.4972,1.8715,N
BJ,489540,1.54,1.62,1.2312,1.539,N
BJ,489541,0.93,0.98,0.7448,0.931,N
BJ,666655,13.3,14,10.64,13.3,N
BJ,679231,6.65,7,5.32,6.65,N
BJ,666654,8.08,8.5,6.46,8.075,N
BJ,646799,5.38,5.7,4.332,5.415,N
BJ,627667,6.18,6.5,4.94,6.175,N
BJ,627060,6.65,7,5.32,6.65,N
BJ,627061,3.81,4,3.8,3.8,N
BJ,627062,5.72,6,5.7,5.7,N
BJ,168279,5.38,5.7,4.332,5.415,N
BJ,612011,17.79,18.63,14.1588,17.6985,N
BJ,633072,18.42,18.38,13.9688,17.461,N
BJ,476947,0.46,0.5,0.38,0.475,P
BJ,306216,4.24,4.47,3.3972,4.2465,N
BJ,306217,6.11,6.28,4.7728,5.966,N
BJ,306218,8.12,8.34,6.3384,7.923,N
BJ,306219,9.34,9.6,7.296,9.12,N
BJ,477825,2.31,2.21,1.6796,2.0995,N
BJ,624773,5.45,5.74,4.3624,5.453,N
BJ,666653,11.64,12.25,9.31,11.6375,N
BJ,635403,2.68,3.02,2.869,2.869,N
BJ,662889,3.91,4.12,3.1312,3.914,N
BJ,663982,0.77,0.76,0.5776,0.722,N
BJ,663983,0.82,0.86,0.6536,0.817,N
BJ,663984,1.88,1.94,1.4744,1.843,P
BJ,663985,1.53,1.68,1.2768,1.596,P
BJ,663986,1.15,1.26,0.9576,1.197,N
BJ,663981,0.86,0.91,0.6916,0.8645,N
BJ,663996,15.93,17.51,14.9711,16.6345,N
BJ,663995,9.87,9.99,9.4905,9.4905,N
BJ,663998,2.43,2.63,1.9988,2.4985,N
BJ,663992,2.02,1.96,1.5827,1.862,P
BJ,639628,6.01,6.31,4.7956,5.9945,N
BJ,671212,1.53,1.68,1.2768,1.596,P
BJ,635403,2.68,3.02,2.869,2.869,N
BF,516219,9.5,10,7.6,9.5,P
BF,268012,2.91,3.06,2.3256,2.907,P
BF,268013,4.36,4.59,3.4884,4.3605,P
BF,268014,5.7,6,4.56,5.7,P
BF,268015,9.2,9.7,7.372,9.215,P
BF,307013,5.22,4.76,3.6176,4.522,P
BF,321233,4.77,4.76,3.8437,4.522,P
BF,475982,0.76,0.8,0.722,0.76,P
BF,475875,19.16,20,19,19,P
BF,539185,13.29,14.5,11.02,13.775,P
BF,539183,12.94,14,10.64,13.3,P
BF,539181,14.94,16,12.16,15.2,P
BF,539182,14.03,15,11.4,14.25,P
BF,196680,12.75,13.67,10.3892,12.9865,P
BF,196681,13.52,14.4,11.2973,13.68,P
BF,281498,1.02,1.15,0.874,1.0925,N
BF,298801,1.96,2.03,1.6393,1.9285,N
BF,281499,1.07,1.17,0.8892,1.1115,N
BF,281500,1.31,1.44,1.0944,1.368,N
BF,354883,0.94,1,0.8075,0.95,N
BF,475991,1.01,1.05,0.798,0.9975,N
BF,551042,5.46,5.64,4.2864,5.358,N
BF,551043,2.71,2.85,2.166,2.7075,N
BF,247831,12.88,13.87,10.5412,13.1765,P
BF,247832,14.05,14.4,12.9235,13.68,P
BF,320343,2.91,3.07,2.3332,2.9165,N
BF,305481,5.86,6.05,4.598,5.7475,N
BF,305479,1.39,1.45,1.102,1.3775,N
BF,630791,6.5,7.45,5.662,7.0775,P
BF,624625,2.31,2.39,2.2705,2.2705,P
BF,630763,5.83,5.95,6.05,5.6525,P
BF,625765,3.66,3.89,3.3535,3.6955,P
BF,625767,3.4,3.6,3.1065,3.42,P
BF,240939,5.04,5.31,4.0356,5.0445,N
BF,611732,2.51,2.64,2.0064,2.508,N
BF,627331,0.93,0.99,0.7524,0.9405,N
BF,627329,0.85,0.9,0.684,0.855,N
BF,627332,0.93,0.99,0.7524,0.9405,N
BF,627328,0.85,0.9,0.684,0.855,N
BF,624480,0.87,0.9,0.684,0.855,N
BF,627314,0.93,0.99,0.7524,0.9405,N
BF,627327,0.85,0.9,0.684,0.855,N
BF,626997,0.92,0.99,0.7524,0.9405,N
BF,627326,0.85,0.9,0.684,0.855,N
BF,626630,1,1.05,0.9477,0.9975,N
BF,292037,0.94,1.05,0.9477,0.9975,N
BF,627330,0.83,0.86,0.6536,0.817,N
BF,624479,0.89,0.91,0.7781,0.8645,N
BF,626998,1.25,1.25,0.95,1.1875,N
BF,627160,1.8,1.95,1.482,1.8525,N
BF,592593,2.28,2.3,1.748,2.185,N
BF,671538,2.27,2.43,1.8468,2.3085,N
BF,642941,1.75,1.84,1.3984,1.748,P
BF,476956,4.32,4.55,3.458,4.3225,P
BF,476963,6.5,6.25,4.75,5.9375,P
BF,476955,1.76,1.85,1.406,1.7575,P
BF,476954,2.85,3,2.28,2.85,P
BF,665371,1.12,1.22,1.0431,1.159,N
BF,285368,2.74,2.87,2.1812,2.7265,N
BF,405018,3.03,3.7,3.1635,3.515,N
BF,405039,3.06,3.7,3.3393,3.515,N
BF,405069,3.08,3.7,3.515,3.515,N
BF,625681,2.32,3.51,2.6676,3.3345,N
BF,518938,0.76,0.8,0.76,0.76,N
BF,311168,1.9,1.99,1.5124,1.8905,N
BF,311166,1.19,1.24,0.9424,1.178,N
BF,306216,4.24,4.47,3.3972,4.2465,P
BF,306217,6.11,6.28,4.7728,5.966,P
BF,306218,8.12,8.34,6.3384,7.923,P
BF,306219,9.34,9.6,7.296,9.12,P
BF,291024,3.78,3.82,3.438,3.629,N
BF,239907,1.31,1.46,1.1096,1.387,N
BF,292174,2.31,2.5,1.9,2.375,N
BF,436433,1.49,1.72,1.3072,1.634,N
BF,214082,1.89,1.93,1.6502,1.8335,N
BF,346666,1.81,1.85,1.406,1.7575,N
BF,592685,2.44,2.58,2.0834,2.451,N
BF,592684,1.23,1.34,1.2094,1.273,N
BF,289137,4.49,4.93,3.7468,4.6835,N
BF,289138,1.02,1.07,0.8132,1.0165,N
BF,592705,2.68,3.02,2.869,2.869,N
BF,609071,1.24,1.31,0.9956,1.2445,N
BF,671597,1.55,1.67,1.2692,1.5865,N
BF,264980,4.65,8.01,6.0876,7.6095,N
BF,311122,2.29,2.59,1.9684,2.4605,N
BF,632425,4.53,4.5,3.42,4.275,P
BF,298689,6.18,6.49,4.9324,6.1655,P
BF,374872,7.1,7.12,5.4112,6.764,P
BF,298691,7.4,7.53,5.7228,7.1535,P
BF,298693,4.41,4.31,3.2756,4.0945,P
BF,628390,6.7,7.1,5.396,6.745,P
BF,628389,6.87,7.08,5.3808,6.726,P
BF,628391,3.34,3.48,2.6448,3.306,P
BF,222428,16.83,18.72,14.2272,17.784,N
BF,639164,1.85,1.91,1.4516,1.8145,P
BF,540717,1.35,1.44,1.0944,1.368,P
BF,172136,33.55,35.37,31.9215,33.6015,P
BF,671609,2.61,2.7,2.052,2.565,P
BF,639608,1.51,1.57,1.1932,1.4915,P
BF,624622,3.85,3.97,3.0172,3.7715,P
BF,571696,13,13.57,10.3132,12.8915,N
BF,187750,2.67,2.81,2.1356,2.6695,P
BF,187747,4.11,4.41,3.3516,4.1895,P
BF,479387,1.44,1.52,1.1552,1.444,N
BF,479530,1.63,1.67,1.2692,1.5865,N
BF,323470,2.6,2.74,2.0824,2.603,N
BF,323473,1.23,0.92,0.874,0.874,N
BF,408003,5.45,5.74,4.3624,5.453,N
BF,624775,3.52,3.7,2.812,3.515,P
BF,624774,3.48,3.66,2.7816,3.477,P
BF,298698,6.52,6.86,5.2136,6.517,N
BF,636827,2.61,2.44,1.8544,2.318,N
BF,298711,3.26,3.43,2.6068,3.2585,N
BF,694156,12.35,10.2,7.752,9.69,P
BF,39171,12.35,10.2,7.752,9.69,P
BF,310637,8.78,7.75,5.89,7.3625,P
BF,413689,45.8,58,44.08,55.1,N
BF,414074,106.4,174,132.24,165.3,N
BF,671637,2.97,3.16,2.4016,3.002,P
BF,671639,6.17,6.49,4.9324,6.1655,P
BF,269069,1.82,1.97,1.4972,1.8715,N
BF,489540,1.54,1.62,1.2312,1.539,N
BF,489541,0.93,0.98,0.7448,0.931,N
BF,666655,13.3,14,10.64,13.3,P
BF,679231,6.65,7,5.32,6.65,P
BF,666654,8.08,8.5,6.46,8.075,P
BF,666653,11.64,12.25,9.31,11.6375,P
BF,646799,5.38,5.7,4.332,5.415,N
BF,168279,5.38,5.7,4.332,5.415,N
BF,545747,18.42,18.38,13.9688,17.461,N
BF,476947,0.46,0.5,0.38,0.475,P
BF,476957,2.85,3,2.28,2.85,P
BF,477825,2.31,2.21,1.6796,2.0995,N
BF,624773,5.45,5.74,4.3624,5.453,N
BF,635403,2.68,3.02,2.869,2.869,N
BF,662889,3.91,4.12,3.1312,3.914,P
BF,663983,0.82,0.86,0.6536,0.817,N
BF,663986,1.15,1.26,0.9576,1.197,N
BF,663987,0.7,0.77,0.5852,0.7315,N
BF,663996,15.93,17.51,14.9711,16.6345,P
BF,663998,2.43,2.51,1.9076,2.3845,P
BF,663992,2.02,4.11,1.5827,3.9045,P
BF,639628,6.01,6.31,4.7956,5.9945,N
BF,635403,2.68,3.02,2.869,2.869,N
BI,268012,2.91,3.06,2.3256,2.907,N
BI,268013,4.36,4.59,3.4884,4.3605,N
BI,268014,5.7,6,4.56,5.7,N
BI,268015,9.2,9.7,7.372,9.215,N
BI,281498,1.02,1.04,0.7904,0.988,N
BI,298801,1.96,2.46,1.9865,2.337,N
BI,281499,1.07,1.35,1.026,1.2825,N
BI,281500,1.31,1.66,1.2616,1.577,N
BI,551042,5.46,5.64,4.2864,5.358,N
BI,551043,2.71,2.85,2.166,2.7075,N
BI,554510,7.4,7.97,6.0572,7.5715,N
BI,305479,1.39,1.45,1.102,1.3775,N
BI,630791,6.5,7.45,5.662,7.0775,N
BI,624625,2.31,2.39,2.2705,2.2705,N
BI,630763,5.83,5.95,5.6525,5.6525,N
BI,625765,3.66,3.89,3.3535,3.6955,N
BI,625767,3.4,3.6,3.1065,3.42,N
BI,611732,2.51,2.64,2.0064,2.508,N
BI,627331,0.93,0.99,0.7524,0.9405,N
BI,627329,0.85,0.9,0.684,0.855,N
BI,627332,0.93,0.99,0.7524,0.9405,N
BI,627328,0.85,0.9,0.684,0.855,N
BI,624480,0.87,0.9,0.684,0.855,N
BI,627314,0.93,0.99,0.7524,0.9405,N
BI,627327,0.85,0.9,0.684,0.855,N
BI,626997,0.92,0.99,0.7524,0.9405,N
BI,626630,1,1.28,1.1552,1.216,N
BI,627330,0.83,0.86,0.6536,0.817,N
BI,624479,0.89,0.91,0.7781,0.8645,N
BI,626998,1.25,1.3,0.988,1.235,N
BI,627160,1.8,1.95,1.482,1.8525,N
BI,664051,2.37,3.18,2.4168,3.021,N
BI,67933,53.93,57.17,43.4492,54.3115,N
BI,678014,1.73,1.8,1.539,1.71,N
BI,642941,1.75,1.84,1.3984,1.748,N
BI,665371,1.12,1.22,1.0431,1.159,N
BI,646872,5.28,6.5,5.8663,6.175,N
BI,297260,5.28,6.5,5.8663,6.175,N
BI,285368,2.74,2.87,2.1812,2.7265,N
BI,625681,2.32,3.51,2.6676,3.3345,N
BI,311168,1.9,1.99,1.5124,1.8905,N
BI,311166,1.19,1.24,0.9424,1.178,N
BI,293665,2.51,2.55,2.0592,2.4225,N
BI,306216,4.24,4.47,3.3972,4.2465,N
BI,306217,6.11,6.28,4.7728,5.966,N
BI,306218,8.12,8.34,6.3384,7.923,N
BI,306219,9.34,9.6,7.296,9.12,N
BI,291024,3.78,6.15,5.2583,5.8425,N
BI,239907,1.31,1.61,1.2236,1.5295,N
BI,436433,1.49,1.57,1.1932,1.4915,N
BI,289137,4.49,4.3,3.268,4.085,N
BI,289138,1.02,1.07,0.8132,1.0165,N
BI,287552,4.76,4.93,3.7468,4.6835,N
BI,287550,1.25,1.3,0.988,1.235,N
BI,632425,4.53,4.95,3.762,4.7025,N
BI,298689,6.18,6.49,4.9324,6.1655,N
BI,298691,7.4,7.53,5.7228,7.1535,N
BI,298693,4.41,4.31,3.2756,4.0945,N
BI,628390,6.7,7.1,5.396,6.745,N
BI,628389,6.87,7.08,5.3808,6.726,N
BI,628391,3.34,3.48,2.6448,3.306,N
BI,639164,1.85,1.91,1.4516,1.8145,N
BI,540717,1.35,1.44,1.0944,1.368,N
BI,172136,33.55,35.37,31.9215,33.6015,N
BI,671609,2.61,2.7,2.052,2.565,N
BI,639608,1.51,1.57,1.1932,1.4915,N
BI,624622,3.85,3.97,3.0172,3.7715,N
BI,187750,2.67,2.81,2.1356,2.6695,N
BI,187747,4.11,4.41,3.3516,4.1895,N
BI,479387,1.44,1.52,1.1552,1.444,N
BI,479530,1.63,1.67,1.2692,1.5865,N
BI,323473,1.23,2.4,1.824,2.28,N
BI,624775,3.52,3.7,2.812,3.515,N
BI,624774,3.48,3.66,2.7816,3.477,N
BI,298698,6.52,6.86,5.2136,6.517,N
BI,269069,1.82,1.97,1.4972,1.8715,N
BI,666655,13.3,14,10.64,13.3,N
BI,679231,6.65,7,5.32,6.65,N
BI,666654,8.08,8.5,6.46,8.075,N
BI,666653,11.64,12.25,9.31,11.6375,N
BI,627062,5.72,6,5.7,5.7,N
BI,477825,2.31,2.61,1.9836,2.4795,N
BI,662889,3.91,4.12,3.1312,3.914,N
BI,663983,0.82,0.86,0.6536,0.817,N
BI,663984,1.88,1.94,1.4744,1.843,N
BI,663985,1.53,1.68,1.2768,1.596,N
BI,663986,1.15,1.26,0.9576,1.197,N
BI,663987,0.7,0.77,0.5852,0.7315,N
BI,663981,0.86,1.11,0.8436,1.0545,N
BI,663996,15.93,17.51,14.9711,16.6345,N
BI,663995,9.87,9.99,9.4905,9.4905,N
BI,663998,2.43,2.63,1.9988,2.4985,N
CM,476712,1.9,2,1.52,1.9,Yes
CM,554523,7.4,7.97,6.4358,7.5715,Yes
CM,664051,2.37,3.34,2.6971,3.173,Yes
CM,671563,1.89,1.95,1.5747,1.8525,Yes
CM,671568,2.33,2.31,1.8654,2.1945,Yes
CM,632425,4.53,4.95,3.9972,4.7025,Yes
CM,698117,3.09,3.5,0.82,3.325,Yes
CM,624775,3.52,3.7,2.812,3.515,Yes
CM,694156,12.35,15,8,14.25,Yes
CM,627667,6.18,6.5,5.2488,6.175,Yes
CM,627060,6.65,7,5.6525,6.65,Yes
CM,627061,3.81,4,3.23,3.8,Yes
CM,627062,5.72,6,4.845,5.7,Yes
CM,646799,5.38,5.7,4.6028,5.415,Yes
CM,476947,0.46,0.55,0.4038,0.5225,Yes
CM,268012,2.91,3.06,2.471,2.907,Yes
CM,268013,4.36,4.59,3.7065,4.3605,Yes
CM,268014,5.7,6,4.845,5.7,Yes
CM,268015,9.2,9.7,7.8328,9.215,Yes
CM,307013,5.22,5.9,4.7643,5.605,Yes
CM,321233,4.77,4.94,3.9891,4.693,Yes
CM,475982,0.76,0.8,0.76,0.76,Yes
CM,475871,0.95,1, -     ,0.95,Yes
CM,539185,13.29,14.5, -     ,13.775,Yes
CM,539183,12.94,14, -     ,13.3,Yes
CM,539181,14.94,16, -     ,15.2,Yes
CM,539182,14.03,15, -     ,14.25,Yes
CM,196680,12.75,13.67, -     ,12.9865,Yes
CM,196681,13.52,14.4, -     ,13.68,Yes
CM,281498,1.02,1.04, -     ,0.988,Yes
CM,298801,1.96,2.03, -     ,1.9285,Yes
CM,281499,1.07,1.11, -     ,1.0545,Yes
CM,281500,1.31,1.37, -     ,1.3015,Yes
CM,354883,0.94,1, -     ,0.95,Yes
CM,475991,1.01,1.05, -     ,0.9975,Yes
CM,679090,1.37,1.5, -     ,1.425,Yes
CM,636858,2.87,3, -     ,2.85,Yes
CM,551042,5.46,5.92, -     ,5.624,Yes
CM,551043,2.71,2.85, -     ,2.7075,Yes
CM,247831,12.88,13.87, -     ,13.1765,Yes
CM,247832,14.05,14.4, -     ,13.68,Yes
CM,628074,1.42,1.52, -     ,1.444,Yes
CM,323487,2.28,2.4, -     ,2.28,Yes
CM,298682,1.3,1.37, -     ,1.3015,Yes
CM,320343,2.91,3.06, -     ,2.907,Yes
CM,320344,5.2,5.65, -     ,5.3675,Yes
CM,305481,5.86,6.05, -     ,5.7475,Yes
CM,305479,1.39,1.45, -     ,1.3775,Yes
CM,630791,6.5,7.45, -     ,7.0775,Yes
CM,624625,2.31,2.39, -     ,2.2705,Yes
CM,630763,5.83,5.95, -     ,5.6525,Yes
CM,625765,3.66,3.89, -     ,3.6955,Yes
CM,625767,3.4,3.6, -     ,3.42,Yes
CM,240939,5.04,5.31, -     ,5.0445,Yes
CM,611732,2.51,2.64, -     ,2.508,Yes
CM,627331,0.93,0.99, -     ,0.9405,Yes
CM,627329,0.85,0.9, -     ,0.855,Yes
CM,627332,0.93,0.99, -     ,0.9405,Yes
CM,627328,0.85,0.9, -     ,0.855,Yes
CM,624480,0.87,0.9, -     ,0.855,Yes
CM,627314,0.93,0.99, -     ,0.9405,Yes
CM,627327,0.85,0.9, -     ,0.855,Yes
CM,626997,0.92,0.99, -     ,0.9405,Yes
CM,627326,0.85,0.9, -     ,0.855,Yes
CM,626630,1,1.05, -     ,0.9975,Yes
CM,627330,0.83,0.86, -     ,0.817,Yes
CM,624479,0.89,0.91, -     ,0.8645,Yes
CM,626998,1.25,1.3, -     ,1.235,Yes
CM,627160,1.8,1.95, -     ,1.8525,Yes
CM,528888,2.42,2.54, -     ,2.413,Yes
CM,592593,2.28,2.3, -     ,2.185,Yes
CM,671538,2.27,2.43, -     ,2.3085,Yes
CM,541078,3.56,3.73, -     ,3.5435,Yes
CM,224938,2.57,2.7, -     ,2.565,Yes
CM,67933,53.93,57.17, -     ,54.3115,Yes
CM,678014,1.73,1.89, -     ,1.7955,Yes
CM,642941,1.75,1.84, -     ,1.748,Yes
CM,476956,4.32,4.55, -     ,4.3225,Yes
CM,476963,6.5,6.25, -     ,5.9375,Yes
CM,476955,1.76,1.85, -     ,1.7575,Yes
CM,476957,2.85,3, -     ,2.85,Yes
CM,476954,2.85,3, -     ,2.85,Yes
CM,665371,1.12,1.16, -     ,1.102,Yes
CM,285368,2.74,2.87, -     ,2.7265,Yes
CM,698115,0.81,0.85, -     ,0.8075,Yes
CM,684820,34.85,36.68, -     ,34.846,Yes
CM,625681,2.32,3.33, -     ,3.1635,Yes
CM,518938,0.76,0.45, -     ,0.4275,Yes
CM,311168,1.9,1.99, -     ,1.8905,Yes
CM,311166,1.19,1.29, -     ,1.2255,Yes
CM,293665,2.51,3.06, -     ,2.907,Yes
CM,306216,4.24,4.97, -     ,4.7215,Yes
CM,306217,6.11,6.87, -     ,6.5265,Yes
CM,306218,8.12,9.27, -     ,8.8065,Yes
CM,306219,9.34,10.67, -     ,10.1365,Yes
CM,239907,1.31,1.4, -     ,1.33,Yes
CM,292174,2.31,2.5, -     ,2.375,Yes
CM,436433,1.49,1.65, -     ,1.5675,Yes
CM,224948,1.45,1.45, -     ,1.3775,Yes
CM,214082,1.89,1.93, -     ,1.8335,Yes
CM,346666,1.81,1.85, -     ,1.7575,Yes
CM,245296,2.54,2.61, -     ,2.4795,Yes
CM,592685,2.44,2.58, -     ,2.451,Yes
CM,592684,1.23,1.34, -     ,1.273,Yes
CM,289137,4.49,4.93, -     ,4.6835,Yes
CM,289138,1.02,1.07, -     ,1.0165,Yes
CM,287552,4.76,4.93, -     ,4.6835,Yes
CM,287550,1.25,1.3, -     ,1.235,Yes
CM,287553,2.46,2.6, -     ,2.47,Yes
CM,592705,2.68,2.93, -     ,2.7835,Yes
CM,609071,1.24,1.38, -     ,1.311,Yes
CM,671597,1.55,1.62, -     ,1.539,Yes
CM,298689,6.18,6.49, -     ,6.1655,Yes
CM,374872,7.1,7.5, -     ,7.125,Yes
CM,298691,7.4,7.53, -     ,7.1535,Yes
CM,298693,4.41,4.31, -     ,4.0945,Yes
CM,628390,6.7,7.1, -     ,6.745,Yes
CM,628389,6.87,7.08, -     ,6.726,Yes
CM,628391,3.34,3.48, -     ,3.306,Yes
CM,222428,16.83,13.86, -     ,13.167,Yes
CM,639164,1.85,2.01, -     ,1.9095,Yes
CM,540717,1.35,1.44, -     ,1.368,Yes
CM,639608,1.51,1.65, -     ,1.5675,Yes
CM,624622,3.85,4.17, -     ,3.9615,Yes
CM,187750,2.67,2.81, -     ,2.6695,Yes
CM,187747,4.11,4.41, -     ,4.1895,Yes
CM,479387,1.44,1.52, -     ,1.444,Yes
CM,479530,1.63,1.67, -     ,1.5865,Yes
CM,323470,2.6,2.74, -     ,2.603,Yes
CM,323473,1.23,1.2, -     ,1.14,Yes
CM,408003,5.45,5.74, -     ,5.453,Yes
CM,624773,5.45,5.74, -     ,5.453,Yes
CM,624774,3.48,3.84, -     ,3.648,Yes
CM,298698,6.52,6.86, -     ,6.517,Yes
CM,636827,2.61,2.44, -     ,2.318,Yes
CM,298711,3.26,3.43, -     ,3.2585,Yes
CM,39171,12.35,15, -     ,14.25,Yes
CM,310637,8.78,10, -     ,9.5,Yes
CM,413689,45.8,35, -     ,33.25,Yes
CM,414074,106.4,87, -     ,82.65,Yes
CM,671637,2.97,3.16, -     ,3.002,Yes
CM,671639,6.17,6.49, -     ,6.1655,Yes
CM,269069,1.82,1.97, -     ,1.8715,Yes
CM,489540,1.54,1.62, -     ,1.539,Yes
