sanofi_gmid,mercafar_gmid,bu,franchise,name,family,brand,promotion,unified_price
245298,,Rx,PC,CORDARONE 150MG/3ML INJ AM6 S3 M24 XD,CORDARONE,CORDARONE,,4.18
554510,,Rx,PC,CORDARONE 200MG TAB BL2X15 M36 XD,CORDARONE,CORDARONE,,7.4
554523,,Rx,PC,CORDARONE 200MG TAB BL2X15 M24 XD,CORDARONE,CORDARONE,,7.4
323487,,Rx,PC,CORTANCYL 20MG TAB BL2X10 SWI M36 XE,PREDNISONE,CORTANCYL,,2.28
298682,,Rx,PC,CORTANCYL 5MG TAB BL30 SWI M36 XE,PREDNISONE,CORTANCYL,,1.3
320343,,Rx,NCD,CORVASAL 2MG TAB BL2X15 S3 M36 XD,MOLSIDOMINE,CORVASAL,,2.91
320344,,Rx,NCD,CORVASAL 4MG TAB BL2X15 S3 M24 XD,MOLSIDOMINE,CORVASAL,,5.2
305481,,Rx,NCD,DAONIL 5MG TAB BL10X10 SWI M24 XE,GLIBENCLAMIDE T,DAONIL,,5.86
141662,,Rx,NCD,DAONIL 5MG TAB BL10X10 EX,GLIBENCLAMIDE T,DAONIL,,7.6
305479,,Rx,NCD,DAONIL 5MG TAB BL20 SWI M24 XE,GLIBENCLAMIDE T,DAONIL,,1.39
371243,,Rx,NCD,EPILIM 12G/300ML SYR BT1 M36 XE,DEPAKINE,EPILIM,,6.16
624625,,Rx,NCD,DEPAKINE 200MG TABEC TB40 ICRA M36 X1,DEPAKINE,DEPAKINE,,2.31
625767,,Rx,NCD,DEPAKINE 8G/40ML SOL BT1 ICRA M36 XD,DEPAKINE,DEPAKINE,,3.4
630763,,Rx,NCD,DEPAKINE 500MG TABEC TB40 M36 XD,DEPAKINE,DEPAKINE,,5.83
625765,,Rx,NCD,DEPAKINE 8.65G/+ SYR BT1 ICRA M36 XD,DEPAKINE,DEPAKINE,,3.66
630791,,Rx,NCD,DEPAK CHRO500 333-145MG TABCR TB30 XD,DEPAKINE,DEPAK CHRO500,,6.5
487907,,Rx,,DETURGYLONE 17.8MG/+ NASSP IN1 S4 M36 XE,DETURGYLONE,DETURGYLONE,,1.83
240939,,Rx,PC,DITROPAN 5MG TAB BL2X30 M36 XD,DITROPAN,DITROPAN,,5.04
611732,,Rx,PC,DOGMATIL 50MG CAP BL30 M36 XE,SULPIRIDE,DOGMATIL,,2.51
663982,,CHC,CHC,DOLIPRANETABS 1G TAB BL2X4 EX,DOLIPRANE,DOLIPRANETABS,,0.77
624480,,CHC,CHC,DOLIPRANE 1G TABEF TB8 NDSI M36 XD,DOLIPRANE,DOLIPRANE,,0.87
627331,,CHC,CHC,DOLIPRANE 100MG POWD SC12 NDSI XD,DOLIPRANE,DOLIPRANE,,0.93
443925,,CHC,CHC,DOLIPRANE 1G POWD SC8 NF FR,DOLIPRANE,DOLIPRANE,,0.95
627329,,CHC,CHC,DOLIPRANE 100MG SUP BL2X5 NDSI M36 XD,DOLIPRANE,DOLIPRANE,,0.85
627332,,CHC,CHC,DOLIPRANE 150MG POWD SC12 NDSI XD,DOLIPRANE,DOLIPRANE,,0.93
627328,,CHC,CHC,DOLIPRANE 150MG SUP BL2X5 NDSI M36 XD,DOLIPRANE,DOLIPRANE,,0.85
663981,,CHC,CHC,DOLIPRANE 1.44G/60ML SYR BT1 M24 X EX,DOLIPRANE,DOLIPRANE,,0.86
663988,,CHC,CHC,DOLIPRANE 2.16G/90ML SYR BT1 X EX,DOLIPRANE,DOLIPRANE,,0.9
627314,,CHC,CHC,DOLIPRANE 200MG POWD SC12 NDSI XD,DOLIPRANE,DOLIPRANE,,0.93
627327,,CHC,CHC,DOLIPRANE 200MG SUP BL2X5 NDSI M36 XD,DOLIPRANE,DOLIPRANE,,0.85
626997,,CHC,CHC,DOLIPRANE 300MG POWD SC12 NDSI XD,DOLIPRANE,DOLIPRANE,,0.92
627326,,CHC,CHC,DOLIPRANE 300MG SUP BL2X5 NDSI M36 XD,DOLIPRANE,DOLIPRANE,,0.85
663983,,CHC,CHC,DOLIPRANETABS 500MG TAB BL2X8 X EX,DOLIPRANE,DOLIPRANETABS,,0.82
624479,,CHC,CHC,DOLIPRANE 500MG TABEF TB2X8 NDSI M36 XD,DOLIPRANE,DOLIPRANE,,0.89
627330,,CHC,CHC,DOLIPRANE 500MG POWD SC12 NDSI M24 XD,DOLIPRANE,DOLIPRANE,,0.83
626630,,CHC,CHC,DOLIPRANE VIT C 500-150MG TABEF TB16 XD,DOLIPRANE,DOLIPRANE VIT C,,1
324267,,CHC,CHC,DOLIPREX 500MG+ POWD SC8 EX,DOLIPRANE,DOLIPREX,,1.25
627160,,CHC,CHC,DOLIRHUME 500-30MG TAB BL2X8 NDSI M36 XD,DOLIRHUME T,DOLIRHUME,,1.8
693896,,CHC,CHC,DULCOLAX 5MG TABSC BL3X10 M36 XD,DULCOLAX T,DULCOLAX,,1.52
476664,,CHC,CHC,DYMOL 50-500MG TABEC BL10 M36 MG,DICLOFENAC,DYMOL,,0.26
370351,,Rx,NCD,ELOXATIN 50MG/10ML INJ VL1 M24 XE,ELOXATINE,ELOXATIN,,74.76
528888,,CHC,CHC,ENTEROGERMINA 2BCFU/5ML SUSP BT10 S3 XD,ENTEROGERMINA,ENTEROGERMINA,,2.42
502299,,Rx,NCD,EPILIM 200MG TABEC BL10X10 S3 M36 XE,DEPAKINE,EPILIM,,8.65
641849,,Rx,NCD,EPILIM 12G/300ML SYR BT1 S4 M36 XE,DEPAKINE,EPILIM,,6.16
643215,,Rx,NCD,EPILIM CHRO 199.8-87MG TABCR BL10X10 XE,DEPAKINE,EPILIM CHRO,,13.63
643216,,Rx,NCD,EPILIM CHRO 333-145MG TABCR BL10X10 XE,DEPAKINE,EPILIM CHRO,,25.37
642931,,Rx,NCD,EPILIM 400MG/4ML INJPO VLSX1 S4 M60 XE,DEPAKINE,EPILIM,,6.68
592593,,CHC,CHC,ERCEFURYL 200MG CAP BL2X14 SAF M60 XE,NIFUROXAZIDE,ERCEFURYL,,2.28
671538,,CHC,CHC,ERCEFURYL 3.6G/90ML SOL BT1 S2 EX,NIFUROXAZIDE,ERCEFURYL,,2.27
224938,,Rx,PC,EXACYL 1G/10ML SOL AM5 S3 M60 XE,EXACYL,EXACYL,,2.57
541078,,Rx,PC,EXACYL 500MG TAB BL20 S3 XE,EXACYL,EXACYL,,3.56
664051,,Rx,PC,FLAGENTYL 500MG TABCO BL4 S4 M49 XD,SECNIDAZOLE,FLAGENTYL,,2.37
664047,,Rx,PC,FLAGENTYL 500MG TABCO BL4 XE,SECNIDAZOLE,FLAGENTYL,,2.72
645815,,Rx,PC,FLAGYL 200MG/5ML SUSP BT1 M24 ZA,METRONIDAZOLE T,FLAGYL,,2.28
67294,,Rx,PC,FLAGYL 500MG/+ LIQ BT1 ZA,METRONIDAZOLE T,FLAGYL,,1.05
354890,,Rx,PC,FLAGYL 125MG/5ML SUSP BT1 S3 M24 XD,METRONIDAZOLE T,FLAGYL,,1.73
663984,,Rx,PC,FLAGYL 250MG TAB BL2X10 X EX,METRONIDAZOLE T,FLAGYL,,1.88
645817,,Rx,PC,FLAGYL 400MG TAB BT100 M24 ZA,METRONIDAZOLE T,FLAGYL,,3.66
663985,,Rx,PC,FLAGYL 500MG TAB BL14 X EX,METRONIDAZOLE T,FLAGYL,,1.53
342280,,Rx,PC,FLAGYL 500MG PESSA BL2X5 S3 M36 XD,METRONIDAZOLE T,FLAGYL,,1.75
476963,,Rx,PC,FLEMING 1G-200MG INJPO VL5 M24 EX,CO AMOXICLAV,FLEMING,,6.5
476043,,Rx,PC,FLEMING 875-125MG TABCO BL2X7 M24 EX,CO AMOXICLAV,FLEMING,,3.31
476006,,Rx,PC,FLEMING 500-100MG INJPO VL10 M24 NG,CO AMOXICLAV,FLEMING,,0
476956,,Rx,PC,FLEMING 1G-125MG TABCO BL2X8 M24 EX,CO AMOXICLAV,FLEMING,,4.32
476009,,Rx,PC,FLEMING 228.5MG/+ SUSP BT1 M24 EX,CO AMOXICLAV,FLEMING,,1.17
476955,,Rx,PC,FLEMING 3G/+ POWD BT1 M24 EX,CO AMOXICLAV,FLEMING,,1.76
477034,,Rx,PC,FLEMING 457MG/5ML SUSP BT1 M24 KE,CO AMOXICLAV,FLEMING,,1.9
477015,,Rx,PC,FLEMING 500-125MG TABCO BL2X7 M24 EX,CO AMOXICLAV,FLEMING,,1.23
476954,,Rx,PC,FLEMING 6G/+ POWD BT1 M24 EX,CO AMOXICLAV,FLEMING,,2.85
476957,,Rx,PC,FLEMING 500-62.5MG TABCO BL2X8 M24 EX,CO AMOXICLAV,FLEMING,,2.85
663986,,Rx,PC,GARDENAL 100MG TAB BL2X10 X EX,PHENOBARBITAL,GARDENAL,,1.15
665371,,Rx,PC,GARDENAL 10MG TAB BL4X20 S3 M60 XE,PHENOBARBITAL,GARDENAL,,1.12
297260,,Rx,PC,GARDENAL 40MG SUBLY VLSX1 SWI M36 XD,PHENOBARBITAL,GARDENAL,,5.28
663987,,Rx,PC,GARDENAL 50MG TAB BL3X10 X EX,PHENOBARBITAL,GARDENAL,,0.7
390465,,CHC,CHC,LACTACYD 120ML LIQSO BT1 XD,LACTACYD,LACTACYD,,1.89
285368,,Rx,NCD,HEMI-DAONIL 2.5MG TAB BL3X20 SWI M24 XE,GLIBENCLAMIDE T,HEMI-DAONIL,,2.74
638521,,Rx,NCD,HEPT-A-MYL 187.8MG TAB BL2X10 S3 M60 XE,HEPTAMYL,HEPT-A-MYL,,1.16
390470,,CHC,CHC,LACTACYD 200ML LIQSO BT1 XD,LACTACYD,LACTACYD,,2.33
264456,,Rx,NCD,LANTUS 300IU/3ML INJ SOLO5 M24 ZA,LANTUS,LANTUS,,0
476933,,CHC,CHC,IBEX 200MG+ CAPEM BL2X12 M36 EX,PARACETAMOL COMBO,IBEX,,0.81
298685,,Rx,PC,IMOVANE 7.5MG TABCO BL20 SWI M36 XE,IMOVANE,IMOVANE,,3.23
296593,,Rx,NCD,LASIX 20MG/2ML INJ AM5 S3 M60 XE,LASIX,LASIX,,2.64
405018,,Rx,NCD,INSUMAN BAS 1KIU/10ML INJSU VL1 S3 XE,INSUMAN,INSUMAN BAS,,3.03
405039,,Rx,NCD,INSUMAN C30 1KIU/10ML INJSU VL1 S3 XE,INSUMAN,INSUMAN C30,,3.06
415360,,Rx,NCD,INSUMAN C30 300IU/3ML INJSU CRT5 M24 XE,INSUMAN,INSUMAN C30,,8.2
405069,,Rx,NCD,INSUMAN RAP 1KIU/10ML INJ VL1 S3 M24 XE,INSUMAN,INSUMAN RAP,,3.08
305478,,Rx,NCD,LASIX 40MG TAB BL2X10 SWI M60 XE,LASIX,LASIX,,3.12
481580,,Rx,,LOTIN 10MG TABCO BL10X10 M36 KE,LORATADINE,LOTIN,,0
671568,,CHC,CHC,LACTACYD 200ML LIQSO BT1 XD,LACTACYD,LACTACYD,,2.33
615926,,Rx,NCD,LANTUS 1KIU/10ML INJ VL1 ICRA M36 XE,LANTUS,LANTUS,,20.91
241634,,Rx,NCD,LANTUS 300IU/3ML INJ CRT5 S3 M36 XE,LANTUS,LANTUS,,34.3
380554,,Rx,NCD,LANTUS 300IU/3ML INJ SOLO5 PED M36 XN,LANTUS,LANTUS,,35.47
615902,,Rx,NCD,LANTUS 300IU/3ML INJ SOLO5 ICRA M36 XE,LANTUS,LANTUS,,35.47
381782,,Rx,NCD,LANTUS 300IU/3ML INJ SOLO5 S3RM M36 XD,LANTUS,LANTUS,,34.85
625681,,Rx,PC,LARGACTIL 100MG TABCO BL3X10 M36 XD,CHLORPROMAZINE,LARGACTIL,,2.32
311168,,Rx,NCD,LASILIX 40MG TAB BL3X10 SWI M36 XE,LASIX,LASILIX,,1.9
277954,,Rx,NCD,LASILIX 20MG/2ML INJ AM1 S3 M60 XE,LASIX,LASILIX,,0.76
311166,,Rx,NCD,LASILIX FAIBLE 20MG TAB BL2X15 SWI XE,LASIX,LASILIX FAIBLE,,1.19
293665,,Rx,NCD,LASILIX RETARD 60MG CAP TB30 M24 XE,LASIX,LASILIX RETARD,,2.51
518946,,Rx,NCD,LASIX 20MG/2ML INJ AM5 XE,LASIX,LASIX,,2.64
505579,,Rx,NCD,LASIX 40MG TAB BL2X10 M36 XE,LASIX,LASIX,,3.12
667138,,Rx,PC,LIPANOR 100MG CAP BL3X10 S4 M36 XD,LIPANOR,LIPANOR,,4.55
506704,,CHC,CHC,MAALOX 36G/+ SUSP BT1 XE,MAALOX,MAALOX,,2.41
306216,,Rx,NCD,LOVENOX 2KIU/0.2ML INJ PS2 SWI M24 XE,LOVENOX,LOVENOX,,4.24
306217,,Rx,NCD,LOVENOX 4KIU/0.4ML INJ PS2 SWI M24 XE,LOVENOX,LOVENOX,,6.11
306218,,Rx,NCD,LOVENOX 6KIU/0.6ML INJ PS2 SWI M24 XE,LOVENOX,LOVENOX,,8.12
306219,,Rx,NCD,LOVENOX 8KIU/0.8ML INJ PS2 SWI M24 XE,LOVENOX,LOVENOX,,9.34
506739,,CHC,CHC,MAALOX 84G/+ SUSP BT1 XE,MAALOX,MAALOX,,2.71
291024,,CHC,CHC,MAALOX 600MG/+ SUSP SC30 S3 M36 XD,MAALOX,MAALOX,,3.78
292174,,CHC,CHC,MAALOX 460MG/+ SUSP SC20 S3 M36 XE,MAALOX,MAALOX,,2.31
436433,,CHC,CHC,MAALOX 400-400MG TABCW BL4X10 S3 M60 XE,MAALOX,MAALOX,,1.49
250800,,CHC,CHC,MAALOX PLUS 15.975G/+ SUSP BT1 S3 M36 XD,MAALOX,MAALOX PLUS,,2
436418,,CHC,CHC,MAALOX PLUS 200MG+ TABCW BL4X10 S3 XD,MAALOX,MAALOX PLUS,,1.81
507364,,CHC,CHC,MAALOX PLUS 84G/+ SUSP BT1 XE,MAALOX,MAALOX PLUS,,3.25
506742,,CHC,CHC,MAALOX PLUS 12G/+ SUSP BT1 XE,MAALOX,MAALOX PLUS,,2.45
338199,,CHC,CHC,MAALOX PLUS 200MG+ TAB BL10 ZA,MAALOX,MAALOX PLUS,,1.21
239907,,CHC,CHC,MAALOX 8.75G/+ SUSP BT1 S3 M36 XE,MAALOX,MAALOX,,1.31
214082,,CHC,CHC,MAGNE B6 470-5MG TABSC BL5X10 S3 M24 XE,MAGNESIUM,MAGNE B6,,1.89
346666,,CHC,CHC,MAXILASE 25KIU/+ SYR BT1 SAF M18 XM,MAXILASE,MAXILASE,,1.81
245296,,CHC,CHC,MAXILASE 3KIU TABSC BL2X12 S3 M24 XD,MAXILASE,MAXILASE,,2.54
476941,,CHC,CHC,MEDVITE GOLD VITA TABCO BL3X10 M36 EX,VITAMINS,MEDVITE GOLD,,1.9
592685,,CHC,CHC,MITOSYL 40G/150G+ CREAM TB1 S3 M36 XE,MITOSYL,MITOSYL,,2.44
592684,,CHC,CHC,MITOSYL 20-27G/65G CREAM TB1 S3 M36 XE,MITOSYL,MITOSYL,,1.23
213714,,Rx,NCD,MONO-TILDIEM 200MG CAP BL2X14 S3 M36 XE,TILDIEM,MONO-TILDIEM,,10.71
213711,,Rx,NCD,MONO-TILDIEM 300MG CAP BL2X14 S3 M36 XE,TILDIEM,MONO-TILDIEM,,0
289137,,CHC,CHC,NO-SPA 40MG/2ML INJ AM25 XD,NO SPA,NO-SPA,,4.49
651777,,CHC,CHC,MUCOSOLVAN 300MG/+ SYR BT1 M36 EX,MUCOSOLVAN T,MUCOSOLVAN,,2.17
287550,,CHC,CHC,NO-SPA 40MG TAB BL2X10 S3 M36 XD,NO SPA,NO-SPA,,1.25
287552,,CHC,CHC,NO-SPA 40MG TAB BL10X10 S3 M36 XD,NO SPA,NO-SPA,,4.76
287553,,CHC,CHC,NO-SPA 80MG TAB BL2X10 S3 M36 XD,NO SPA,NO-SPA,,2.46
289138,,CHC,CHC,NO-SPA 40MG/2ML INJ AM5 XD,NO SPA,NO-SPA,,1.02
476712,,Rx,PC,NORZOL 400-600MG TABCO BL10 M36 EX,TINIDAZOLE,NORZOL,,1.9
592705,,Rx,PC,NOVALGIN 2.5G/5ML INJ AM5 S3 M60 XE,METAMIZONE T,NOVALGIN,,2.68
609071,,Rx,PC,NOVALGIN 500MG TABCO BL2X10 M36 XD,METAMIZONE T,NOVALGIN,,1.24
671597,,Rx,PC,NOVALGIN 50MG/100ML SYR BT1 EX,METAMIZONE T,NOVALGIN,,1.55
264980,,Rx,NCD,NOZINAN HCL 100MG TABCO BL2X10 S3 M60 XD,LEVOMEPROMAZINE,NOZINAN HCL,,4.65
311122,,Rx,NCD,NOZINAN 25MG TABCO BL2X10 S3 M61 XD,LEVOMEPROMAZINE,NOZINAN,,2.29
305928,,Rx,PC,OFLOCET 200MG TABCO BL10 SWI M60 XE,TARIVID,OFLOCET,,4.53
296505,,Rx,PC,OFLOCET 200MG/40ML INFLS BT1 M36 H XE,TARIVID,OFLOCET,,6.05
662889,,Rx,PC,OFLOCET 1.5MG/+ SOL UNIX20 S4 M36 XD,TARIVID,OFLOCET,,3.91
476518,,Rx,PC,OMIZEC 20MG CAPEM BL4X7 M36 EX,OMEPRAZOLE,OMIZEC,,3.09
476630,,Rx,PC,OMIZEC 40MG INJPO VL10 M36 MG,OMEPRAZOLE,OMIZEC,,10.45
298689,,Rx,PC,ORELOX 100MG TABCO BL10 SWI M36 XD,ORELOX,ORELOX,,6.18
298691,,Rx,PC,ORELOX 40MG/5ML GRAN BT1 SWI M24 XD,ORELOX,ORELOX,,7.4
374872,,Rx,PC,ORELOX 200MG TABCO BL2X5 M36 XD,ORELOX,ORELOX,,7.1
298693,,Rx,PC,ORELOX 400MG/50ML GRAN BT1 SWI M24 XE,ORELOX,ORELOX,,4.41
252039,,Rx,PC,OROKEN 100MG/5ML POWD BT1 S3 M25 XD,CEFIXIME,OROKEN,,6.7
252040,,Rx,PC,OROKEN 200MG TABCO BL8 S3 M25 XD,CEFIXIME,OROKEN,,6.87
252041,,Rx,PC,OROKEN 40MG/5ML POWD BT1 S3 M25 XD,CEFIXIME,OROKEN,,3.34
476960,,Rx,PC,ZEBEN 400MG/20ML SUSP BT1 M36 EX,ALBENDAZOLE,ZEBEN,,0.41
476714,,CHC,CHC,PARAFLAM 400-325MG TABCO BL10 M36 EX,IBUPROFEN,PARAFLAM,,0.55
653312,,CHC,CHC,GERIATRIC PHARMATON 40MG+ CAPSG BT30 NG,PHARMATON T,GERIATRIC PHARMATON,,4.81
696079,,CHC,CHC,PHARMATON KIDDI 2G/+ SYR BT1 NEAN M24 EX,PHARMATON T,PHARMATON KIDDI,,3.75
696080,,CHC,CHC,PHARMATON KIDDI 4G/+ SYR BT1 NEAN M24 EX,PHARMATON T,PHARMATON KIDDI,,4.58
222428,,Rx,NCD,PLAVIX 75MG TABCO BL2X14 M36 XE,PLAVIX,PLAVIX,,16.83
476716,,Rx,,PROXACIN 500MG TABCO BL10 M36 EX,CIPROFLOXACIN,PROXACIN,,1.77
371014,,Rx,PC,PROFEMIGR 150MG TAB BL10 M60 FR,ORUDIS,PROFEMIGR,,2
263269,,Rx,PC,PROFENID 1.5G/60G GEL TB1 M36 XE,ORUDIS,PROFENID,,1.91
249438,,Rx,PC,PROFENID 100MG TABCO BL2X15 S3 M61 XE,ORUDIS,PROFENID,,2.61
368552,,Rx,PC,PROFENID 100MG/2ML INJ AM2 S3 M36 XE,ORUDIS,PROFENID,,1.35
172136,,Rx,PC,PROFENID 100MG INJPO VL50 H FR,ORUDIS,PROFENID,,33.55
354950,,Rx,PC,PROFENID 100MG SUP BL2X6 S3 XE,ORUDIS,PROFENID,,1.85
663992,,Rx,PC,PROFENID 150MG/+ SYR BT1 X EX,ORUDIS,PROFENID,,2.02
639608,,Rx,PC,PROFENID 50MG CAP BL2X12 S4 M36 XD,ORUDIS,PROFENID,,1.51
249439,,Rx,PC,PROFENID SR 200MG TABEC BL14 S3 M37 XE,ORUDIS,PROFENID,,3.85
476715,,Rx,PC,PROMOX 500MG CAPEM BL50X10 M36 EX,AMOXICILLINE,PROMOX,,0
476997,,Rx,,REICHLOX 250MG/5ML SUSP BT1 M36 KE,PENICILLINS,REICHLOX,,0
476996,,Rx,,REICHLOX 250-250MG CAPEM 50BL10 M36 KE,PENICILLINS,REICHLOX,,27.55
258746,,Rx,,RESONIUM A 453.7G/+ POWD BT1 M60 XE,KAYEXALATE,RESONIUM,,31.92
323469,,CHC,CHC,RHINATHIOL 10G/200ML SOL BT1 M36 XM,RHINATHIOL T,RHINATHIOL,,0
323468,,CHC,CHC,RHINATHIOL 2.5G/125ML SYR BT1 SAF M61 XM,RHINATHIOL T,RHINATHIOL,,0
571696,,Rx,PC,PYOSTACINE 500MG TABCO BL2X8 NF M48 XD,PYOSTACINE,PYOSTACINE,,13
187750,,Rx,PC,QUINIMAX 125MG TABCO BT18 M36 XE,QUININE,QUINIMAX,,2.67
663995,,Rx,PC,QUINIMAX 250MG/2ML INJ AM25 X EX,QUININE,QUINIMAX,,9.87
