Month,Country,distributor,GMID,Product,Qty,Source
2,KE,surgipharm,544062,PLAVIX 75MG TAB28,384,EPDIS
2,KE,surgipharm,615902,LANTUS SOLOSTAR 100IU 3ML 5PN,1000,EPDIS
2,KE,surgipharm,615926,LANTUS 100UI VIAL 10ML 1'S,256,EPDIS
2,KE,surgipharm,627597,TRITACE 5MG TAB BL2x14,162,EPDIS
2,KE,surgipharm,641849,EPILIM 200MG/5ML SYR300ML,6000,EPDIS
2,KE,surgipharm,643215,EPILIM CHRONO 300 TAB10x10,400,EPDIS
2,KE,surgipharm,730439,EPILIM CHRONO 500 TAB 10X10,2240,EPDIS
2,KE,surgipharm,645815,FLAGYL 200MG/5ML SUSP 100ML,3000,EPDIS
2,KE,surgipharm,645819,AMARYL TABS 4MG 30'S,480,EPDIS
2,KE,surgipharm,651777,MUCOSOLVAN 1.5G/100ML SYR BT1,12000,EPDIS
2,KE,surgipharm,652574,BUSCOPAN  20MG 1ML AMP 5'S,2000,EPDIS
2,KE,surgipharm,655023,CLEXANE 4000IU/0.4ML INJ2,40000,EPDIS
2,KE,surgipharm,694156,TAVANIC 500MG  INJ 100ML,480,EPDIS
2,KE,laborex,241634,LANTUS 100 IU/ML 3 ML CR/5,120,EPDIS
2,KE,laborex,312451,RIFOCINE 250MG/3ML 1INJ,336,EPDIS
2,KE,laborex,615902,LANTUS SOLOSTAR 100IU 3ML 5PN,600,EPDIS
2,KE,laborex,615926,LANTUS 100UI VIAL 10ML 1'S,100,EPDIS
2,KE,highchem,196681,APROVEL 300MG TAB BL2x14,72,EPDIS
2,KE,highchem,508116,NO-SPA 40MG/2ML INJ AMP/25,40,EPDIS
2,KE,highchem,374872,ORELOX 200MG FILM COATED TAB10,900,EPDIS
2,KE,highchem,477015,FLEMING 500-125MG TAB BL2X7,660,EPDIS
2,KE,highchem,627597,TRITACE 5MG TAB BL2x14,270,EPDIS
2,KE,highchem,645819,AMARYL TABS 4MG 30'S,320,EPDIS
2,KE,highchem,664051,FLAGENTYL 500MG TAB4,2000,EPDIS
3,KE,surgipharm,196680,APROVEL 150MG TAB BL2x14,360,EPDIS
3,KE,surgipharm,196681,APROVEL 300MG TAB BL2x14,720,EPDIS
3,KE,surgipharm,514930,"CO-APROVEL 150/12,5MG TAB28",432,EPDIS
3,KE,surgipharm,287550,NO - SPA 40MG TAB BL2x10,320,EPDIS
3,KE,surgipharm,287552,NO - SPA 40MG TAB BL10x10,360,EPDIS
3,KE,surgipharm,508116,NO-SPA 40MG/2ML INJ AMP/25,150,EPDIS
3,KE,surgipharm,292174,MAALOX 460MG SACH/20 LEMON FLA,3600,EPDIS
3,KE,surgipharm,298689,ORELOX 100MG TAB10,6000,EPDIS
3,KE,surgipharm,307013,AMARYL M 2MG/500 MG TAB 30,3600,EPDIS
3,KE,surgipharm,310637,TAVANIC 500MG TAB5,1000,EPDIS
3,KE,surgipharm,635227,RHINATHIOL PROMETH 125ML 1SYR,36000,EPDIS
3,KE,surgipharm,374872,ORELOX 200MG FILM COATED TAB10,6000,EPDIS
3,KE,surgipharm,436418,MAALOX PLUS 200MG TAB BL4x10,1000,EPDIS
3,KE,surgipharm,477015,FLEMING 500-125MG TAB BL2X7,1800,EPDIS
3,KE,surgipharm,660728,RHINATHIOL 2.5G/125ML  1SYR,9600,EPDIS
3,KE,surgipharm,660727,RHINATHIOL 6.25G/125ML  1SYR,4500,EPDIS
3,KE,surgipharm,505579,LASIX 40MG TAB20,2400,EPDIS
3,KE,surgipharm,544062,PLAVIX 75MG TAB28,1000,EPDIS
3,KE,surgipharm,554510,CORDARONE 200MG TAB30,576,EPDIS
3,KE,surgipharm,612011,XATRAL LP 5MG TAB56,240,EPDIS
3,KE,surgipharm,615902,LANTUS SOLOSTAR 100IU 3ML 5PN,2600,EPDIS
3,KE,surgipharm,618677,ENTEROGERMINA 2B5ML SUSP/10,16000,EPDIS
3,KE,surgipharm,627595,TRITACE 2.5MG TAB BL2x14,600,EPDIS
3,KE,surgipharm,627597,TRITACE 5MG TAB BL2x14,1338,EPDIS
3,KE,surgipharm,633072,XATRAL LP 10MG TAB30,1000,EPDIS
3,KE,surgipharm,643215,EPILIM CHRONO 300 TAB10x10,600,EPDIS
3,KE,surgipharm,730439,EPILIM CHRONO 500 TAB 10X10,4000,EPDIS
3,KE,surgipharm,649635,EPILIM 400MG/4ML INJ 1VIAL,533,EPDIS
3,KE,surgipharm,651777,MUCOSOLVAN 1.5G/100ML SYR BT1,40000,EPDIS
3,KE,surgipharm,655022,CLEXANE 2000IU/0.2ML INJ2,2580,EPDIS
3,KE,surgipharm,655024,CLEXANE 6000IU/0.6ML INJ2,3600,EPDIS
3,KE,surgipharm,655025,CLEXANE 8000IU/0.8ML INJ2,2924,EPDIS
3,KE,surgipharm,664051,FLAGENTYL 500MG TAB4,10000,EPDIS
3,KE,surgipharm,670688,MONO-TILDIEM SR 200MG CAP28,259,EPDIS
3,KE,surgipharm,693896,DULCOLAX 5MG TABS BL3X10,12000,EPDIS
3,KE,surgipharm,694156,TAVANIC 500MG  INJ 100ML,1200,EPDIS
3,KE,surgipharm,728129,EPILIM 200MG TAB BL10X10,692,EPDIS
3,KE,laborex,196680,APROVEL 150MG TAB BL2x14,60,EPDIS
3,KE,laborex,196681,APROVEL 300MG TAB BL2x14,144,EPDIS
3,KE,laborex,514930,"CO-APROVEL 300/12,5MG TAB28",268,EPDIS
3,KE,laborex,287550,NO - SPA 40MG TAB BL2x10,160,EPDIS
3,KE,laborex,287553,NO - SPA FORTE 80MG TAB BL2x10,20,EPDIS
3,KE,laborex,289138,NO-SPA 40MG/2ML INJ AMP/5,70,EPDIS
3,KE,laborex,298693,ORELOX 40MG/5ML GRAN. SUSP50ML,1512,EPDIS
3,KE,laborex,307013,AMARYL M 2MG/500 MG TAB 30,400,EPDIS
3,KE,laborex,374872,ORELOX 200MG FILM COATED TAB10,1530,EPDIS
3,KE,laborex,436418,MAALOX PLUS 200MG TAB BL4x10,480,EPDIS
3,KE,laborex,660728,RHINATHIOL2% ENFT SP FL/125ML,6000,EPDIS
3,KE,laborex,660727,RHINATHIOL AD 5% SP FL/125ML,5010,EPDIS
3,KE,laborex,505579,LASIX 40MG TAB20,4080,EPDIS
3,KE,laborex,539182,APROVASC 300-5MG TAB BL4X7,100,EPDIS
3,KE,laborex,539183,APROVASC 150-5MG TAB BL4X7,216,EPDIS
3,KE,laborex,554510,CORDARONE 200MG TAB30,216,EPDIS
3,KE,laborex,612011,XATRAL LP 5MG TAB56,20,EPDIS
3,KE,laborex,618677,ENTEROGERMINA 2M5ML SUSP BU/10,60000,EPDIS
3,KE,laborex,627595,TRITACE 2.5MG TAB BL2x14,60,EPDIS
3,KE,laborex,627667,TRITAZIDE 10-12.5MG TAB28,10,EPDIS
3,KE,laborex,633072,XATRAL LP 10MG TAB30,300,EPDIS
3,KE,laborex,639628,"XATRAL 2,5MG TAB30",40,EPDIS
3,KE,laborex,641849,EPILIM 200MG/5ML SP300ML,4992,EPDIS
3,KE,laborex,730439,EPILIM CHRONO 500 TAB 10X10,832,EPDIS
3,KE,laborex,645815,FLAGYL 200MG/5ML SUSP 100ML,4292,EPDIS
3,KE,laborex,645818,AMARYL TABS 2MG 30'S,218,EPDIS
3,KE,laborex,645819,AMARYL TABS 4MG 30'S,60,EPDIS
3,KE,laborex,651777,MUCOSOLVAN 1.5G/100ML SYR BT1,5005,EPDIS
3,KE,laborex,651969,BUSCOPAN 10MG TAB BL5X10,1530,EPDIS
3,KE,laborex,652574,BUSCOPAN  20MG 1ML AMP 5'S,100,EPDIS
3,KE,laborex,655023,CLEXANE 4000IU/0.4ML INJ2,2520,EPDIS
3,KE,laborex,664051,FLAGENTYL 500MG TAB4,5000,EPDIS
3,KE,highchem,298693,ORELOX 40MG/5ML GRAN. SUSP50ML,112,EPDIS
3,KE,highchem,635227,RHINATHIOL PROMETH 125ML 1SYR,3000,EPDIS
3,KE,highchem,476009,FLEMING 228.5MG/5ML  SUSP70ML,480,EPDIS
3,KE,highchem,518946,LASIX 20MG INJ 5AMP 2ML,96,EPDIS
3,KE,highchem,618677,ENTEROGERMINA 2B5ML SUSP/10,5200,EPDIS
3,KE,highchem,651777,MUCOSOLVAN 1.5G/100ML SYR BT1,6000,EPDIS
4,KE,surgipharm,287550,NO - SPA 40MG TAB BL2x10,160,EPDIS
4,KE,surgipharm,287552,NO - SPA 40MG TAB BL10x10,192,EPDIS
4,KE,surgipharm,370351,ELOXATIN 5MG/ML 10ML INJ VL1,50,EPDIS
4,KE,surgipharm,514930,"CO-APROVEL 300/12,5MG TAB28",1000,EPDIS
4,KE,surgipharm,541862,RHINAPHYTO F/100ML,7200,EPDIS
4,KE,surgipharm,618677,ENTEROGERMINA 2B5ML SUSP/10,8000,EPDIS
4,KE,surgipharm,636825,STILNOX 10MG TAB14,2400,EPDIS
4,KE,surgipharm,645815,FLAGYL 200MG/5ML SUSP 100ML,3000,EPDIS
4,KE,surgipharm,645820,AMARYL TABS 1MG 30'S,719,EPDIS
4,KE,surgipharm,655023,CLEXANE 4000IU/0.4ML INJ2,12971,EPDIS
4,KE,surgipharm,655025,CLEXANE 8000IU/0.8ML INJ2,3489,EPDIS
4,KE,surgipharm,728129,EPILIM 200MG TAB BL10X10,8488,EPDIS
4,KE,laborex,636825,STILNOX 10MG TAB14,2100,EPDIS
4,KE,laborex,660727,RHINATHIOL AD 5% SP FL/125ML,1500,EPDIS
4,KE,laborex,660728,RHINATHIOL2% ENFT SP FL/125ML,14000,EPDIS
5,KE,laborex,196680,APROVEL 150MG TAB BL2x14,316,EPDIS
5,KE,laborex,196681,APROVEL 300MG TAB BL2x14,288,EPDIS
5,KE,laborex,241634,LANTUS 100 IU/ML 3 ML CR/5,160,EPDIS
5,KE,laborex,287552,NO - SPA 40MG TAB BL10x10,96,EPDIS
5,KE,laborex,287553,NO - SPA FORTE 80MG TAB BL2x10,50,EPDIS
5,KE,laborex,292174,MAALOX 460MG SACH/20 LEMON FLA,1408,EPDIS
5,KE,laborex,298691,ORELOX 40MG/5ML GRAN 100ML BT1,3780,EPDIS
5,KE,laborex,298693,ORELOX 40MG/5ML GRAN. SUSP50ML,1176,EPDIS
5,KE,laborex,307013,AMARYL M 2MG/500 MG TAB 30,1000,EPDIS
5,KE,laborex,312451,RIFOCINE 250MG/3ML 1INJ,448,EPDIS
5,KE,laborex,374872,ORELOX 200MG FILM COATED TAB10,3960,EPDIS
5,KE,laborex,436418,MAALOX PLUS 200MG TAB BL4x10,504,EPDIS
5,KE,laborex,505579,LASIX 40MG TAB20,3840,EPDIS
5,KE,laborex,514930,"CO-APROVEL 300/12,5MG TAB28",452,EPDIS
5,KE,laborex,515056,"CO-APROVEL 150/12,5MG TAB28",648,EPDIS
5,KE,laborex,539181,APROVASC 300-10MG TAB BL4X7,50,EPDIS
5,KE,laborex,539182,APROVASC 300-5MG TAB BL4X7,150,EPDIS
5,KE,laborex,539183,APROVASC 150-5MG TAB BL4X7,324,EPDIS
5,KE,laborex,541862,RHINAPHYTO F/100ML,4000,EPDIS
5,KE,laborex,544062,PLAVIX 75MG TAB28,362,EPDIS
5,KE,laborex,554510,CORDARONE 200MG TAB30,50,EPDIS
5,KE,laborex,612011,XATRAL LP 5MG TAB56,50,EPDIS
5,KE,laborex,615902,LANTUS SOLOSTAR 100IU 3ML 5PN,2100,EPDIS
5,KE,laborex,615926,LANTUS 100UI VIAL 10ML 1'S,1150,EPDIS
5,KE,laborex,615926,LANTUS 1000UI VIAL 1'S,855,EPDIS
5,KE,laborex,627595,TRITACE 2.5MG TAB BL2x14,560,EPDIS
5,KE,laborex,627597,TRITACE 5MG TAB BL2x14,200,EPDIS
5,KE,laborex,633072,XATRAL LP 10MG TAB30,600,EPDIS
5,KE,laborex,635227,RHINATHIOL PROMETH SP/125ML,3000,EPDIS
5,KE,laborex,639628,"XATRAL 2,5MG TAB30",60,EPDIS
5,KE,laborex,643215,EPILIM CHRONO 300 TAB10x10,960,EPDIS
5,KE,laborex,645815,FLAGYL 200MG/5ML SUSP 100ML,3718,EPDIS
5,KE,laborex,645819,AMARYL TABS 4MG 30'S,720,EPDIS
5,KE,laborex,645820,AMARYL TABS 1MG 30'S,540,EPDIS
5,KE,laborex,651777,MUCOSOLVAN 1.5G/100ML SYR BT1,5731,EPDIS
5,KE,laborex,651777,MUCOSOLVAN 1.5G/100ML SIROP,21000,EPDIS
5,KE,laborex,655023,CLEXANE 4000IU/0.4ML INJ2,3960,EPDIS
5,KE,laborex,664051,FLAGENTYL 500MG TAB4,2400,EPDIS
5,KE,laborex,693896,DULCOLAX 5MG TABS BL3X10,2240,EPDIS
5,KE,laborex,728129,EPILIM 200MG/5ML SP300ML,7992,EPDIS
5,KE,laborex,728129,EPILIM 200MG TAB BL10X10,3024,EPDIS
5,KE,laborex,730439,EPILIM CHRONO 500 TAB 10X10,1792,EPDIS
5,KE,surgipharm,241634,LANTUS 100 IU/ML 3 ML CR/5,0,EPDIS
5,KE,surgipharm,310637,TAVANIC 500MG TAB5,480,EPDIS
5,KE,surgipharm,312451,RIFOCINE 250MG/3ML 1INJ,1040,EPDIS
5,KE,surgipharm,508182,TAXOTERE 80MG/4ML IV  INJ FL1,40,EPDIS
5,KE,surgipharm,476009,FLEMING 228.5MG/5ML  SUSP70ML,3600,EPDIS
5,KE,surgipharm,476963,FLEMING 1200MG INJ VL/5,1000,EPDIS
5,KE,surgipharm,505579,LASIX 40MG TAB20,2000,EPDIS
5,KE,surgipharm,518946,LASIX 20MG INJ 5AMP 2ML,1000,EPDIS
5,KE,surgipharm,615926,LANTUS 100UI VIAL 10ML 1'S,2244,EPDIS
5,KE,surgipharm,636825,STILNOX 10MG TAB14,7000,EPDIS
5,KE,surgipharm,655025,CLEXANE 8000IU/0.8ML INJ2,3076,EPDIS
5,KE,surgipharm,664051,FLAGENTYL 500MG TAB4,10000,EPDIS
5,KE,highchem,196680,APROVEL 150MG TAB BL2x14,72,EPDIS
5,KE,highchem,298689,ORELOX 100MG TAB10,135,EPDIS
5,KE,highchem,298691,ORELOX 40MG/5ML GRAN 100ML BT1,720,EPDIS
5,KE,highchem,298693,ORELOX 40MG/5ML GRAN. SUSP50ML,112,EPDIS
5,KE,highchem,307013,AMARYL M 2MG/500 MG TAB 30,600,EPDIS
5,KE,highchem,514930,"CO-APROVEL 300/12,5MG TAB28",280,EPDIS
5,KE,highchem,541862,RHINAPHYTO F/100ML,500,EPDIS
5,KE,highchem,612011,XATRAL LP 5MG TAB56,120,EPDIS
5,KE,highchem,615902,LANTUS SOLOSTAR 100IU 3ML 5PN,1200,EPDIS
5,KE,highchem,615926,LANTUS 100UI VIAL 10ML 1'S,110,EPDIS
5,KE,highchem,627595,TRITACE 2.5MG TAB BL2x14,168,EPDIS
5,KE,highchem,633072,XATRAL LP 10MG TAB30,200,EPDIS
5,KE,highchem,636825,STILNOX 10MG TAB14,9000,EPDIS
5,KE,highchem,645815,FLAGYL 200MG/5ML SUSP 100ML,840,EPDIS
5,KE,highchem,655023,CLEXANE 4000IU/0.4ML INJ2,1008,EPDIS
5,KE,highchem,660727,RHINATHIOL 6.25G/125ML  1SYR,1500,EPDIS
5,KE,highchem,660728,RHINATHIOL 2.5G/125ML  1SYR,1500,EPDIS
6,KE,surgipharm,241634,LANTUS 100 IU/ML 3 ML CR/5,360,EPDIS
6,KE,surgipharm,298689,ORELOX 100MG TAB10,2000,EPDIS
6,KE,surgipharm,298691,ORELOX 40MG/5ML GRAN 100ML BT1,2400,EPDIS
6,KE,surgipharm,298693,ORELOX 40MG/5ML GRAN. SUSP50ML,1120,EPDIS
6,KE,surgipharm,380567,APIDRA SOLOSTAR 100IU/ML 3MLX5,30,EPDIS
6,KE,surgipharm,477015,FLEMING 500-125MG TAB BL2X7,3908,EPDIS
6,KE,surgipharm,477034,FLEMING 457MG/5ML SUSP F70ML,3600,EPDIS
6,KE,surgipharm,505579,LASIX 40MG TAB20,2000,EPDIS
6,KE,surgipharm,515056,"CO-APROVEL 150/12,5MG TAB28",216,EPDIS
6,KE,surgipharm,539181,APROVASC 300-10MG TAB BL4X7,234,EPDIS
6,KE,surgipharm,539182,APROVASC 300-5MG TAB BL4X7,234,EPDIS
6,KE,surgipharm,539183,APROVASC 150-5MG TAB BL4X7,480,EPDIS
6,KE,surgipharm,544062,PLAVIX 75MG TAB28,384,EPDIS
6,KE,surgipharm,554510,CORDARONE 200MG TAB30,360,EPDIS
6,KE,surgipharm,627595,TRITACE 2.5MG TAB BL2x14,300,EPDIS
6,KE,surgipharm,627597,TRITACE 5MG TAB BL2x14,720,EPDIS
6,KE,surgipharm,633072,XATRAL LP 10MG TAB30,600,EPDIS
6,KE,surgipharm,643215,EPILIM CHRONO 300 TAB10x10,560,EPDIS
6,KE,surgipharm,645815,FLAGYL 200MG/5ML SUSP 100ML,5701,EPDIS
6,KE,surgipharm,655022,CLEXANE 2000IU/0.2ML INJ2,1000,EPDIS
6,KE,surgipharm,655024,CLEXANE 6000IU/0.6ML INJ2,1800,EPDIS
6,KE,surgipharm,664051,FLAGENTYL 500MG TAB4,10000,EPDIS
6,KE,surgipharm,670688,MONO-TILDIEM SR 200MG CAP28,241,EPDIS
6,KE,surgipharm,728129,EPILIM 200MG/5ML SYR300ML,4500,EPDIS
6,KE,highchem,298691,ORELOX 40MG/5ML GRAN 100ML BT1,720,EPDIS
6,KE,highchem,307013,AMARYL M 2MG/500 MG TAB 30,800,EPDIS
6,KE,highchem,374872,ORELOX 200MG FILM COATED TAB10,360,EPDIS
6,KE,highchem,436418,MAALOX PLUS 200MG TAB BL4x10,144,EPDIS
6,KE,highchem,618677,ENTEROGERMINA 2B5ML SUSP/10,1280,EPDIS
6,KE,highchem,633072,XATRAL LP 10MG TAB30,100,EPDIS
6,KE,highchem,635227,RHINATHIOL PROMETH 125ML 1SYR,3000,EPDIS
6,KE,highchem,655025,CLEXANE 8000IU/0.8ML INJ2,84,EPDIS
6,KE,highchem,660727,RHINATHIOL 6.25G/125ML  1SYR,1500,EPDIS
6,KE,highchem,660728,RHINATHIOL 2.5G/125ML  1SYR,3000,EPDIS
6,KE,highchem,664051,FLAGENTYL 500MG TAB4,1000,EPDIS
6,KE,laborex,636825,STILNOX 10MG TAB14,9600,EPDIS
